AtomicGameEngine,"The Atomic Game Engine is a multi-platform 2D and 3D engine with a consistent API in C++, C#, JavaScript, and TypeScript"
username,timestamp,url,sha,message
mattbenic,2018-09-13 06:27:36,https://api.github.com/repos/AtomicGameEngine/AtomicGameEngine/git/commits/ff59324b7e198f4179eca0f6535b1e72484d8c4c,ff59324b7e198f4179eca0f6535b1e72484d8c4c,"Update README.md

Updated README to indicate project no longer being maintained"
JoshEngebretson,2018-08-11 14:14:59,https://api.github.com/repos/AtomicGameEngine/AtomicGameEngine/git/commits/a0311cbaba117d45a11453f8d70f92b625ebc2c2,a0311cbaba117d45a11453f8d70f92b625ebc2c2,Update README.md
JoshEngebretson,2018-08-11 14:14:24,https://api.github.com/repos/AtomicGameEngine/AtomicGameEngine/git/commits/64a284b26c05e6c3f35c600583ffc64a86425f12,64a284b26c05e6c3f35c600583ffc64a86425f12,Update README.md
mattbenic,2017-11-30 06:29:03,https://api.github.com/repos/AtomicGameEngine/AtomicGameEngine/git/commits/52c5c9b47618258458835b67332c8e12d459c0ca,52c5c9b47618258458835b67332c8e12d459c0ca,"Merge pull request #1673 from LumaDigital/MB_LumaChanges

Dependency cleanup and IPC Server cleanup"
mattbenic,2017-11-29 15:10:50,https://api.github.com/repos/AtomicGameEngine/AtomicGameEngine/git/commits/4c7d9f76706d731cdd588501fe221ae4a874cf18,4c7d9f76706d731cdd588501fe221ae4a874cf18,"Remove unnecessary ToolCore dependency

Also includes a number of housekeeping changes based on review by @JoshEngebretson"
GarethNN,2017-01-30 14:33:28,https://api.github.com/repos/AtomicGameEngine/AtomicGameEngine/git/commits/26ff176b2c1ad3b861dd566617ebc5e96fcf43e1,26ff176b2c1ad3b861dd566617ebc5e96fcf43e1,"Fix to bug where asset database would always try to import certain models (it was failing on creating the .mdl file each time, then next time checking for the .mdl, not finding it, and retrying).

(cherry picked from commit 8d3ef9eeee1a2de0c551de6002017ef679398a87)

(cherry picked from commit 8d3ef9eeee1a2de0c551de6002017ef679398a87)"
mattbenic,2017-11-29 05:26:04,https://api.github.com/repos/AtomicGameEngine/AtomicGameEngine/git/commits/397ce661affa0ccd452282f0b6b524e4af29b1a9,397ce661affa0ccd452282f0b6b524e4af29b1a9,"Merge pull request #1672 from LumaDigital/MB_LumaChanges

Various small changes"
mattbenic,2017-11-22 11:33:10,https://api.github.com/repos/AtomicGameEngine/AtomicGameEngine/git/commits/0526046e263f1dac01fb99808b43a3bfdcc01779,0526046e263f1dac01fb99808b43a3bfdcc01779,"Merge pull request #1656 from JimMarlowe/JM-ASSET_IMPORT

Add right-click import on resources folders #357"
JimMarlowe,2017-10-09 18:08:17,https://api.github.com/repos/AtomicGameEngine/AtomicGameEngine/git/commits/f13573fe78ae7bfae3375d9931cff7345a0d0c0f,f13573fe78ae7bfae3375d9931cff7345a0d0c0f,Add asset database scan after successful import
JimMarlowe,2017-10-08 22:37:03,https://api.github.com/repos/AtomicGameEngine/AtomicGameEngine/git/commits/dafbc3aae6073b58580b96e44726e6f2f2e77b6d,dafbc3aae6073b58580b96e44726e6f2f2e77b6d,add import asset menu entry
mattbenic,2017-11-20 13:32:31,https://api.github.com/repos/AtomicGameEngine/AtomicGameEngine/git/commits/6477db4212e2ede0f1abaf9076132509a0fdf6bd,6477db4212e2ede0f1abaf9076132509a0fdf6bd,"Merge pull request #1670 from AtomicGameEngine/MB_CI

Travis CI"
rokups,2017-09-10 13:33:08,https://api.github.com/repos/AtomicGameEngine/AtomicGameEngine/git/commits/78d0c2484b3c2af5ebf72fa7c77bf59250447dec,78d0c2484b3c2af5ebf72fa7c77bf59250447dec,.travis.yml
rokups,2017-07-04 14:55:45,https://api.github.com/repos/AtomicGameEngine/AtomicGameEngine/git/commits/d944e7cdacd2cae5e60b6f247e007ea4a07562bd,d944e7cdacd2cae5e60b6f247e007ea4a07562bd,Crosscompiling scripts
rokups,2017-08-12 16:07:34,https://api.github.com/repos/AtomicGameEngine/AtomicGameEngine/git/commits/82cc23b5580258bb104b019685aede7d279095f0,82cc23b5580258bb104b019685aede7d279095f0,Fixes for crosscompiling
JoshEngebretson,2017-09-20 14:16:54,https://api.github.com/repos/AtomicGameEngine/AtomicGameEngine/git/commits/73e2d0e1caadd7d384996d7226d7d63547e7727a,73e2d0e1caadd7d384996d7226d7d63547e7727a,"Update README.md

Updating README.md"
JoshEngebretson,2017-09-09 19:13:16,https://api.github.com/repos/AtomicGameEngine/AtomicGameEngine/git/commits/e7d1c0a099d09dc506486ec0ab33675f674e5948,e7d1c0a099d09dc506486ec0ab33675f674e5948,"Merge pull request #1650 from AtomicGameEngine/RK-UPDATE-EXAMPLES

Update examples submodule"
rokups,2017-09-09 18:37:06,https://api.github.com/repos/AtomicGameEngine/AtomicGameEngine/git/commits/eb7578310b6174b15d5292e8c467ca074536255d,eb7578310b6174b15d5292e8c467ca074536255d,Update examples submodule
JoshEngebretson,2017-09-08 15:24:07,https://api.github.com/repos/AtomicGameEngine/AtomicGameEngine/git/commits/77e1bf1bf2409dceda21baeee106ee3bd4c2e59b,77e1bf1bf2409dceda21baeee106ee3bd4c2e59b,"Merge pull request #1628 from AtomicGameEngine/DJR-UIBARGRAPH-FIX

Exposed SetColor for UIBargraph so that it can be used from script"
