awesome-android,A curated list of awesome Android packages and resources.
username,timestamp,url,sha,message
JStumpp,2019-08-26 07:24:30,https://api.github.com/repos/JStumpp/awesome-android/git/commits/7dbf77acb693bb6ec9eec4cc9a8b90b5e8a3d879,7dbf77acb693bb6ec9eec4cc9a8b90b5e8a3d879,"Merge pull request #283 from idanatz/master

Add OneAdapter Library"
idanatz,2019-08-24 09:03:09,https://api.github.com/repos/JStumpp/awesome-android/git/commits/0aba588e7d8b4e84f4000b73b5ce065b49dc8067,0aba588e7d8b4e84f4000b73b5ce065b49dc8067,Update readme.md
JStumpp,2019-08-19 11:38:33,https://api.github.com/repos/JStumpp/awesome-android/git/commits/cef045bc581c8dd52dc380c710a0e4a05ce555b3,cef045bc581c8dd52dc380c710a0e4a05ce555b3,"Merge pull request #282 from wajahatkarim3/master

Adds One-on-One Chat Tutorial in Kotlin in Chat & Messaging section"
wajahatkarim3,2019-08-19 10:06:55,https://api.github.com/repos/JStumpp/awesome-android/git/commits/86fa0f43e0c7614624daba75ebb3fc2957173b1e,86fa0f43e0c7614624daba75ebb3fc2957173b1e,Update readme.md
JStumpp,2019-08-12 08:39:33,https://api.github.com/repos/JStumpp/awesome-android/git/commits/989c7e3f23a96c35e4348ebe2f9ba1bdc2fa1114,989c7e3f23a96c35e4348ebe2f9ba1bdc2fa1114,"Merge pull request #278 from havenwood/patch-1

Add Square In-App Payments SDK"
JStumpp,2019-08-12 08:39:14,https://api.github.com/repos/JStumpp/awesome-android/git/commits/803c920a799fd205eb90b28d3ee1a396810c94f8,803c920a799fd205eb90b28d3ee1a396810c94f8,"Merge pull request #279 from vovaksenov99/master

Update readme.md"
JStumpp,2019-08-12 08:38:29,https://api.github.com/repos/JStumpp/awesome-android/git/commits/ae39bbfcf580418cdd9b6f4984e75309ecb1156b,ae39bbfcf580418cdd9b6f4984e75309ecb1156b,"Merge pull request #280 from Ayusch/master

Added a resource named: AndroidVille"
Ayusch,2019-08-12 05:12:36,https://api.github.com/repos/JStumpp/awesome-android/git/commits/7534f2ba4749d7d8fa9c3ac66955e6c5561486fc,7534f2ba4749d7d8fa9c3ac66955e6c5561486fc,"Merge pull request #2 from Ayusch/ayusch-updated-bad-urls

Updated Bad URLs"
Ayusch,2019-08-12 05:12:24,https://api.github.com/repos/JStumpp/awesome-android/git/commits/d5ba80fbc0c4cc9b3d75dbc26c797b83799629fb,d5ba80fbc0c4cc9b3d75dbc26c797b83799629fb,"Updated Bad URLs

These urls were leading to failed CI builds. Hence, bad urls were changed and removed which weren't available."
Ayusch,2019-08-12 04:55:50,https://api.github.com/repos/JStumpp/awesome-android/git/commits/2701b3949393a4aaedf125c13af128a20f230769,2701b3949393a4aaedf125c13af128a20f230769,"Merge pull request #1 from Ayusch/Ayusch-resource-addition

Update readme.md"
Ayusch,2019-08-12 04:54:00,https://api.github.com/repos/JStumpp/awesome-android/git/commits/6b0e9060eec6e03a8ac3fbdc100ce19d1476f209,6b0e9060eec6e03a8ac3fbdc100ce19d1476f209,"Update readme.md

Added a resource named: AndroidVille"
vovaksenov99,2019-08-07 10:11:55,https://api.github.com/repos/JStumpp/awesome-android/git/commits/586082f1eedd06c9c14dc322104561d4d02c2eac,586082f1eedd06c9c14dc322104561d4d02c2eac,Update readme.md
havenwood,2019-06-25 20:35:15,https://api.github.com/repos/JStumpp/awesome-android/git/commits/1d03faebcd4fe234b44f4c14fad7243e3b7f1242,1d03faebcd4fe234b44f4c14fad7243e3b7f1242,"Add Square In-App Payments SDK

This PR adds a Payments category with the [Square In-App Payments SDK](https://squareup.com/us/en/developers/in-app-payments) for Android."
JStumpp,2019-06-17 07:24:32,https://api.github.com/repos/JStumpp/awesome-android/git/commits/0fa68cbc2780556cda1805695813dbfecfefd1aa,0fa68cbc2780556cda1805695813dbfecfefd1aa,"Merge pull request #277 from rodmytro/master

Added Kotlin VIPER example project"
rodmytro,2019-06-16 19:50:44,https://api.github.com/repos/JStumpp/awesome-android/git/commits/e0d75c774cdb9c6ed3e7ed8d42a6b835d4bb4aa7,e0d75c774cdb9c6ed3e7ed8d42a6b835d4bb4aa7,"- added Kotlin VIPER example project 

A nice template for creating View-Interactor-Presenter-Entity-Router project"
JStumpp,2019-06-11 09:31:02,https://api.github.com/repos/JStumpp/awesome-android/git/commits/fda4e3e7c6834d5b6e04db019c9cba7376734808,fda4e3e7c6834d5b6e04db019c9cba7376734808,Cleanup links
JStumpp,2019-06-11 08:39:26,https://api.github.com/repos/JStumpp/awesome-android/git/commits/062b083ea9732b006d4397e67f35780e6f4e078d,062b083ea9732b006d4397e67f35780e6f4e078d,"Merge pull request #276 from lucalves/patch-1

Removing discontinued library"
lucalves,2019-06-03 18:22:11,https://api.github.com/repos/JStumpp/awesome-android/git/commits/48b8366650ab9720b0a6dda061c3746ff480360c,48b8366650ab9720b0a6dda061c3746ff480360c,"Removing discontinued emojicon

Removing discontinued library (Emojicon) and placing an equivalent (EmojiCompat)."
JStumpp,2019-05-06 09:13:14,https://api.github.com/repos/JStumpp/awesome-android/git/commits/86f3c6840787048be9510c40dfcb5185173944a4,86f3c6840787048be9510c40dfcb5185173944a4,"Merge pull request #273 from emedinaa/master

Add MVVM example"
emedinaa,2019-05-04 04:35:05,https://api.github.com/repos/JStumpp/awesome-android/git/commits/aa07df6343a3e1ca5de1c4d2322ee195c543babf,aa07df6343a3e1ca5de1c4d2322ee195c543babf,Add MVVM example
JStumpp,2019-04-25 12:26:54,https://api.github.com/repos/JStumpp/awesome-android/git/commits/a227d4058711f234b8c714b866b930eb84315a5c,a227d4058711f234b8c714b866b930eb84315a5c,"Merge pull request #272 from johnsonlee/master

Add `Booster`"
johnsonlee,2019-04-25 09:44:54,https://api.github.com/repos/JStumpp/awesome-android/git/commits/b0017de22b3edbb27256149ef5cb0ac3977b8274,b0017de22b3edbb27256149ef5cb0ac3977b8274,Add `Booster`
JStumpp,2019-02-26 08:43:05,https://api.github.com/repos/JStumpp/awesome-android/git/commits/62f1b10fa27c91418640f360352ff22d0231e086,62f1b10fa27c91418640f360352ff22d0231e086,"Update readme.md

Removed Packetzoom
Fixed redirects"
