api-guidelines,Microsoft REST API Guidelines
username,timestamp,url,sha,message
MacroChip,2019-04-12 03:56:35,https://api.github.com/repos/microsoft/api-guidelines/git/commits/6aae60420aa0e7d223126827fc3ebd0257d512df,6aae60420aa0e7d223126827fc3ebd0257d512df,Update Guidelines.md (#141)
daredevilgeek,2019-04-12 03:55:05,https://api.github.com/repos/microsoft/api-guidelines/git/commits/ac574eadfb688de49563e43c37be1a3093a487bc,ac574eadfb688de49563e43c37be1a3093a487bc,Reworded compliance text to fix grammar (#140)
jacobherrington,2019-04-12 03:52:07,https://api.github.com/repos/microsoft/api-guidelines/git/commits/c98f7a3098c22a833a57478ef6bef10ae76d1ba7,c98f7a3098c22a833a57478ef6bef10ae76d1ba7,Correct the spelling of predate (#139)
ajloria,2019-04-12 03:48:52,https://api.github.com/repos/microsoft/api-guidelines/git/commits/21106db06fefc734b5827008bada6b4ff6aa6bb8,21106db06fefc734b5827008bada6b4ff6aa6bb8,"Update CONTRIBUTING.md (#147)

Added an anchor link to the ""Recommended setup for contributing"" section for better accessibility."
johanste,2019-04-12 03:35:00,https://api.github.com/repos/microsoft/api-guidelines/git/commits/fa7b1052fb13188d7a4cda6e6ab7f821ecb79808,fa7b1052fb13188d7a4cda6e6ab7f821ecb79808,"Provide note for 64bit integers (#174)

* Provide note for 64bit integers

* Address review feedback

Update outdated reference to RFC-4627 to refer to RFC-825.
Make recommendation to use string instead of number for large (and small) integers stronger.
Fix typo.

* Update Guidelines.md

* Fixed typo"
johanste,2019-04-12 03:32:33,https://api.github.com/repos/microsoft/api-guidelines/git/commits/628b2dcc604e8a6d9b94e13920b9e1a660f52ae7,628b2dcc604e8a6d9b94e13920b9e1a660f52ae7,Polling on operation status to terminal state instead of 200 response (#172)
garethj-msft,2019-04-11 21:40:33,https://api.github.com/repos/microsoft/api-guidelines/git/commits/189047d333acd9aa6e65bac3446502a36cd69e7e,189047d333acd9aa6e65bac3446502a36cd69e7e,"Changed readme to state purpose of repo.

Updated readme to state repo nature and purpose rather than having a sort of minimal summary of what a guideline is."
garethj-msft,2019-01-11 22:44:16,https://api.github.com/repos/microsoft/api-guidelines/git/commits/36224ba86f6a85c11ac5ae8e0a19830b2ff58bb1,36224ba86f6a85c11ac5ae8e0a19830b2ff58bb1,"Revert ""Add License badge (#159)"" (#170)

This reverts commit 6ca391b78f8bc8df27fa332cf7cd26eb93bbc8e9."
DreamN,2019-01-11 22:41:37,https://api.github.com/repos/microsoft/api-guidelines/git/commits/6ca391b78f8bc8df27fa332cf7cd26eb93bbc8e9,6ca391b78f8bc8df27fa332cf7cd26eb93bbc8e9,"Add License badge (#159)

Add ""Creative Commons Attribution 4.0 International License"" on README.md"
david-mccarthy,2019-01-11 22:36:49,https://api.github.com/repos/microsoft/api-guidelines/git/commits/a3ed5dac2b5491cd7ed23c0c86bcfa7d92c26fd2,a3ed5dac2b5491cd7ed23c0c86bcfa7d92c26fd2,"Updating some spelling/grammar of guidelines.md (#158)

Thanks David."
