SnackBar,toast-like alert pattern for Android inspired by the Google Material Design Spec
username,timestamp,url,sha,message
MrEngineer13,2015-08-03 20:06:59,https://api.github.com/repos/MrEngineer13/SnackBar/git/commits/a0a6b599cd6b3a9779ada199c138d143514f8d77,a0a6b599cd6b3a9779ada199c138d143514f8d77,Update README.md
MrEngineer13,2015-08-03 20:06:24,https://api.github.com/repos/MrEngineer13/SnackBar/git/commits/7adf40122f3e6a87885cae397a4af9cbc1faf30b,7adf40122f3e6a87885cae397a4af9cbc1faf30b,"Updated README

Added deprecated information"
MrEngineer13,2015-06-08 16:51:03,https://api.github.com/repos/MrEngineer13/SnackBar/git/commits/f4c294a24898dd9809d1ce2e10e9fe95ed1b54f8,f4c294a24898dd9809d1ce2e10e9fe95ed1b54f8,"Merge pull request #85 from StephaneBg/master

Rename dimensions not to mess with application that uses library."
StephaneBg,2015-05-15 06:16:11,https://api.github.com/repos/MrEngineer13/SnackBar/git/commits/a6d9afb06e23c153031ac16122d4dcc07b9d5b64,a6d9afb06e23c153031ac16122d4dcc07b9d5b64,"Rename dimensions not to mess with application that uses library.
Update build tools."
MrEngineer13,2015-05-15 00:46:11,https://api.github.com/repos/MrEngineer13/SnackBar/git/commits/cea326a4987e8dee022dbdc8f2c3820f41644891,cea326a4987e8dee022dbdc8f2c3820f41644891,Fixed README link typo
MrEngineer13,2015-05-15 00:43:07,https://api.github.com/repos/MrEngineer13/SnackBar/git/commits/1a52e0ee2b6ed707518ecf214d6985dbf80219cb,1a52e0ee2b6ed707518ecf214d6985dbf80219cb,Fixed README links
MrEngineer13,2015-05-15 00:38:45,https://api.github.com/repos/MrEngineer13/SnackBar/git/commits/e21ec7e1f800b5bd4e81d2e2980a39bb303255bc,e21ec7e1f800b5bd4e81d2e2980a39bb303255bc,"Merge branch 'dev'

Conflicts:
	README.md
	gradle.properties
	snackbar/src/main/java/com/github/mrengineer13/snackbar/Snack.java
	snackbar/src/main/java/com/github/mrengineer13/snackbar/SnackBar.java"
MrEngineer13,2015-05-15 00:35:35,https://api.github.com/repos/MrEngineer13/SnackBar/git/commits/a1b8e93986068adf6d6074b8474595964506fb16,a1b8e93986068adf6d6074b8474595964506fb16,Updated to V1.2.0
MrEngineer13,2015-05-15 00:22:29,https://api.github.com/repos/MrEngineer13/SnackBar/git/commits/ed3d9e28b4b442e35f7a64fbda892d667638ec75,ed3d9e28b4b442e35f7a64fbda892d667638ec75,Fixed issue #71 - Added ability to add custom typeface
MrEngineer13,2015-05-14 01:45:41,https://api.github.com/repos/MrEngineer13/SnackBar/git/commits/340102eb266f266e5bb80c6c6ee3bb71d966acc4,340102eb266f266e5bb80c6c6ee3bb71d966acc4,"Merge pull request #81 from tomrozb/dev

Add withClearQueued methods to clear queued SnackBars"
MrEngineer13,2015-05-14 01:41:11,https://api.github.com/repos/MrEngineer13/SnackBar/git/commits/229fa79a962e74c158819c2d70873684e03e5413,229fa79a962e74c158819c2d70873684e03e5413,"Merge pull request #84 from wching/master

Update README.md"
