node_acl,Access control lists for node applications
username,timestamp,url,sha,message
manast,2017-09-10 08:39:03,https://api.github.com/repos/OptimalBits/node_acl/git/commits/7d151fdae37703bcd495b41e7c220be004928648,7d151fdae37703bcd495b41e7c220be004928648,0.4.11
manast,2017-09-10 08:35:53,https://api.github.com/repos/OptimalBits/node_acl/git/commits/0193072b00fdcf8d3dd2236b9da97cf2e767ea48,0193072b00fdcf8d3dd2236b9da97cf2e767ea48,"Merge pull request #251 from santhisenan/master

Minor changes in README"
santhisenan,2017-09-07 14:19:58,https://api.github.com/repos/OptimalBits/node_acl/git/commits/636c5921d9ff1b9e71534f1abc371287ae1a9d7f,636c5921d9ff1b9e71534f1abc371287ae1a9d7f,"Merge pull request #1 from santhisenan/minor-readme-fix

minor changes in README.md"
santhisenan,2017-09-07 14:19:31,https://api.github.com/repos/OptimalBits/node_acl/git/commits/54ee450a59da14f51e84961922db3cee810d86c2,54ee450a59da14f51e84961922db3cee810d86c2,"minor changes in README.md

Documentation and installation heading were not displayed properly. A space character was missing after the '##' for both."
manast,2017-07-18 10:01:36,https://api.github.com/repos/OptimalBits/node_acl/git/commits/ce057f05da65f605a6f6ffcb96b0ac68c4f4ce6a,ce057f05da65f605a6f6ffcb96b0ac68c4f4ce6a,"Merge pull request #213 from akigupta131/master

Problem when any of ACL Middleware argument is null or undefined | Solved"
manast,2017-06-19 13:21:46,https://api.github.com/repos/OptimalBits/node_acl/git/commits/adc8b4b354e39427e59824ab25df8287f19e6958,adc8b4b354e39427e59824ab25df8287f19e6958,"Merge pull request #236 from jelder/patch-1

Fix Markdown syntax"
jelder,2017-04-06 18:09:28,https://api.github.com/repos/OptimalBits/node_acl/git/commits/d969238fc8ea4355a3c460abd65ddc4dd53d4b2b,d969238fc8ea4355a3c460abd65ddc4dd53d4b2b,"Fix Markdown syntax

At least for ""GitHub Flavored Markdown,"" there must be a space after the `#` in a header, and blank lines before and after it."
manast,2017-03-20 07:45:00,https://api.github.com/repos/OptimalBits/node_acl/git/commits/38d59fb3794ee929186e620cbb7a49b5cb1be289,38d59fb3794ee929186e620cbb7a49b5cb1be289,"Merge pull request #228 from leodutra/master

Reworking ""Bugfix/mongodb unsupported char"" (pull request #113)"
leodutra,2017-03-19 17:07:19,https://api.github.com/repos/OptimalBits/node_acl/git/commits/717ba66b9e5ad85f3f9249fe302e83bb2904e060,717ba66b9e5ad85f3f9249fe302e83bb2904e060,Simplify mongodb removeUnsupportedChars
leodutra,2017-03-14 17:31:25,https://api.github.com/repos/OptimalBits/node_acl/git/commits/fa0c0d6ee666a5db7f6094c3752cbb5b912c57eb,fa0c0d6ee666a5db7f6094c3752cbb5b912c57eb,"Fix typo in mongodb-backend.js

""useRawColletionNames"" -> ""useRawCollectionNames"""
leodutra,2017-03-14 17:28:10,https://api.github.com/repos/OptimalBits/node_acl/git/commits/6766a76c749e0fb5d28474b5f5bc1f6ee405c6a4,6766a76c749e0fb5d28474b5f5bc1f6ee405c6a4,"Merge pull request #2 from OptimalBits/master

Pulling from fork origin"
manast,2017-03-07 08:02:00,https://api.github.com/repos/OptimalBits/node_acl/git/commits/a88b07fb8e73eab64c4203937a10863e40f925dc,a88b07fb8e73eab64c4203937a10863e40f925dc,"Merge pull request #231 from mertcetin/master

Fix typo in Readme"
mertcetin,2017-03-06 14:48:12,https://api.github.com/repos/OptimalBits/node_acl/git/commits/dc9ceec2ec4525e454dc15b867e0984433521579,dc9ceec2ec4525e454dc15b867e0984433521579,Fix typo in Readme
leodutra,2017-02-13 19:09:46,https://api.github.com/repos/OptimalBits/node_acl/git/commits/919607106be1eeb245c86b57c7cdddf4da059168,919607106be1eeb245c86b57c7cdddf4da059168,Replaces spaces and slashes by underlines on unsupported column names.
leodutra,2017-02-13 18:59:46,https://api.github.com/repos/OptimalBits/node_acl/git/commits/77b74a7cfd178f144f707e42fd7bb527968ba426,77b74a7cfd178f144f707e42fd7bb527968ba426,"Sanitize Mongo collection names falling back on ""useRawColletionNames"""
