DownloadButton,Customizable App Store style download button
username,timestamp,url,sha,message
PavelKatunin,2018-02-05 15:03:56,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/aa24d0c6c2230f0f6c1a58bbeb0deedff3039193,aa24d0c6c2230f0f6c1a58bbeb0deedff3039193,"Merge pull request #31 from markst/issue/21

Resolving pending view animation"
PavelKatunin,2018-02-05 15:03:40,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/79842dc8d5b45d8227170000ef626d0323fc5fa4,79842dc8d5b45d8227170000ef626d0323fc5fa4,"Merge pull request #33 from markst/issue/32

Bordered button supports corner radius & line width"
markst,2018-01-15 04:24:54,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/0fa224fa2187cdd378fe4ccc3d3ebf44b59353b3,0fa224fa2187cdd378fe4ccc3d3ebf44b59353b3,Updating example view controller to set the tint rather than update the background image.
markst,2018-01-15 04:23:20,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/c31a3536c2296fc20bd8ec7ad04d85ea71431194,c31a3536c2296fc20bd8ec7ad04d85ea71431194,Updating `PKBorderedButton` to support setting corner radius & line width.
markst,2018-01-15 04:22:51,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/8e9914f670bbe0ea78a88a57c756829d1f666a04,8e9914f670bbe0ea78a88a57c756829d1f666a04,Updating `UIImage` to support passing parameters to generated image.
markst,2017-12-21 00:53:16,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/45b93a6e3d552ef7856a549239ac028cb413142d,45b93a6e3d552ef7856a549239ac028cb413142d,Download button adds spine animation to pending view upon revealing state. #21
PavelKatunin,2017-09-17 12:37:38,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/a2b86fc173a1046ac1fccaf68dc904378552d49f,a2b86fc173a1046ac1fccaf68dc904378552d49f,"Merge pull request #29 from dautermann/update-button-background

Update button background"
dautermann,2017-09-15 20:57:56,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/b87b26eb33b7fb9baf11c76d41f860f44bd6781f,b87b26eb33b7fb9baf11c76d41f860f44bd6781f,bumped Pod version number
dautermann,2017-09-15 20:54:20,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/5e65599d7b535de1dfc315d81fcaaac51892d7b7,5e65599d7b535de1dfc315d81fcaaac51892d7b7,set background color of DownloadButton to clear
PavelKatunin,2017-09-08 07:52:46,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/e656ac4ce5b3eae273a0d6cafafd7ff20e0a0f3f,e656ac4ce5b3eae273a0d6cafafd7ff20e0a0f3f,"Merge pull request #28 from dautermann/update-podfile

Make Podfile compatible with Pods 1.0+"
dautermann,2017-09-08 07:27:50,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/3ccea42af8d332e1e4becef1e48fc472963454a3,3ccea42af8d332e1e4becef1e48fc472963454a3,make the file Cocoapods 1.0+ compatible
dautermann,2017-09-08 07:26:47,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/95c87241816259b49e9e4c63018eab5e3096f1f4,95c87241816259b49e9e4c63018eab5e3096f1f4,bump minimum deployment version to iOS 8.0
PavelKatunin,2017-04-29 00:20:23,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/74aaccf7184f0f2dcc80b4411f218d7c3a34e917,74aaccf7184f0f2dcc80b4411f218d7c3a34e917,"Merge pull request #27 from mohamede1945/master

Make emptyLineCircleView centered and filledLineCircleView full constrained in PKCircleProgressView"
mohamede1945,2017-03-20 22:32:56,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/ff9520ab6e046aaa381f596e22d8e0982caeb9d0,ff9520ab6e046aaa381f596e22d8e0982caeb9d0,Make emptyLineCircleView centered and filledLineCircleView full constrained in PKCircleProgressView
PavelKatunin,2017-03-20 22:05:28,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/30508cbca0f403d10ddb459c62757af9a8f762e9,30508cbca0f403d10ddb459c62757af9a8f762e9,"Merge pull request #26 from mohamede1945/master

Fix constraints to make the circle and pending view have intrinsic content size"
mohamede1945,2017-03-16 14:01:13,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/5fb3e706107a2112ffe207f16f5b83fa73ef4f26,5fb3e706107a2112ffe207f16f5b83fa73ef4f26,Fix constraints to make the circle and pending view have intrinsic content size
PavelKatunin,2016-10-20 22:09:23,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/da379556d44bb6fb1a9065b9a957640e18a789cc,da379556d44bb6fb1a9065b9a957640e18a789cc,"Merge pull request #17 from ryanholden8/master

Add API to customize button fonts"
ryanholden8,2016-08-31 17:21:14,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/4e25a27a8d8bf1e9d6901d17a77c1c783be91c0e,4e25a27a8d8bf1e9d6901d17a77c1c783be91c0e,Add API to customize button fonts
PavelKatunin,2016-08-09 15:32:53,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/ff72143eb244910d2900067dfa8911e59937021b,ff72143eb244910d2900067dfa8911e59937021b,"Merge pull request #16 from ryanholden8/master

Add API to customize button titles"
ryanholden8,2016-07-31 15:45:12,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/c7be4aace3efcc9b94cddd05d36774b2fdd990b3,c7be4aace3efcc9b94cddd05d36774b2fdd990b3,Add API to customize button titles
PavelKatunin,2016-02-16 11:46:01,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/6866d4db423473d58cd3aef28b3d4d5b73c84fc9,6866d4db423473d58cd3aef28b3d4d5b73c84fc9,"Merge pull request #12 from ryanholden8/master

Fix for Issue #11 - Using DownloadButton will cause *all* UIButtons with a tintColor be shown with a border"
PavelKatunin,2015-07-10 10:07:41,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/ff7e3f74005c16562b3bcf6ad053e7ae4caf4484,ff7e3f74005c16562b3bcf6ad053e7ae4caf4484,"Merge pull request #8 from gavrix/master

Make PKDownloadButton respect it's tintColor"
gavrix,2015-07-10 04:58:14,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/b494f0ffcd24070389751b8eb0add01551c92c3a,b494f0ffcd24070389751b8eb0add01551c92c3a,Formatting modified
gavrix,2015-07-10 04:54:11,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/78c85b4c8a48db949cae3390e69e26f4a6ca5d6e,78c85b4c8a48db949cae3390e69e26f4a6ca5d6e,Make PKDownloadButton respect it's tintColor
PavelKatunin,2015-06-24 23:46:49,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/eaaf884e4193b7066335b5c96a06759908d54a7a,eaaf884e4193b7066335b5c96a06759908d54a7a,"Merge pull request #5 from onekiloparsec/master

Support for iOS7"
PavelKatunin,2015-06-01 19:37:46,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/2005f68c587678cca4c40cbdd4f3452b48b82e2b,2005f68c587678cca4c40cbdd4f3452b48b82e2b,Readme fixes
PavelKatunin,2015-06-01 19:32:14,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/1a0189d801083d1e46ddd69457a529a42fe57820,1a0189d801083d1e46ddd69457a529a42fe57820,readme gif
PavelKatunin,2015-06-01 19:29:14,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/021c885517018ac73f495665ab548e4c76e199ed,021c885517018ac73f495665ab548e4c76e199ed,Readme gif
PavelKatunin,2015-06-01 19:20:22,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/21add6332c1153abc4843775cd6d29c91bedd9aa,21add6332c1153abc4843775cd6d29c91bedd9aa,Readme fixes
PavelKatunin,2015-06-01 19:18:38,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/c0507aaee66cbca42e9b65382ebfb517d00eebdb,c0507aaee66cbca42e9b65382ebfb517d00eebdb,Readme fixes
PavelKatunin,2015-06-01 19:16:13,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/06206894861f7faf30c8b32b92416563917e2c27,06206894861f7faf30c8b32b92416563917e2c27,code example fixed
PavelKatunin,2015-06-01 19:13:58,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/2d60d1c494f42437455691bfed2a9320603856b2,2d60d1c494f42437455691bfed2a9320603856b2,code examples
PavelKatunin,2015-06-01 19:11:29,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/143f6fc831ff03d8b9c71c17183160520533df68,143f6fc831ff03d8b9c71c17183160520533df68,Readme fixes
PavelKatunin,2015-06-01 19:08:24,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/e49bed9744843a6a5bdc206aa672a8c224a5ddf4,e49bed9744843a6a5bdc206aa672a8c224a5ddf4,Readme fixes
PavelKatunin,2015-06-01 19:05:23,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/8d4533fe5c3d5c15946268da53f3f49628725c1d,8d4533fe5c3d5c15946268da53f3f49628725c1d,Readme fixes
PavelKatunin,2015-06-01 19:00:22,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/23c478d5ec3c134d28307ae07894f892aa6aec36,23c478d5ec3c134d28307ae07894f892aa6aec36,Readme fixes
PavelKatunin,2015-06-01 18:58:43,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/b08dddae5d1fa262708bc82ff62217e872ec66f9,b08dddae5d1fa262708bc82ff62217e872ec66f9,"Readme, added image"
PavelKatunin,2015-06-01 18:56:34,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/aa52fb93c2e058d649ab88167f88dad1527e5c04,aa52fb93c2e058d649ab88167f88dad1527e5c04,Readme
PavelKatunin,2015-06-01 18:54:38,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/81bb2ccf8c94137a2558ee5cdf4df220951327c8,81bb2ccf8c94137a2558ee5cdf4df220951327c8,pod spec
PavelKatunin,2015-06-01 18:38:56,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/4ce55045d8aecf1e051e0ff62a285ede2ebef0ec,4ce55045d8aecf1e051e0ff62a285ede2ebef0ec,Project fixes
PavelKatunin,2015-06-01 18:31:07,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/95e58ce843412a4bffecb844ed4e8d20f839b831,95e58ce843412a4bffecb844ed4e8d20f839b831,License fixes
PavelKatunin,2015-06-01 18:16:45,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/d82a32a9b72d36c3a2183daf659e5c3809ca5097,d82a32a9b72d36c3a2183daf659e5c3809ca5097,Initial commit
PavelKatunin,2015-06-01 17:44:10,https://api.github.com/repos/PavelKatunin/DownloadButton/git/commits/7d24ca2be1363057bf3e3f88a4e608f94618bbec,7d24ca2be1363057bf3e3f88a4e608f94618bbec,Initial commit
