AYVibrantButton,A stylish button with iOS 8 vibrancy effect
username,timestamp,url,sha,message
a1anyip,2016-03-29 09:19:16,https://api.github.com/repos/a1anyip/AYVibrantButton/git/commits/f485ab7c7109c42fe2f9557310a22dbe832846f2,f485ab7c7109c42fe2f9557310a22dbe832846f2,Fixed README
a1anyip,2016-03-29 09:16:27,https://api.github.com/repos/a1anyip/AYVibrantButton/git/commits/93faa3da63feeacc3868469459bfa5c0c5476d87,93faa3da63feeacc3868469459bfa5c0c5476d87,Updated to 1.0.4
a1anyip,2014-08-03 14:25:23,https://api.github.com/repos/a1anyip/AYVibrantButton/git/commits/29b4fc8c1c4822cfa4a842ac3836e1b1edda58b7,29b4fc8c1c4822cfa4a842ac3836e1b1edda58b7,"Added AYVibrantButtonGroup (like UIToolbar)
Added property ""roundingCorners""
Changed property ""animationInterval"" to ""animationDuration"""
a1anyip,2014-07-30 00:50:25,https://api.github.com/repos/a1anyip/AYVibrantButton/git/commits/7eeadcb365f738c431ca9f9838e975cf6d48ca67,7eeadcb365f738c431ca9f9838e975cf6d48ca67,Updated to 1.0.3
a1anyip,2014-07-30 00:42:38,https://api.github.com/repos/a1anyip/AYVibrantButton/git/commits/b38d610a2fc4ce0909f350b1058f0033edf57bd3,b38d610a2fc4ce0909f350b1058f0033edf57bd3,"Merge pull request #2 from Evildime/Alpha-Value-Fix

Button Alpha Change Fix"
Evildime,2014-07-29 21:20:07,https://api.github.com/repos/a1anyip/AYVibrantButton/git/commits/5fd5829f404e3d23ccede73e521ad23aa133edb5,5fd5829f404e3d23ccede73e521ad23aa133edb5,added empty line in setAlpha to fulfill coding style
a1anyip,2014-07-29 15:00:02,https://api.github.com/repos/a1anyip/AYVibrantButton/git/commits/cd3aca283ac8bdafbab04490a4a2765c42ca26d3,cd3aca283ac8bdafbab04490a4a2765c42ca26d3,"Merge pull request #1 from Evildime/master

Added Button Style Fill"
Evildime,2014-07-29 13:58:25,https://api.github.com/repos/a1anyip/AYVibrantButton/git/commits/e110b6394a3f9b7c564dc0ab8c9768aa4a7c3313,e110b6394a3f9b7c564dc0ab8c9768aa4a7c3313,Button Alpha change respects touch state
Evildime,2014-07-29 13:16:22,https://api.github.com/repos/a1anyip/AYVibrantButton/git/commits/f653736bd5f89aa4083de76c653b926085361cb9,f653736bd5f89aa4083de76c653b926085361cb9,Fix for changing button alpha value
Evildime,2014-07-29 12:51:57,https://api.github.com/repos/a1anyip/AYVibrantButton/git/commits/855e312a6ca7968acf32f140716892a5b13c33a5,855e312a6ca7968acf32f140716892a5b13c33a5,Fixed indentation in header file
Evildime,2014-07-29 12:42:18,https://api.github.com/repos/a1anyip/AYVibrantButton/git/commits/b31f970cdfcd1ba9c03538ada481990daff54d07,b31f970cdfcd1ba9c03538ada481990daff54d07,Added empty line in createOverlays to fullfil consistent coding style
Evildime,2014-07-29 12:39:57,https://api.github.com/repos/a1anyip/AYVibrantButton/git/commits/4940928e201732176832b2086679e6850ba95470,4940928e201732176832b2086679e6850ba95470,Fixed indentation
Evildime,2014-07-29 12:07:00,https://api.github.com/repos/a1anyip/AYVibrantButton/git/commits/63117b7677493c29385349c3261458b3df168da1,63117b7677493c29385349c3261458b3df168da1,Added Button Style Fill
a1anyip,2014-07-27 03:34:14,https://api.github.com/repos/a1anyip/AYVibrantButton/git/commits/a339049bb76b8531d4b839e53cfcdad33a4bfc0b,a339049bb76b8531d4b839e53cfcdad33a4bfc0b,Updated README
a1anyip,2014-07-27 03:32:46,https://api.github.com/repos/a1anyip/AYVibrantButton/git/commits/424b00c17e11326c88e603783db106468e5b8187,424b00c17e11326c88e603783db106468e5b8187,Support setting icon image. Updated to 1.0.2.
a1anyip,2014-07-27 02:48:26,https://api.github.com/repos/a1anyip/AYVibrantButton/git/commits/13b9e67e9d901d9c66ce500f23f808c1d3df8024,13b9e67e9d901d9c66ce500f23f808c1d3df8024,Updated to 1.0.1
a1anyip,2014-07-26 08:19:24,https://api.github.com/repos/a1anyip/AYVibrantButton/git/commits/daa4c58725c0ff490b338b34ae7a24f6a63a3408,daa4c58725c0ff490b338b34ae7a24f6a63a3408,Fixed example code
a1anyip,2014-07-26 08:17:34,https://api.github.com/repos/a1anyip/AYVibrantButton/git/commits/f923c884de8a9ee1c2ac7d0a597d6bd5199a9272,f923c884de8a9ee1c2ac7d0a597d6bd5199a9272,Added a static screenshot
a1anyip,2014-07-26 05:35:46,https://api.github.com/repos/a1anyip/AYVibrantButton/git/commits/c6446a74e0bd7a8bcebfb3a675959e4ab7947033,c6446a74e0bd7a8bcebfb3a675959e4ab7947033,Updated README
a1anyip,2014-07-26 03:51:37,https://api.github.com/repos/a1anyip/AYVibrantButton/git/commits/761a9651d27c88741e1d68175a27be45b0601ff6,761a9651d27c88741e1d68175a27be45b0601ff6,Support CocoaPods.
a1anyip,2014-07-26 01:57:00,https://api.github.com/repos/a1anyip/AYVibrantButton/git/commits/edd76952c0d8a8d49e3e61ec1e29fb802a5a52b2,edd76952c0d8a8d49e3e61ec1e29fb802a5a52b2,Added translucency alpha settings for normal and highlighted states.
a1anyip,2014-07-25 16:50:44,https://api.github.com/repos/a1anyip/AYVibrantButton/git/commits/58a0927ffc063e1a50804eccb98835d50f984d6b,58a0927ffc063e1a50804eccb98835d50f984d6b,Initial commit
