what-happens-when,"An attempt to answer the age old interview question ""What happens when you type google.com into your browser and press enter?"""
username,timestamp,url,sha,message
vivekchand,2019-08-28 01:55:38,https://api.github.com/repos/alex/what-happens-when/git/commits/4f1483602692a1b8827a8ea8a6cc44e297d06b02,4f1483602692a1b8827a8ea8a6cc44e297d06b02,it's dropdown (#285)
muyiscoi,2019-07-06 20:28:03,https://api.github.com/repos/alex/what-happens-when/git/commits/dcc0896b3add7c146c6b3244e0cdac0ed41bd76e,dcc0896b3add7c146c6b3244e0cdac0ed41bd76e,"Add PATCH HTTP Request method (#281)

* Add PATCH HTTP Request method

* Wrap text

* remove trailing whitespace"
ashmichheda,2019-03-27 12:27:15,https://api.github.com/repos/alex/what-happens-when/git/commits/cd7e45deaed1510cc5026f4744434e995b2815c2,cd7e45deaed1510cc5026f4744434e995b2815c2,Fixed grammar (#278)
alex,2019-01-04 03:14:40,https://api.github.com/repos/alex/what-happens-when/git/commits/14f2f0addeb115fafb14695a31cb90be6ac669b2,14f2f0addeb115fafb14695a31cb90be6ac669b2,Fixed line length error
tettttsuo,2019-01-04 03:10:51,https://api.github.com/repos/alex/what-happens-when/git/commits/d18ec2cdd70c9e72acda40c52fb5f83fa015d84a,d18ec2cdd70c9e72acda40c52fb5f83fa015d84a,Japanese translation (#275)
alex,2018-05-04 02:25:55,https://api.github.com/repos/alex/what-happens-when/git/commits/50bb04e724e1a515a19bdaf2316ae75182712039,50bb04e724e1a515a19bdaf2316ae75182712039,line length
alex,2018-05-04 02:24:48,https://api.github.com/repos/alex/what-happens-when/git/commits/5cb5f739d8e18b7c0f07ab9e7002418d62420e60,5cb5f739d8e18b7c0f07ab9e7002418d62420e60,fixed line lengths
pavilion2t,2018-05-04 02:23:51,https://api.github.com/repos/alex/what-happens-when/git/commits/c153800dc7635ec363c5d9381f989c5d1c8ebcc0,c153800dc7635ec363c5d9381f989c5d1c8ebcc0,fixed grammar (#265)
frewsxcv,2018-04-26 02:30:26,https://api.github.com/repos/alex/what-happens-when/git/commits/6dc26c3d1dc9a698b161edd20d49c676d1ec4ffd,6dc26c3d1dc9a698b161edd20d49c676d1ec4ffd,doc8: wrap long line
CHBaker,2018-04-26 02:29:42,https://api.github.com/repos/alex/what-happens-when/git/commits/459c115aecbdee26aa558f431104e5d20482c359,459c115aecbdee26aa558f431104e5d20482c359,Update README.rst (#251)
SantonyChoi,2018-04-24 16:31:57,https://api.github.com/repos/alex/what-happens-when/git/commits/89ab453b15aec92840c649ef7018675bf62d0c2a,89ab453b15aec92840c649ef7018675bf62d0c2a,add link to Korean translation (#264)
piperchester,2017-04-09 12:51:44,https://api.github.com/repos/alex/what-happens-when/git/commits/3444d97c799740bb28144fb9e41804efeff69eab,3444d97c799740bb28144fb9e41804efeff69eab,Capitalize 'url' (#237)
april,2016-12-19 17:25:22,https://api.github.com/repos/alex/what-happens-when/git/commits/bde28a278c28b113181579ab3f35204649dd961a,bde28a278c28b113181579ab3f35204649dd961a,"Merge branch 'master' of github.com:alex/what-happens-when

* 'master' of github.com:alex/what-happens-when:
  Punycode conversions happen before the HSTS preload check (#227)"
april,2016-12-19 17:25:09,https://api.github.com/repos/alex/what-happens-when/git/commits/56e4f9322ce9fcf5f9a57d8d61d33923c44c09d8,56e4f9322ce9fcf5f9a57d8d61d33923c44c09d8,"Proper abbreviation, closes #223"
april,2016-12-14 21:29:12,https://api.github.com/repos/alex/what-happens-when/git/commits/8af1fe4a2f58543f60db509dcb1703e36934c986,8af1fe4a2f58543f60db509dcb1703e36934c986,Punycode conversions happen before the HSTS preload check (#227)
april,2016-12-14 21:26:13,https://api.github.com/repos/alex/what-happens-when/git/commits/9e456685f731886cd65080525b4a5c14717fa3f0,9e456685f731886cd65080525b4a5c14717fa3f0,Punycode conversions happen before the HSTS preload check
alex,2016-08-21 17:17:18,https://api.github.com/repos/alex/what-happens-when/git/commits/1cee5a8a565b729d5e31cf957321ed8820183cfb,1cee5a8a565b729d5e31cf957321ed8820183cfb,"oop, grammar"
alex,2016-08-21 17:16:12,https://api.github.com/repos/alex/what-happens-when/git/commits/1ae7860aafbdf25fe7d90e451615f7c764a41869,1ae7860aafbdf25fe7d90e451615f7c764a41869,linkify
alex,2016-08-17 11:21:01,https://api.github.com/repos/alex/what-happens-when/git/commits/a3c53d8265325adb3b4b009b226a9de18a700423,a3c53d8265325adb3b4b009b226a9de18a700423,backtikcs (#215)
alex,2016-08-17 11:17:39,https://api.github.com/repos/alex/what-happens-when/git/commits/5b44e898ff2a6d55b1a67dc40a79cdf50e025daf,5b44e898ff2a6d55b1a67dc40a79cdf50e025daf,"Merge pull request #214 from MattBow/master

filled up full HTTP request methods"
alex,2016-08-15 19:39:40,https://api.github.com/repos/alex/what-happens-when/git/commits/d498e6092eaa6212adc28d3f2edf274b81f3d1a9,d498e6092eaa6212adc28d3f2edf274b81f3d1a9,doc8 fixes
alex,2016-08-15 19:38:00,https://api.github.com/repos/alex/what-happens-when/git/commits/a99ce0acd8dc253f0a9664a015cde8b56a886c02,a99ce0acd8dc253f0a9664a015cde8b56a886c02,"Merge pull request #213 from leegabriel/master

Clarify 'ARP' and 'Layer 2'"
leegabriel,2016-08-15 19:30:52,https://api.github.com/repos/alex/what-happens-when/git/commits/7a5457f0976fb4e647c9e284f81f1dde8075a04c,7a5457f0976fb4e647c9e284f81f1dde8075a04c,Clarify 'ARP' and 'Layer 2'
alex,2016-07-12 17:02:13,https://api.github.com/repos/alex/what-happens-when/git/commits/2ab362024aaa38376478b9b135cdacbaa1b8cebe,2ab362024aaa38376478b9b135cdacbaa1b8cebe,"Merge pull request #212 from fwilson42/patch-1

it's -> its"
an-empty-string,2016-07-12 15:50:55,https://api.github.com/repos/alex/what-happens-when/git/commits/afd0be66eb0d5cd2b231a0052e67e8d82e3420ae,afd0be66eb0d5cd2b231a0052e67e8d82e3420ae,it's -> its
alex,2016-03-11 01:36:56,https://api.github.com/repos/alex/what-happens-when/git/commits/f139d13a3186b5f752b0b1e593ec5081ff0a0c64,f139d13a3186b5f752b0b1e593ec5081ff0a0c64,"Merge pull request #195 from kleinlieu/patch-1

""clicks"" to ""press"""
kleinlieu,2016-03-11 01:28:57,https://api.github.com/repos/alex/what-happens-when/git/commits/ad6d9dde15d379f91bebd28b1d0569092b5fc27b,ad6d9dde15d379f91bebd28b1d0569092b5fc27b,"""clicks"" to ""press""

Changes the phrases ""clicks"" to ""press"" for touch devices to appropriately account for the fact that there are no clicks on touch devices. I originally thought to suggest ""tap"" instead of ""press"", but opted for ""press"". Open to suggestions!"
alex,2015-05-01 14:33:05,https://api.github.com/repos/alex/what-happens-when/git/commits/6b35b196e1b8793b54d53c12a407168196c99c2a,6b35b196e1b8793b54d53c12a407168196c99c2a,"Merge pull request #177 from nikolas/patch-1

Remove sentence about Rockmelt"
nikolas,2015-05-01 14:27:05,https://api.github.com/repos/alex/what-happens-when/git/commits/348fff693bfeb38340e4c6201a28ac4ba0e51615,348fff693bfeb38340e4c6201a28ac4ba0e51615,"Remove sentence about Rockmelt

This browser was discontinued in 2013 (https://en.wikipedia.org/wiki/Rockmelt).
And this sentence had a typo in it."
alex,2015-04-27 11:09:33,https://api.github.com/repos/alex/what-happens-when/git/commits/37dea1b7446b979608dd7ef3ad52378d64506953,37dea1b7446b979608dd7ef3ad52378d64506953,"Merge pull request #175 from richardartoul/master

Fixed a typo"
richardartoul,2015-04-27 07:02:20,https://api.github.com/repos/alex/what-happens-when/git/commits/5d7961363330314dca1b0c19cf3bad9bd2a69da9,5d7961363330314dca1b0c19cf3bad9bd2a69da9,"Changed ""Javascript interpreter"" to ""Javascript engine""

I think the phrase ""Javascript engine"" is more accurate than ""Javascript interpreter"" because certain Javascript engines, like the V8 engine used in Google Chrome, convert Javascript directly into machine code and do not utilize an interpreter at all.

Source: https://developers.google.com/v8/design - Check the section titled ""Dynamic Machine Code Generation"""
richardartoul,2015-04-27 06:53:38,https://api.github.com/repos/alex/what-happens-when/git/commits/addb3fb0f5bed6043748c31205854ebaac40ec35,addb3fb0f5bed6043748c31205854ebaac40ec35,"Fixed a typo

I removed the letter ""s"" from the phrase ""uses a custom parsers"" so that it now reads ""uses a custom parser"""
BenjaminSchool,2015-03-13 23:40:14,https://api.github.com/repos/alex/what-happens-when/git/commits/3362c43b6e02ffc0fbe3a1fefe8e64588f1fddb8,3362c43b6e02ffc0fbe3a1fefe8e64588f1fddb8,Removed trailing whitespace
BenjaminSchool,2015-03-13 23:38:47,https://api.github.com/repos/alex/what-happens-when/git/commits/7b97b50f757ccd14b9664e5fc99eb611c8b9f850,7b97b50f757ccd14b9664e5fc99eb611c8b9f850,Merge branch 'master' of github.com:BenjaminProgram/what-happens-when
BenjaminSchool,2015-03-13 23:38:21,https://api.github.com/repos/alex/what-happens-when/git/commits/031522121d085d5b2847616faf8b05aec8f16e30,031522121d085d5b2847616faf8b05aec8f16e30,Fixed build errors
BenjaminSchool,2015-03-13 23:32:48,https://api.github.com/repos/alex/what-happens-when/git/commits/3c4402702f6abe61bcf47467ebe9b02c2deffdf4,3c4402702f6abe61bcf47467ebe9b02c2deffdf4,"Merged Browser history/bookmark lookup into The ""g"" key is pressed"
BenjaminSchool,2015-03-13 23:26:33,https://api.github.com/repos/alex/what-happens-when/git/commits/ae7dea4ff9dd10fa294e480ff268af1c5c946a59,ae7dea4ff9dd10fa294e480ff268af1c5c946a59,Expanded
BenjaminSchool,2015-03-13 23:25:39,https://api.github.com/repos/alex/what-happens-when/git/commits/f3eb154f7b125b6348b786b465e55b9adc5091b5,f3eb154f7b125b6348b786b465e55b9adc5091b5,Removed potential bias
BenjaminSchool,2015-03-13 22:52:35,https://api.github.com/repos/alex/what-happens-when/git/commits/1fa384f84f233eb7cb17214f0de7b0977955dd08,1fa384f84f233eb7cb17214f0de7b0977955dd08,Fixed ordering
alex,2015-03-13 21:30:10,https://api.github.com/repos/alex/what-happens-when/git/commits/95acd4da14e802916bad1eb0de21a65b39e08e42,95acd4da14e802916bad1eb0de21a65b39e08e42,"Merge pull request #168 from zoffixznet/fix_typo1

Fixed typo"
zoffixznet,2015-03-13 21:04:15,https://api.github.com/repos/alex/what-happens-when/git/commits/996151446c4b93a2c222eaa8b86e28badc3cf3fa,996151446c4b93a2c222eaa8b86e28badc3cf3fa,Fixed typo
AdamCanady,2015-03-12 16:46:57,https://api.github.com/repos/alex/what-happens-when/git/commits/d46512a286970331e8fa967649ba5801800128a4,d46512a286970331e8fa967649ba5801800128a4,Fix typos
andreasbeer1981,2015-03-12 11:33:15,https://api.github.com/repos/alex/what-happens-when/git/commits/ad27a89d481a7cc0ebb4dd1d57413408d716ad13,ad27a89d481a7cc0ebb4dd1d57413408d716ad13,"Add autocompletion

This is default behaviour for most browsers by now, so we should add it."
alex,2015-02-25 03:20:43,https://api.github.com/repos/alex/what-happens-when/git/commits/9d0c85b944a22d2d6cea68329630af077533f7c3,9d0c85b944a22d2d6cea68329630af077533f7c3,"Merge pull request #158 from benignbemine/patch-1

Fixed typo ""library"""
kyleaowen,2015-02-25 03:18:39,https://api.github.com/repos/alex/what-happens-when/git/commits/ecd136549201ad36a79dca58cc1014e6ffac3664,ecd136549201ad36a79dca58cc1014e6ffac3664,"Fixed typo ""library""

Line 217, changed ""lbirary"" to ""library"""
YusefOuda,2015-02-18 21:53:04,https://api.github.com/repos/alex/what-happens-when/git/commits/ec6d9863a6a79f72950b5137df89ef65462ea826,ec6d9863a6a79f72950b5137df89ef65462ea826,"Fixes wording issue

Changes 'affecting' to 'causing', I think this might cause a little less confusion on this last sentence."
YusefOuda,2015-02-18 21:37:50,https://api.github.com/repos/alex/what-happens-when/git/commits/5f17ba437b3ea729516e2628abd6d4b3dd0a8b8f,5f17ba437b3ea729516e2628abd6d4b3dd0a8b8f,"Fix typo in readme

Change 'effecting' to 'affecting' inside of Post-rendering section"
scottsb,2015-02-16 02:39:52,https://api.github.com/repos/alex/what-happens-when/git/commits/12a204f78ea767834bf1dccd83a02eab7f3ed3c2,12a204f78ea767834bf1dccd83a02eab7f3ed3c2,fix line lengths to make travis happy
scottsb,2015-02-16 02:31:59,https://api.github.com/repos/alex/what-happens-when/git/commits/dcaa12005d153f6a1a381e451e98450a89b64843,dcaa12005d153f6a1a381e451e98450a89b64843,moving to a common voice/tense
scottsb,2015-02-16 01:59:29,https://api.github.com/repos/alex/what-happens-when/git/commits/d509a1b4f3a539924ff78e99b4a8e757e8c171b6,d509a1b4f3a539924ff78e99b4a8e757e8c171b6,more tls clarification / fix typos / remove empty headers
scottsb,2015-02-16 01:52:36,https://api.github.com/repos/alex/what-happens-when/git/commits/a0590eb5823375afc9039346bfe5b05d57973c5a,a0590eb5823375afc9039346bfe5b05d57973c5a,more tls clarifi ation
scottsb,2015-02-16 00:14:13,https://api.github.com/repos/alex/what-happens-when/git/commits/2559baebb1478f1f0c8ae477efcaf0ce60cb0abc,2559baebb1478f1f0c8ae477efcaf0ce60cb0abc,clarified tls handshake
scottsb,2015-02-15 23:48:04,https://api.github.com/repos/alex/what-happens-when/git/commits/b6cad66e235d421bb1c4eee0a573f21b5e28a30d,b6cad66e235d421bb1c4eee0a573f21b5e28a30d,copyediting throughout
lpww,2015-02-11 04:22:17,https://api.github.com/repos/alex/what-happens-when/git/commits/e0c694b2a977745cc17dd04e33e775e34764d411,e0c694b2a977745cc17dd04e33e775e34764d411,Update punctuation
rjatkinson2,2015-02-10 17:00:48,https://api.github.com/repos/alex/what-happens-when/git/commits/7758d9ceed745144ade72f2b9bb405dfafa53b4e,7758d9ceed745144ade72f2b9bb405dfafa53b4e,"Fixed typo in README.rst

Corrected use of ""top down"" and ""bottom up"" with accurate hyphenated versions ""top-down"" and ""bottom-up""."
lpww,2015-02-10 15:37:03,https://api.github.com/repos/alex/what-happens-when/git/commits/6b30c8fdeee49ed8effcf16b9552feac746ee4ee,6b30c8fdeee49ed8effcf16b9552feac746ee4ee,"Fix run on sentence

Add grammar to a run on sentence in a bid to decrease confusion of readers. No other changes were made."
alex,2015-02-09 11:05:32,https://api.github.com/repos/alex/what-happens-when/git/commits/28ce6ffbba5a5058d58086efe979a7da9819a647,28ce6ffbba5a5058d58086efe979a7da9819a647,"Merge pull request #151 from alex/alex-patch-1

Use correct markup"
alex,2015-02-09 11:04:56,https://api.github.com/repos/alex/what-happens-when/git/commits/cda758aa6db147da9fc07ea03ef2ff01486a2d92,cda758aa6db147da9fc07ea03ef2ff01486a2d92,Use correct markup
alex,2015-02-09 11:04:19,https://api.github.com/repos/alex/what-happens-when/git/commits/b5c7c9e1206a4811764d11533a126b60d68e8df7,b5c7c9e1206a4811764d11533a126b60d68e8df7,"Merge pull request #150 from BenjaminProgram/fix-2

Fixed build errors in pull request #149"
mattbrundage,2015-02-09 03:51:01,https://api.github.com/repos/alex/what-happens-when/git/commits/089015b17526e31c9af6ba306624c91097a53559,089015b17526e31c9af6ba306624c91097a53559,"Update README.rst

mention inline CSS"
thomasleveil,2015-02-01 19:10:01,https://api.github.com/repos/alex/what-happens-when/git/commits/93875c7735b5cca922ee4d8382fa28785005d61e,93875c7735b5cca922ee4d8382fa28785005d61e,"typo

peice -> piece"
logeshpaul,2015-01-30 12:53:00,https://api.github.com/repos/alex/what-happens-when/git/commits/402014f0146d47d130ee656036b78d848a8a5595,402014f0146d47d130ee656036b78d848a8a5595,build error fix
logeshpaul,2015-01-30 12:39:49,https://api.github.com/repos/alex/what-happens-when/git/commits/409c18f9cd8a8ebb783df1a5cf5798185041b5a3,409c18f9cd8a8ebb783df1a5cf5798185041b5a3,More formatting update
logeshpaul,2015-01-30 12:38:49,https://api.github.com/repos/alex/what-happens-when/git/commits/74b82ee98282452f542b630d0f50ba8afde2b2a4,74b82ee98282452f542b630d0f50ba8afde2b2a4,Formatting updates
logeshpaul,2015-01-30 12:04:44,https://api.github.com/repos/alex/what-happens-when/git/commits/10a54ed30bf8cd89f48152b163534bf1462a76d1,10a54ed30bf8cd89f48152b163534bf1462a76d1,Merge branch 'master' of github-personal:logeshpaul/what-happens-when
logeshpaul,2015-01-30 12:04:27,https://api.github.com/repos/alex/what-happens-when/git/commits/84e2b33e6b7a3f50e7b384c843c295c7d30d5efb,84e2b33e6b7a3f50e7b384c843c295c7d30d5efb,"Added Behind the scenes of Browser, Browser Internals"
jarfil,2015-01-29 15:52:23,https://api.github.com/repos/alex/what-happens-when/git/commits/a21b3707207d0212c73a57c18783c6b75a8a3932,a21b3707207d0212c73a57c18783c6b75a8a3932,Corrected MAC broadcast address
logeshpaul,2015-01-28 17:33:47,https://api.github.com/repos/alex/what-happens-when/git/commits/28a75aa1f8192f45bdd66477c333b5a54af64629,28a75aa1f8192f45bdd66477c333b5a54af64629,Added fetching and js code execution
logeshpaul,2015-01-28 13:32:38,https://api.github.com/repos/alex/what-happens-when/git/commits/73852fd7ccb756fe4289b140431070e1e5f70058,73852fd7ccb756fe4289b140431070e1e5f70058,formatting update to fix travis CI issue
