l5-repository,Laravel 5 - Repositories to abstract the database layer
username,timestamp,url,sha,message
eullercdr,2019-09-11 14:09:40,https://api.github.com/repos/andersao/l5-repository/git/commits/c4f56cffbd23d61e16d2a8a9df0c651037313b54,c4f56cffbd23d61e16d2a8a9df0c651037313b54,"Merge pull request #634 from eullercdr/master

Update composer for compatibility Laravel 6"
eullercdr,2019-09-11 14:08:10,https://api.github.com/repos/andersao/l5-repository/git/commits/247bbe8a7b096b0925495c9ba6c0b1f46a62ac24,247bbe8a7b096b0925495c9ba6c0b1f46a62ac24,Update composer.json
eullercdr,2019-09-11 14:04:43,https://api.github.com/repos/andersao/l5-repository/git/commits/ad2e4e9c53e03e828988407d1d20a89bdce6c2d4,ad2e4e9c53e03e828988407d1d20a89bdce6c2d4,Update composer.json
eullercdr,2019-09-11 13:49:41,https://api.github.com/repos/andersao/l5-repository/git/commits/e5d2a6587008927d3868515d68b914dd1611d98f,e5d2a6587008927d3868515d68b914dd1611d98f,"Merge pull request #632 from dongm2ez/master

feat: Add Simplified Chinese"
dongm2ez,2019-09-11 09:16:00,https://api.github.com/repos/andersao/l5-repository/git/commits/f6c2d702830411e02a0bdc0aaa4ce2fc29337682,f6c2d702830411e02a0bdc0aaa4ce2fc29337682,feat: Add Simplified Chinese
eullercdr,2019-08-30 13:49:44,https://api.github.com/repos/andersao/l5-repository/git/commits/1bd39355c90a4ae241f0442ccb3b16508bd1ee29,1bd39355c90a4ae241f0442ccb3b16508bd1ee29,"Merge pull request #545 from mguariero/master

Added method that makes the count of the records without the need to …"
mguariero,2019-08-30 13:40:58,https://api.github.com/repos/andersao/l5-repository/git/commits/e19f1a3164877b740e7d14fa7f2e1e4e508a7379,e19f1a3164877b740e7d14fa7f2e1e4e508a7379,Update BaseRepository.php
eullercdr,2019-08-30 12:49:07,https://api.github.com/repos/andersao/l5-repository/git/commits/dcb7b8cbc6e2799956d8b7472e78a29eb4140e0f,dcb7b8cbc6e2799956d8b7472e78a29eb4140e0f,"Merge pull request #569 from flamerecca/master

feat: Add Traditional Chinese"
eullercdr,2019-08-30 12:46:05,https://api.github.com/repos/andersao/l5-repository/git/commits/79afe3ebabe494e4aca4ea77d435758cb61b6d4b,79afe3ebabe494e4aca4ea77d435758cb61b6d4b,"Merge pull request #587 from robertoarruda/master

BaseRepository::findWhereBetween()"
eullercdr,2019-08-30 12:35:56,https://api.github.com/repos/andersao/l5-repository/git/commits/8f6cd1c2f3dd4c2f6c58d08a5b27a211d294948c,8f6cd1c2f3dd4c2f6c58d08a5b27a211d294948c,"Merge pull request #584 from joris-vercammen-cali/patch-1

Remove double word 'done'."
eullercdr,2019-08-30 12:31:19,https://api.github.com/repos/andersao/l5-repository/git/commits/22d1ef9815f0002a564148f244a02174ecddd1fb,22d1ef9815f0002a564148f244a02174ecddd1fb,"Merge pull request #624 from jgile/feature/updateorcreate

updateOrCreate validation"
eullercdr,2019-08-30 12:23:24,https://api.github.com/repos/andersao/l5-repository/git/commits/881308fa6ced4a32c66813250fbd747ccf36b00b,881308fa6ced4a32c66813250fbd747ccf36b00b,"Merge pull request #621 from KarimQaderi/patch-1

add limit to BaseRepository"
eullercdr,2019-08-29 20:17:35,https://api.github.com/repos/andersao/l5-repository/git/commits/00a9463c8a143ecdb69177550557939287cb793d,00a9463c8a143ecdb69177550557939287cb793d,"Merge pull request #616 from lloricode/for-laravel6

For laravel 6"
KarimQaderi,2019-08-26 08:10:08,https://api.github.com/repos/andersao/l5-repository/git/commits/94763b9aec414b03847b6da32d56bb5ae2c255ed,94763b9aec414b03847b6da32d56bb5ae2c255ed,add limit to BaseRepository
lloricode,2019-07-26 02:40:08,https://api.github.com/repos/andersao/l5-repository/git/commits/c37cbe174c62c5fb9b1f685845a9656c72902299,c37cbe174c62c5fb9b1f685845a9656c72902299,For laravel 6
jgile,2019-04-18 14:11:29,https://api.github.com/repos/andersao/l5-repository/git/commits/7c971c5962d1030bb93cddaa2dca4f46406ab9e1,7c971c5962d1030bb93cddaa2dca4f46406ab9e1,"updateOrCreate validation

change validation to use RULE_CREATE and validate both values and attributes
fixes #541
fixes #389"
robertoarruda,2019-02-15 12:21:42,https://api.github.com/repos/andersao/l5-repository/git/commits/cd9c487c328372b8aaf83ea9ffa305df9291d275,cd9c487c328372b8aaf83ea9ffa305df9291d275,Create the findWhereBetween() method in BaseRepository
robertoarruda,2019-02-13 17:26:24,https://api.github.com/repos/andersao/l5-repository/git/commits/9410bca71ed2aab4fc795f23a96a81219c0cf14a,9410bca71ed2aab4fc795f23a96a81219c0cf14a,Create the findWhereBetween() method in BaseRepository
joris-vercammen-cali,2019-01-15 13:25:25,https://api.github.com/repos/andersao/l5-repository/git/commits/4134f6b3fe6f1ce9044857c39eb93282d2464537,4134f6b3fe6f1ce9044857c39eb93282d2464537,Remove double word 'done'.
mguariero,2018-07-25 22:58:13,https://api.github.com/repos/andersao/l5-repository/git/commits/f0584e34f6b24e2919207dbe26ac4184f306619d,f0584e34f6b24e2919207dbe26ac4184f306619d,"Revert ""altera nome do repositorio""

This reverts commit d24e09526929c25876f92cce1e324e85d7c2b8c6."
mguariero,2018-07-25 22:41:02,https://api.github.com/repos/andersao/l5-repository/git/commits/d24e09526929c25876f92cce1e324e85d7c2b8c6,d24e09526929c25876f92cce1e324e85d7c2b8c6,altera nome do repositorio
mguariero,2018-07-25 22:28:02,https://api.github.com/repos/andersao/l5-repository/git/commits/a6c8ccf42d4a6b0df6ff5c047b76648316406e50,a6c8ccf42d4a6b0df6ff5c047b76648316406e50,Added method that makes the count of the records without the need to return the records
