BWWalkthrough,BWWalkthrough is a class to build custom walkthroughs for your iOS App
username,timestamp,url,sha,message
ariok,2019-04-11 16:42:34,https://api.github.com/repos/ariok/BWWalkthrough/git/commits/498db6bf6eb72c6216ff7557a8031f8afe5e8a41,498db6bf6eb72c6216ff7557a8031f8afe5e8a41,Update podspec.
ariok,2019-04-11 15:28:32,https://api.github.com/repos/ariok/BWWalkthrough/git/commits/15dec421c583a4f8a3edbb77b2737f79b1c790c7,15dec421c583a4f8a3edbb77b2737f79b1c790c7,Move project to Swift 5.
ariok,2018-12-13 13:48:24,https://api.github.com/repos/ariok/BWWalkthrough/git/commits/d9b2d618c9c027c26f139eff04142c6db6a7e21d,d9b2d618c9c027c26f139eff04142c6db6a7e21d,Bump version to 3.0.1.
ariok,2018-12-13 13:46:59,https://api.github.com/repos/ariok/BWWalkthrough/git/commits/30f020c3a6c3ad37682465a88cd917b7470fc6f8,30f020c3a6c3ad37682465a88cd917b7470fc6f8,Set deploy target to iOS 9.0 [Closes #120]
ariok,2018-10-03 16:57:14,https://api.github.com/repos/ariok/BWWalkthrough/git/commits/b1f64e65f640a0aa58a63b218aff4ae42cf373cd,b1f64e65f640a0aa58a63b218aff4ae42cf373cd,Remove .swift_version file.
ariok,2018-10-03 16:42:45,https://api.github.com/repos/ariok/BWWalkthrough/git/commits/98bf82ee97cd98da804c93204f93b955b988d54e,98bf82ee97cd98da804c93204f93b955b988d54e,Update pod.
ariok,2018-10-03 16:02:48,https://api.github.com/repos/ariok/BWWalkthrough/git/commits/fcd22864fe7eb04fb70506ec07ef80e60fefbe12,fcd22864fe7eb04fb70506ec07ef80e60fefbe12,Bump version to 3.0.0.
ariok,2018-10-03 16:00:38,https://api.github.com/repos/ariok/BWWalkthrough/git/commits/415b248a80d0e87cb7d32627687931cf414436d2,415b248a80d0e87cb7d32627687931cf414436d2,Fix autolayout with Safe Area references.
ariok,2018-10-03 15:38:26,https://api.github.com/repos/ariok/BWWalkthrough/git/commits/b020093d7b95bbdfb58fe55bdbda621a863396e1,b020093d7b95bbdfb58fe55bdbda621a863396e1,Minor UI fixes in the example project.
ariok,2018-10-03 15:36:06,https://api.github.com/repos/ariok/BWWalkthrough/git/commits/f5343583725039094bc5e28e93525d30d9bbb5d3,f5343583725039094bc5e28e93525d30d9bbb5d3,Bump to swift 4.2. Fix minor issues. [Closes #119]
ariok,2017-11-13 16:18:28,https://api.github.com/repos/ariok/BWWalkthrough/git/commits/16fc44b3e04aee9f7b5130b8174b95658cd6f7b2,16fc44b3e04aee9f7b5130b8174b95658cd6f7b2,Update podspec.
ariok,2017-10-19 12:14:14,https://api.github.com/repos/ariok/BWWalkthrough/git/commits/9590ae7bdced80caddd6cf2d4b3dbc80b6aa720f,9590ae7bdced80caddd6cf2d4b3dbc80b6aa720f,"Merge pull request #109 from kumapo/swift-4.0

Fix compile error when built with Swift 4.0 and CocoaPods"
kumapo,2017-08-17 05:50:10,https://api.github.com/repos/ariok/BWWalkthrough/git/commits/14b749e655738551da9c123ba64e8b4f46ae24fe,14b749e655738551da9c123ba64e8b4f46ae24fe,Add `@objc` to BWWalkthroughViewController.pageControlDidTouch() to fix swift 4.0 compile error
ariok,2017-06-14 19:55:24,https://api.github.com/repos/ariok/BWWalkthrough/git/commits/32c2b78bfd61952e59766b15f869e311e2755f19,32c2b78bfd61952e59766b15f869e311e2755f19,Update podspec.
ariok,2017-06-14 19:50:03,https://api.github.com/repos/ariok/BWWalkthrough/git/commits/d82e63814ede50b6143aec93e724cbda107ff6b4,d82e63814ede50b6143aec93e724cbda107ff6b4,Merge branch 'nighthawk-patch-1'
ariok,2017-06-14 19:49:47,https://api.github.com/repos/ariok/BWWalkthrough/git/commits/84fd4725931bbd6a4584eaa3502ba09def489e5a,84fd4725931bbd6a4584eaa3502ba09def489e5a,Change M_PI to Double.pi.
nighthawk,2017-06-14 09:13:11,https://api.github.com/repos/ariok/BWWalkthrough/git/commits/32fe5a865721116e0f1de6bf374fd2dd89c1782c,32fe5a865721116e0f1de6bf374fd2dd89c1782c,"Use parent-child relationship

By calling the `addChildViewController` and `didMove(toParentViewController:)` methods, embedded child view controller can do things like presenting a modal view controller."
ariok,2017-04-05 15:26:37,https://api.github.com/repos/ariok/BWWalkthrough/git/commits/45193ac3d612f29bf461e473759734c67807f99f,45193ac3d612f29bf461e473759734c67807f99f,Update README.md
ariok,2017-02-04 07:33:11,https://api.github.com/repos/ariok/BWWalkthrough/git/commits/00042471d9b4a5e6905bd0a5e2508837a96877a6,00042471d9b4a5e6905bd0a5e2508837a96877a6,Update podspec.
ariok,2017-02-04 07:27:39,https://api.github.com/repos/ariok/BWWalkthrough/git/commits/5f84320b4a65bac9666555cfc94e38d6d9feda0a,5f84320b4a65bac9666555cfc94e38d6d9feda0a,"Set deploy target to 9.0.

[fix #85]"
ariok,2016-12-10 10:10:36,https://api.github.com/repos/ariok/BWWalkthrough/git/commits/343a21fe21ff20172616a1212b7c4ad98563f7d7,343a21fe21ff20172616a1212b7c4ad98563f7d7,Update README.md
ariok,2016-12-06 23:50:11,https://api.github.com/repos/ariok/BWWalkthrough/git/commits/5f16f7650e7d5c2d0c61460f91e162e1e03ce91f,5f16f7650e7d5c2d0c61460f91e162e1e03ce91f,Update cocoapod info.
ariok,2016-12-06 23:26:15,https://api.github.com/repos/ariok/BWWalkthrough/git/commits/79de3fa413647176d77e36a0fd2f577fc6ae006d,79de3fa413647176d77e36a0fd2f577fc6ae006d,Update manual installation info.
ariok,2016-12-06 23:23:17,https://api.github.com/repos/ariok/BWWalkthrough/git/commits/e4c6821470f64db8855d1e580055cad683da2d96,e4c6821470f64db8855d1e580055cad683da2d96,"Update Documentation.
Add new podspec."
