meteor-up,Production Quality Meteor Deployment to Anywhere
username,timestamp,url,sha,message
zodern,2019-04-28 00:30:32,https://api.github.com/repos/zodern/meteor-up/git/commits/4f23c8b837b8931aa8e2abd36c6c1f18f0832730,4f23c8b837b8931aa8e2abd36c6c1f18f0832730,Release 1.4.6
zodern,2019-04-28 00:28:29,https://api.github.com/repos/zodern/meteor-up/git/commits/89f3b34a97d1d845f847ced2f21b75c1204496fe,89f3b34a97d1d845f847ced2f21b75c1204496fe,Merge pull request #1080 from zodern/1.4.6
zodern,2019-04-28 00:25:36,https://api.github.com/repos/zodern/meteor-up/git/commits/974ee1a28c46983fcc83bbab8fd815c0bfcd8ec1,974ee1a28c46983fcc83bbab8fd815c0bfcd8ec1,Update changelog
zodern,2018-12-27 00:02:44,https://api.github.com/repos/zodern/meteor-up/git/commits/e539c2622613e3637e5149673e8ac012bbea5ec9,e539c2622613e3637e5149673e8ac012bbea5ec9,Update list of plugins
zodern,2018-12-06 02:14:00,https://api.github.com/repos/zodern/meteor-up/git/commits/16fa64db34f357eab57f7c8af284fbd36be73e62,16fa64db34f357eab57f7c8af284fbd36be73e62,Rotate mongo logs
zodern,2018-12-06 02:13:52,https://api.github.com/repos/zodern/meteor-up/git/commits/6efd612c025fdb468c281d6f8441aac7135279ad,6efd612c025fdb468c281d6f8441aac7135279ad,Rotate proxy logs
zodern,2018-12-05 22:57:24,https://api.github.com/repos/zodern/meteor-up/git/commits/c0ab39cacf2e7bc46cf3c8ce386823f189e0cc17,c0ab39cacf2e7bc46cf3c8ce386823f189e0cc17,Fix error when setting up and no servers object
zodern,2018-06-10 02:29:44,https://api.github.com/repos/zodern/meteor-up/git/commits/3c7120a75c12ea12fdd5688e33574c12e158fd07,3c7120a75c12ea12fdd5688e33574c12e158fd07,Release 1.4.5
zodern,2018-06-10 02:24:42,https://api.github.com/repos/zodern/meteor-up/git/commits/c76428d671ce9c00d3842e85de7362272b9000f3,c76428d671ce9c00d3842e85de7362272b9000f3,Merge branch 'dev'
zodern,2018-06-09 19:15:39,https://api.github.com/repos/zodern/meteor-up/git/commits/efc17e03c8e113c4f5ffb9205edf6197d93d7e05,efc17e03c8e113c4f5ffb9205edf6197d93d7e05,Fix example config
zodern,2018-06-09 19:10:48,https://api.github.com/repos/zodern/meteor-up/git/commits/2eac826721c27ed7c930bad746aa171095a8fada,2eac826721c27ed7c930bad746aa171095a8fada,Fix proxy.clientUploadLimit when nginxServerConfig isn't used
zodern,2018-06-09 18:27:42,https://api.github.com/repos/zodern/meteor-up/git/commits/c4db2d269215667c2ac1e9c06e898d1e4ffce9a1,c4db2d269215667c2ac1e9c06e898d1e4ffce9a1,Add option to keep the app running during Prepare Bundle
zodern,2018-06-09 12:46:00,https://api.github.com/repos/zodern/meteor-up/git/commits/bd740ea3bc08198db718b3686124c74b88815935,bd740ea3bc08198db718b3686124c74b88815935,Improve message shown when container has no ip address
zodern,2018-06-09 12:29:17,https://api.github.com/repos/zodern/meteor-up/git/commits/c8819bd535beba950f8e6831ae6bb660b2a766c7,c8819bd535beba950f8e6831ae6bb660b2a766c7,Fix getting IP address for containers on user defined network
zodern,2018-06-09 01:17:23,https://api.github.com/repos/zodern/meteor-up/git/commits/1c5b5d87252d5fb6bbd0abde389e96685a503ecc,1c5b5d87252d5fb6bbd0abde389e96685a503ecc,Update dependencies
zodern,2018-06-09 01:01:01,https://api.github.com/repos/zodern/meteor-up/git/commits/5c7492b39e55e52b8b5b099133fc30354ace0ffc,5c7492b39e55e52b8b5b099133fc30354ace0ffc,Update node-tar
zodern,2018-06-08 19:35:17,https://api.github.com/repos/zodern/meteor-up/git/commits/2db14a9722b52bda467769ff16bc576a499f425a,2db14a9722b52bda467769ff16bc576a499f425a,Merge remote-tracking branch 'origin/master' into dev
zodern,2018-06-08 18:04:05,https://api.github.com/repos/zodern/meteor-up/git/commits/819ffd8de2a9dd607408a7db15a76d2ad8213339,819ffd8de2a9dd607408a7db15a76d2ad8213339,"Merge pull request #937 from pravdomil/patch-2

use restart=unless-stopped to prevent mongo container start after reboot"
pravdomil,2018-04-26 16:41:49,https://api.github.com/repos/zodern/meteor-up/git/commits/a08e3f41efabf2a8644afa9a3bb29d7ca73eae61,a08e3f41efabf2a8644afa9a3bb29d7ca73eae61,use restart=unless-stopped to prevent container start after reboot
