iconv-lite,Convert character encodings in pure javascript.
username,timestamp,url,sha,message
ashtuchkin,2019-06-26 22:25:17,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/2b4125d11a733a40e45a755648389b2512a97a62,2b4125d11a733a40e45a755648389b2512a97a62,Release 0.5.0: Added UTF-32 encoding
ashtuchkin,2019-06-26 22:10:11,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/d01d0a025fe94f300da44fd19b98a479d6e74d52,d01d0a025fe94f300da44fd19b98a479d6e74d52,Update .travis.yml
kshetline,2019-06-26 21:42:01,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/841031fb3d1fb1c055ccebda795202aa250bad42,841031fb3d1fb1c055ccebda795202aa250bad42,Add support for UTF-32 (#216)
ashtuchkin,2019-06-26 21:36:26,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/f2d7ba8b7787262f5a23e0ee14ea2d0575ac1c9a,f2d7ba8b7787262f5a23e0ee14ea2d0575ac1c9a,Update README.md
ashtuchkin,2019-06-26 03:35:23,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/d184d143928658f9f599de509072f442270f726a,d184d143928658f9f599de509072f442270f726a,Update README.md
oldj,2019-06-26 03:03:16,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/c4a4f0f50e30b8a7139f477d39bb2096bc6a9f14,c4a4f0f50e30b8a7139f477d39bb2096bc6a9f14,"Update README.md (#217)

Fixed the incorrect link address."
ashtuchkin,2018-08-22 20:02:55,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/efbbb0937ca8dda1c14e0b69958b9d6f20771f7a,efbbb0937ca8dda1c14e0b69958b9d6f20771f7a,Release 0.4.24: Added MIK encoding
Ivan-Kalatchev,2018-08-22 19:59:40,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/5a85eb967f524deeabff3324708a0aa097dc7b4a,5a85eb967f524deeabff3324708a0aa097dc7b4a,Add MIK character encoding (#196)
tlhunter,2018-08-08 18:59:01,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/6e4508f9d5d651b616a25031d9e56bf65af66aa3,6e4508f9d5d651b616a25031d9e56bf65af66aa3,"Replacing an instance of `new Buffer.from()` (#195)

I believe this was an oversight from the commit 59314034f2bb1a1d622023d8acfec64961629364."
avindra,2018-05-23 18:40:37,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/37e13977e0f947746a33706170487b99de255eef,37e13977e0f947746a33706170487b99de255eef,"Don't ship travis config (#189)

Adds `.travis.yml` to `.npmignore` so that the travis config is not published to npm"
ashtuchkin,2018-05-07 22:16:13,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/d37d558b3caf5a158bf70accb788c36286fffca5,d37d558b3caf5a158bf70accb788c36286fffca5,Release 0.4.23: Fix deprecation warning for Node v10 and typings
felixfbecker,2018-05-07 22:09:37,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/9ee0361dc8c6d1f0c2e3fb31006bc6c2b0b03841,9ee0361dc8c6d1f0c2e3fb31006bc6c2b0b03841,"Fix TypeScript typings regression (#155)

Change NodeBuffer back to Buffer"
larssn,2018-05-07 22:06:28,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/17d00ab8cd663acafe390d8224ca1d44cb0b2085,17d00ab8cd663acafe390d8224ca1d44cb0b2085,"Replace NodeBuffer with Buffer in typings (#186)

NodeBuffer was removed a while ago."
felixbuenemann,2018-05-07 22:03:28,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/466f683e799463d2a0e13d512a1d77680dd0ffb2,466f683e799463d2a0e13d512a1d77680dd0ffb2,"Fix node encodings check Buffer() deprecation (#185)

This fixes a deprecation warning on Node v10 due to a call to
`new Buffer(0)` for node encoding feature detection."
ashtuchkin,2018-05-05 23:24:58,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/6b9091873b12929a605c819a547ce73a916ccd01,6b9091873b12929a605c819a547ce73a916ccd01,Release 0.4.22: Fix support for NPM v1.x (used in Node v0.10)
dougwilson,2018-05-05 23:18:29,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/be3c9e5728352bf8924c8d340423b99812e27472,be3c9e5728352bf8924c8d340423b99812e27472,"Use older semver style for old Node.js 0.10 npm versions (#182)

* Use older semver style for old Node.js 0.10 npm versions
* Fix test for changes Node.js 10 behavior"
ashtuchkin,2018-04-07 04:30:43,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/c679ab26ad95a804ff95671d7258a505ccba36c2,c679ab26ad95a804ff95671d7258a505ccba36c2,Release 0.4.21: Minor fixes
ashtuchkin,2018-04-07 04:19:17,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/696be8a260a9988caba0092bb5a734a96ff9bf58,696be8a260a9988caba0092bb5a734a96ff9bf58,Fix encoding canonicalization (fixes #156)
ashtuchkin,2018-04-07 04:09:23,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/67836d538be4c03ae0d2e59c04dd7290e2ee8919,67836d538be4c03ae0d2e59c04dd7290e2ee8919,"Remove Adoption section from readme

It's not relevant anymore."
LMLB,2018-03-03 20:30:59,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/b8faf3656c65a5d42ab6c7e1cc88a9bd9a80c227,b8faf3656c65a5d42ab6c7e1cc88a9bd9a80c227,"Fix the paths in ""browser"" field in package.json

Those paths are relative to `package.json`, and the files are in the `lib` directory."
ashtuchkin,2018-04-07 04:00:31,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/9a6ad952f47639d16c1e7273d07a5660ab0634e1,9a6ad952f47639d16c1e7273d07a5660ab0634e1,Release 0.4.20: Updated Buffer constructor usage to comply with Node v10 deprecations
ChALkeR,2018-03-21 20:13:37,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/59314034f2bb1a1d622023d8acfec64961629364,59314034f2bb1a1d622023d8acfec64961629364,"Use Buffer.(from|alloc) instead of deprecated Buffer API

This also includes a dependnecy on a polyfill targeting older Node.js
versions where Buffer.alloc() and Buffer.from() API is not implemented
(Node.js < 4.5.0 and some 5.x versions).

Fixes: https://github.com/ashtuchkin/iconv-lite/issues/176

Ref: https://github.com/nodejs/node/issues/19079
Ref: https://nodejs.org/api/deprecations.html#deprecations_dep0005_buffer_constructor
Ref: https://nodejs.org/api/buffer.html#buffer_class_buffer
Ref: https://github.com/ChALkeR/safer-buffer/blob/master/Porting-Buffer.md"
ChALkeR,2018-03-26 06:52:49,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/f45904b5c449ac6cfa206a2e0e870d533aa4183b,f45904b5c449ac6cfa206a2e0e870d533aa4183b,"Downgrade dev deps to fix build on older Node.js (#178)

This eliminates `const` usage which breaks on older Node.js versions
present in the test matrix.

Downgraded mocha to ^3 and request to ~2.81."
ashtuchkin,2017-09-10 03:47:40,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/5255c1b3c81a0f276619cce3151a1923cba90431,5255c1b3c81a0f276619cce3151a1923cba90431,Release 0.4.19: Fixed two minor regressions
ashtuchkin,2017-09-10 03:09:11,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/1e85266a1859c881ff5454f073c1d34e08dca463,1e85266a1859c881ff5454f073c1d34e08dca463,Update windows1255 encoding according to iconv project.
ashtuchkin,2017-09-10 03:05:59,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/0c254413a5e10232321f8df80545c0cfae5335dd,0c254413a5e10232321f8df80545c0cfae5335dd,Fix formatting of package.json
ashtuchkin,2017-09-10 03:00:37,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/7e500c4801ae6e809a490c61b7e4e255d8371f25,7e500c4801ae6e809a490c61b7e4e255d8371f25,Added regression test for #162
ashtuchkin,2017-09-10 02:52:07,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/febb0b8e280de5de844151036e87cfa06b92d548,febb0b8e280de5de844151036e87cfa06b92d548,"Revert ""Don't generate ISO-8859-1 because we're using 'binary' for it""

This reverts commit 8d37a0bcd3b9c3bee016192f0108412dd0783d86.

Revert ""Add more internal aliases (#147)""

This reverts commit a75a391936f0a3b72daf12626e61ecdb16fcd460."
ashtuchkin,2017-08-18 00:41:17,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/60665d23b129acf0d944b8b55078eccf05eac33d,60665d23b129acf0d944b8b55078eccf05eac33d,Grammar in error message.
ashtuchkin,2017-06-13 15:11:08,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/637fbc0172247da3b4bf57685dd945b786ca2bee,637fbc0172247da3b4bf57685dd945b786ca2bee,Release 0.4.18: Fixed CESU-8 regression for Node v8
ashtuchkin,2017-06-13 15:07:59,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/c7a8243f40b1b22992b4bb2cded2afd5dc367534,c7a8243f40b1b22992b4bb2cded2afd5dc367534,Fixed CESU-8 regression in Node v8 (#154)
ashtuchkin,2017-05-01 05:09:26,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/64d1e3d7403bbb5414966de83d325419e7ea14e2,64d1e3d7403bbb5414966de83d325419e7ea14e2,Release 0.4.17: Updated typescript type definition file
larssn,2017-05-01 05:01:23,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/8fd550d0b33c0131c60c746b7bb7dd40ab002503,8fd550d0b33c0131c60c746b7bb7dd40ab002503,"Fix Typescript type definitions to work with Angular 2's AoT compiler (#153)

So basically using MS' version of type definitions fixes a problem with Angular 2's AoT compiler.

This version has been tested with both the AoT compiler and the JiT compiler.

Seems to be no side effects.

The error was:
Error encountered resolving symbol values statically. Could not resolve stream relative to
            node_modules/iconv-lite/lib/index.d.ts., resolving symbol
            DecodeStream in node_modules/iconv-lite/lib/index.d.ts"
ashtuchkin,2017-04-22 22:39:30,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/bf0acd95103de6fd624d10b65abaf6e91753c4c8,bf0acd95103de6fd624d10b65abaf6e91753c4c8,"Release 0.4.16: Added React Native support, minor fixes"
ashtuchkin,2017-04-22 22:36:34,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/658df2e3bd5d0c749123d7638d1856615df84413,658df2e3bd5d0c749123d7638d1856615df84413,Added a warning if js files are loaded not in utf-8 encoding
ashtuchkin,2017-04-22 21:47:40,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/8d37a0bcd3b9c3bee016192f0108412dd0783d86,8d37a0bcd3b9c3bee016192f0108412dd0783d86,Don't generate ISO-8859-1 because we're using 'binary' for it
mscdex,2017-04-22 21:41:01,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/a75a391936f0a3b72daf12626e61ecdb16fcd460,a75a391936f0a3b72daf12626e61ecdb16fcd460,Add more internal aliases (#147)
ashtuchkin,2017-04-22 21:34:58,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/9c5165139a61b8c6839c3997e99a2bb210338b20,9c5165139a61b8c6839c3997e99a2bb210338b20,Added comments regarding installing additional modules
ashtuchkin,2017-04-21 09:05:55,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/e76e051498aeb62df4eff4b55b093af2e18389a4,e76e051498aeb62df4eff4b55b093af2e18389a4,Fix build by correctly comparing node versions; fix typo in README.
ashtuchkin,2017-04-21 08:23:17,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/e0b4dc9ca75dc114b9565d4b64bae59584f0ca11,e0b4dc9ca75dc114b9565d4b64bae59584f0ca11,"Add support for React Native

Explicitly require(""buffer"") to get the Buffer class, so
that this library can be used in non-conforming JS environments,
by using an npm module ""buffer"".

Fixes #150"
jiangzhuo,2016-12-14 09:21:03,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/2cc398fd01b7b1438586966e72ff0b80852feb97,2cc398fd01b7b1438586966e72ff0b80852feb97,"Fix typo (#138)

GB2313 -> GB2312"
ashtuchkin,2016-11-21 19:00:56,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/c3bcedcd6a5025c25e39ed1782347acaed1d290f,c3bcedcd6a5025c25e39ed1782347acaed1d290f,Release 0.4.15: Fix typescript type definition.
ashtuchkin,2016-11-21 18:58:16,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/9d7c6f878942671a43ccded96666177d54489666,9d7c6f878942671a43ccded96666177d54489666,Fix typings by removing triple-slash ref to node. Fixes #137
ashtuchkin,2016-11-21 05:53:01,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/65beacd34d084bbc72ecc260f1ae4470a051cc51,65beacd34d084bbc72ecc260f1ae4470a051cc51,"Release 0.4.14: Several fixes, see changelog. Preparing for v1.0"
ashtuchkin,2016-11-21 04:58:47,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/c8844316b4e581e5898e0556a38bb96fe1402293,c8844316b4e581e5898e0556a38bb96fe1402293,"Fix GBK/GB18030 handling of Euro character. Fixes #114, #115"
rokoroku,2016-07-13 05:04:15,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/7b0c37f84070635a7d33167cce377238d44722ab,7b0c37f84070635a7d33167cce377238d44722ab,"Added ms namespace to the windows encodings.

MS Windows' extended encodings are sometimes represented as 'ms-xxx' insted of 'windows-xxx'."
ashtuchkin,2016-11-21 00:27:37,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/6eef1dfab7659b7ef4f2c80f6d1e9b356115d9b9,6eef1dfab7659b7ef4f2c80f6d1e9b356115d9b9,"Update travis integration to test newer Node versions

* Update travis to test in Node 6.
* Update travis.yml
* Fix streaming test for Node v6.2.2+"
ashtuchkin,2016-11-02 08:18:27,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/6043a4709bced434132dd392a25b15b672230334,6043a4709bced434132dd392a25b15b672230334,"Merge pull request #133 from larssn/master

TypeScript support"
larssn,2016-11-01 20:41:23,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/c197dbff90754855fa14f1cc74cd2828b2423ff0,c197dbff90754855fa14f1cc74cd2828b2423ff0,Added typescript definition support
larssn,2016-11-01 20:40:18,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/338fe1527b3e88c7c54d0786211f25d3792ac717,338fe1527b3e88c7c54d0786211f25d3792ac717,"TypeScript definition file for iconv-lite

Adds typescript support, so iconv-lite can be used in a TypeScript project."
ashtuchkin,2015-12-14 08:26:02,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/69a25dc19c67de1b022ccfafbc5e41c2114f3486,69a25dc19c67de1b022ccfafbc5e41c2114f3486,Mention node-autodetect-decoder-stream in readme.
ashtuchkin,2015-10-02 04:05:36,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/f5ec51b1e7dd1477a3570824960641eebdc5fbc6,f5ec51b1e7dd1477a3570824960641eebdc5fbc6,Release 0.4.13: Fix deprecation notice
ashtuchkin,2015-10-02 04:01:39,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/5ff2c2655911061f9958ad049d54f301e81a7fa7,5ff2c2655911061f9958ad049d54f301e81a7fa7,"Merge pull request #108 from dbkaplun/console-warning

Fix console.warning -> console.error"
dbkaplun,2015-10-01 08:27:24,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/aaa55aaf651888a7efda7dbdbdf4dbc9e8a2966a,aaa55aaf651888a7efda7dbdbdf4dbc9e8a2966a,Fix console.warning -> console.error
ashtuchkin,2015-09-26 21:08:09,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/5f5f71492e287c9c7231009103ddf9e8884df62d,5f5f71492e287c9c7231009103ddf9e8884df62d,Release 0.4.12: Node v4 support
ashtuchkin,2015-09-26 20:48:18,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/ccbdd35c0f14346dd0d6b6f762548c102a543111,ccbdd35c0f14346dd0d6b6f762548c102a543111,Update README to add deprecation notice about extending node encodings.
ashtuchkin,2015-09-26 20:38:04,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/cee3d68ceb284d1b9cb79758a3197ea5064c569b,cee3d68ceb284d1b9cb79758a3197ea5064c569b,"Merge pull request #105 from Mithgol/master

use g++-4.8 (support C++11) and start testing against Node.js version 4.0 on Travis CI"
ashtuchkin,2015-09-26 20:34:40,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/85938dbcb46ed9c98d712c363380fe41b7613c73,85938dbcb46ed9c98d712c363380fe41b7613c73,Stop supporting extendNodeEncodings in newer versions of Node
ashtuchkin,2015-09-26 19:18:02,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/15f2554c97c79f259ccbdc95a19209f25d13f217,15f2554c97c79f259ccbdc95a19209f25d13f217,Added CESU-8 decoding to support Node v4+
Mithgol,2015-09-11 09:17:24,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/8be7c1f2da6d6c78b7f7ef7008a13e8d083883fe,8be7c1f2da6d6c78b7f7ef7008a13e8d083883fe,"Merge pull request #1 from Mithgol/new-g++

install a C++11-capable compiler"
Mithgol,2015-09-11 09:05:56,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/107c011ea05f3e62c1d57d5341965127115f0790,107c011ea05f3e62c1d57d5341965127115f0790,try installing a C++11-capable compiler
Mithgol,2015-09-10 18:35:16,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/429c6555bde4719ad41ee0bc59f3661fb426ea8c,429c6555bde4719ad41ee0bc59f3661fb426ea8c,try on Node.js version 4.0 using Travis CI services
ashtuchkin,2015-07-03 21:25:39,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/e285b7c31eb0406cf5a8e3e09bc16fbd2786360f,e285b7c31eb0406cf5a8e3e09bc16fbd2786360f,Release v0.4.11: Added CESU-8 encoding.
ashtuchkin,2015-07-03 21:22:47,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/e75dacaede131585e5e07268ae1467f40f02f990,e75dacaede131585e5e07268ae1467f40f02f990,Added CESU-8 encoding.
ashtuchkin,2015-05-27 06:15:30,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/e8af2b49035abbe4fabe826925764bc20f8587c6,e8af2b49035abbe4fabe826925764bc20f8587c6,Release v0.4.10: Improve UTF-16 Endianness heuristic.
ashtuchkin,2015-05-27 06:10:41,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/169a529a82cc6c86454143e6ff525c1dd2a2ba1f,169a529a82cc6c86454143e6ff525c1dd2a2ba1f,"Changed UTF-16 endianness heuristic to take all ASCII chars into account, not just spaces."
ashtuchkin,2015-05-24 12:40:03,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/a9a123e22074cb4d8e0392ae037b0e348df1559a,a9a123e22074cb4d8e0392ae037b0e348df1559a,Release v0.4.9: BOM handling & more.
ashtuchkin,2015-05-24 12:16:58,https://api.github.com/repos/ashtuchkin/iconv-lite/git/commits/013796e7b8d151c971217d8b06c71c6c7f121428,013796e7b8d151c971217d8b06c71c6c7f121428,Fixes #85.
