android-butterknife-zelezny,Android Studio plug-in for generating ButterKnife injections from selected layout XML.
username,timestamp,url,sha,message
TomasKypta,2017-04-16 13:59:03,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/ad040deda488cdc2d4f5b104917b8310e25b051a,ad040deda488cdc2d4f5b104917b8310e25b051a,"Fix wrong generation of Unbinder in Fragment (#131)

Resolve #131"
TomasKypta,2017-04-16 11:49:00,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/6f42bdf3062145dd3f16789598936bcb610fe73d,6f42bdf3062145dd3f16789598936bcb610fe73d,Update test-app
TomasKypta,2017-03-22 12:24:10,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/83712a677d948384957d7d914de6cb0b8b10b785,83712a677d948384957d7d914de6cb0b8b10b785,Prepare for next development version 1.7.0-SNAPSHOT
TomasKypta,2017-03-22 11:56:40,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/fde8003efb6493c35a271101a80fddd9dcf48342,fde8003efb6493c35a271101a80fddd9dcf48342,Release 1.6.0
TomasKypta,2017-03-22 11:53:35,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/96457bf981bba9fbeec0415e042411726ed050a8,96457bf981bba9fbeec0415e042411726ed050a8,Update README
TomasKypta,2017-03-02 15:34:12,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/3ea114f60704fab290da9bb5b63afc2301207001,3ea114f60704fab290da9bb5b63afc2301207001,Improve names of generated OnClick methods
TomasKypta,2017-03-02 15:06:28,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/ea625f7881df3481ce9a3649e442ff3e77efa850,ea625f7881df3481ce9a3649e442ff3e77efa850,"Merge pull request #122 from siempredelao/master

Add option to get multiple OnClick methods"
siempredelao,2016-12-04 21:36:27,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/03e51cce9f37f63a41bc7a2260b1a25d299c1f8c,03e51cce9f37f63a41bc7a2260b1a25d299c1f8c,Refactor InjectWriter.generateClick method
siempredelao,2016-12-04 21:24:47,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/312b29450c5dd818c66861af9dfd469cbfc5a653,312b29450c5dd818c66861af9dfd469cbfc5a653,Adding split OnClick methods checkbox to dialog
TomasKypta,2016-08-19 09:14:37,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/eb3e8b4229b37678f512d95bbfa13de0b729326d,eb3e8b4229b37678f512d95bbfa13de0b729326d,Add SurfaceView and TextureView to the special classes list
egor-n,2016-08-19 08:47:50,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/bd6a89a4eb494c1f29df4e39026a595aa91a0c8c,bd6a89a4eb494c1f29df4e39026a595aa91a0c8c,"Add ViewStub to the special classes list (#111)

Fixes #110"
TomasKypta,2016-06-27 13:01:58,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/6dd47f73473dc5fd00711693e1fd16cea3f236d9,6dd47f73473dc5fd00711693e1fd16cea3f236d9,"Fix #103

The bug was caused by a too broad default seach scope for locating layouts.
It resulted in finding several files (e.g. for 'title_bar.xml').
The plugin then had a difficulty selecting the best file.

Added logging for better production diagnostics."
TomasKypta,2016-06-26 13:08:57,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/21721f7965a6e1df0c20a039e7e8f43c6ab94562,21721f7965a6e1df0c20a039e7e8f43c6ab94562,"Add support for Unbinder (#97)

Adding support fo Unbinder which was added in ButterKnife 8.
Updated test-app to better reflect versions of current development tools."
TomasKypta,2016-05-02 12:39:54,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/c2b7da59d3a4adbd4c396a9223b84a276fb8e226,c2b7da59d3a4adbd4c396a9223b84a276fb8e226,Release 1.5.0
siempredelao,2016-05-02 12:23:39,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/1be58bdddbedcd6282583d7851a2dc132ce8880a,1be58bdddbedcd6282583d7851a2dc132ce8880a,"Add ""select/deselect all"" checkbox (#89)

* Added checkbox at the beginning of EntryHeader
* Added 'de-select all' checkbox behaviour
* Added a new View in test-app to test new behaviour"
TomasKypta,2016-04-26 14:48:54,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/02638d1adae73c6114e6c4fe12e6bb93a52e54f3,02638d1adae73c6114e6c4fe12e6bb93a52e54f3,"Add support for ButterKnife 8.0.0 #93

Unbinder is not-yet-supported.
Code for unbinding is not generated in Fragment's onDestroyView()
for ButterKnife 8.0.0."
davidvavra,2016-02-02 11:38:56,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/24a6baa7306c4763d7990b3729fdac44608817fd,24a6baa7306c4763d7990b3729fdac44608817fd,"Merge pull request #76 from andyb129/butterknife-onclick

added extra option to create buterknife onclick methods against views"
davidvavra,2016-01-13 14:14:57,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/4ff38698da4cd114c48b65f55a87b3e4f14241ab,4ff38698da4cd114c48b65f55a87b3e4f14241ab,Update README.md
TomasKypta,2015-09-08 12:23:29,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/e40220e9129119d3e9b5a5bae9a970052a1f42fd,e40220e9129119d3e9b5a5bae9a970052a1f42fd,Fix potential NPE
TomasKypta,2015-07-17 11:35:22,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/7ef1cb70a84672d81618379951bcf5a699f7690a,7ef1cb70a84672d81618379951bcf5a699f7690a,Fix #62
TomasKypta,2015-07-17 07:35:17,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/d91d22675d97b41b39d4143752da658bde6cc8f4,d91d22675d97b41b39d4143752da658bde6cc8f4,Fix potential NPEs
TomasKypta,2015-07-17 06:44:55,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/e94a9686f8ecec065f1bedf8b6301bbaf543f82e,e94a9686f8ecec065f1bedf8b6301bbaf543f82e,Fix #60
TomasKypta,2015-07-16 12:33:03,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/d980c72910ffca0f8f78fd90920eb7327852bf4b,d980c72910ffca0f8f78fd90920eb7327852bf4b,Prepare for next development version 1.4-SNAPSHOT
TomasKypta,2015-07-16 11:11:12,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/303542df46102fb066d592abd9465fe641e78d0f,303542df46102fb066d592abd9465fe641e78d0f,Fix #57 and freeze on version 1.3.1
TomasKypta,2015-07-15 07:45:07,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/05ce4e8637503cf5c1217669f966c89e694fa960,05ce4e8637503cf5c1217669f966c89e694fa960,Prepare for next development veresion 1.4-SNAPSHOT
TomasKypta,2015-07-15 07:23:48,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/8c8744051308868bb98398096b188f97474ab121,8c8744051308868bb98398096b188f97474ab121,Freeze on version 1.3
TomasKypta,2015-07-14 15:46:02,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/665a008305ec5da7982277c4df8a3f28da3d62f6,665a008305ec5da7982277c4df8a3f28da3d62f6,Freeze on version 1.3
TomasKypta,2015-07-13 10:55:12,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/110ce4475dcb618d8e1c83c5dfecd94f775d5a3c,110ce4475dcb618d8e1c83c5dfecd94f775d5a3c,"Improve layout resolution

Added fallback to find the layout file even though the project is incorrectly configured (no resource directory is set)."
TomasKypta,2015-07-12 22:54:12,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/7b62e60e6898a381fabc31e57e13a371ccc5bb9c,7b62e60e6898a381fabc31e57e13a371ccc5bb9c,"Fix layout resolution and fix #40

Layout resoluteion fixed by restricting search for layouts only to the module (and its dependencies)."
TomasKypta,2015-07-12 00:55:49,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/be2297e7d38ede616ea2675fba823584f408b1d7,be2297e7d38ede616ea2675fba823584f408b1d7,Update plugin description to reflect latest changes
TomasKypta,2015-07-12 00:52:47,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/729b139d1a7fc2dc662a668abc47913340939a2e,729b139d1a7fc2dc662a668abc47913340939a2e,Update marker navigation to support multiple ButterKnife versions
TomasKypta,2015-07-11 23:56:14,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/f9038bdb3cffe3d1e5a989d62c3c6dfb9131f2f1,f9038bdb3cffe3d1e5a989d62c3c6dfb9131f2f1,"Add support for multiple ButterKnife versions

Also fixed resolution of ButterKnife presence on the classpath,
currently the proper version is searched within the classpath of the project's module
 (previously it was searched globally through the entire project)."
davidvavra,2015-04-23 21:52:31,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/f6431ba569e846ec78c308c0a8267a7583036481,f6431ba569e846ec78c308c0a8267a7583036481,"Merge pull request #45 from Ghedeon/master

Added navigation between @OnClick and @InjectView."
davidvavra,2015-02-09 10:45:04,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/1ad0c495cd5c51ad4cd1c4a97a70014f39cc9b59,1ad0c495cd5c51ad4cd1c4a97a70014f39cc9b59,Update README.md
davidvavra,2014-10-08 14:26:14,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/c400b9725f4c50e8fa4067a580c1fb058721f87f,c400b9725f4c50e8fa4067a580c1fb058721f87f,"Merge pull request #29 from NikolaDespotoski/master

Fix #26"
NikolaDespotoski,2014-09-23 02:28:55,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/b8ce4c9a104acae86b91f1d01db2b3cd9ff23920,b8ce4c9a104acae86b91f1d01db2b3cd9ff23920,"Fix for #26

Generating butterknife injections creates a ButterKnife.inject(this) if
it exists #26"
NikolaDespotoski,2014-09-23 01:58:56,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/f2342855f6604acde163011935db62b8a64f9dde,f2342855f6604acde163011935db62b8a64f9dde,"Revert d309b63..b590ab4

This rolls back to commit d309b6326782d0d35bd74784313d01c1132b31be."
NikolaDespotoski,2014-09-23 01:58:30,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/b590ab456911c9255179ce47c1df29ae469e8471,b590ab456911c9255179ce47c1df29ae469e8471,"Revert 94be6d6..02bf8cf

This rolls back to commit 94be6d6b69121ebc8821d67632e723535b00961b."
davidvavra,2014-09-22 08:26:45,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/7a0cb6ca6b40acb188c985c1826bacb7053b4b19,7a0cb6ca6b40acb188c985c1826bacb7053b4b19,"Merge pull request #27 from makovkastar/empty-prefix

Allow an empty member prefix."
NikolaDespotoski,2014-09-21 21:11:53,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/02bf8cf28b49a4acf169b94216e6e5690796a73b,02bf8cf28b49a4acf169b94216e6e5690796a73b,"Ids on <include/> tagged layouts are ignored #8

Fix for #8
Creating new Element for injection with type View and Id as Name for
the include layout"
NikolaDespotoski,2014-09-21 20:36:44,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/94be6d6b69121ebc8821d67632e723535b00961b,94be6d6b69121ebc8821d67632e723535b00961b,"Fix #26

Generating butterknife injections creates a ButterKnife.inject(this) if
it exists #26"
makovkastar,2014-08-15 13:17:37,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/c3fa2bdddd98fbf6c871519d98080ef19e83d355,c3fa2bdddd98fbf6c871519d98080ef19e83d355,Allow an empty member prefix
davidvavra,2014-07-21 12:47:30,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/d309b6326782d0d35bd74784313d01c1132b31be,d309b6326782d0d35bd74784313d01c1132b31be,Preparing for 1.1 release
davidvavra,2014-07-21 12:34:18,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/b375870deba4f145257de250748dc0f32f1321b2,b375870deba4f145257de250748dc0f32f1321b2,Reformating code after generation (fixes #15)
davidvavra,2014-07-21 12:08:16,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/d579f2243abdb3f8b4c83b1f92c917dd3fa21731,d579f2243abdb3f8b4c83b1f92c917dd3fa21731,Option to configure view holder class name (fixes #16)
davidvavra,2014-07-21 09:47:07,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/917bcbe01ea800020180a8dd15991614a17b1c86,917bcbe01ea800020180a8dd15991614a17b1c86,Support for custom prefix for members (fixes #23)
davidvavra,2014-07-21 07:57:30,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/d0df2f47ec722083f1aeb5ccf011164a1b699b0d,d0df2f47ec722083f1aeb5ccf011164a1b699b0d,"Merge pull request #22 from makovkastar/dev

Pass InjectWriter contsructor parameters in the correct order"
davidvavra,2014-07-21 07:56:57,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/514b759fc2b30a6253cec6f26d5e2a46de30bb3c,514b759fc2b30a6253cec6f26d5e2a46de30bb3c,"Merge pull request #19 from makovkastar/fix-issue-13

Use android.view package instead of android.widget when injecting a View"
davidvavra,2014-07-21 07:56:39,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/5510ae4aa423568947f6201e0dae81bf4a1ffa5c,5510ae4aa423568947f6201e0dae81bf4a1ffa5c,"Merge pull request #21 from makovkastar/fix-issue-14

Use butterknife.ButterKnife instead of butterknife.Views in the view holder"
davidvavra,2014-07-21 07:55:48,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/bff53ffe06e33b803c01b6cf1d160bd657392976,bff53ffe06e33b803c01b6cf1d160bd657392976,"Merge pull request #20 from makovkastar/fix-issue-18

Confirm injections dialog with ENTER click"
makovkastar,2014-07-18 11:11:25,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/1e9a7fe9f11d79dbfeeeb980cc8af5856f7737d1,1e9a7fe9f11d79dbfeeeb980cc8af5856f7737d1,Pass contructor parameters in the correct order
makovkastar,2014-07-18 10:09:33,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/1e48ab2c8d94c87944c67bcbf019a50747d3e634,1e48ab2c8d94c87944c67bcbf019a50747d3e634,Use butterknife.ButterKnife instead of butterknife.Views in the view holder class
makovkastar,2014-07-18 09:51:29,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/c5884dc7d0b498e274863be0f916f34acdaaae8a,c5884dc7d0b498e274863be0f916f34acdaaae8a,Confirm injections dialog with ENTER click
makovkastar,2014-07-17 15:25:33,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/dda6bc7426e3b48c65195085c0db8fa27178692c,dda6bc7426e3b48c65195085c0db8fa27178692c,Use android.view package instead of android.widget when injecting a View class
makovkastar,2014-01-28 19:57:01,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/022f75476a493c65f846a316ccd48faa1f592dfd,022f75476a493c65f846a316ccd48faa1f592dfd,Inline method call
makovkastar,2014-01-28 19:54:53,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/a1678bb22a411feb9c8232fb377ba1c74db7bccf,a1678bb22a411feb9c8232fb377ba1c74db7bccf,Add stubs of onCreate/onCreateView if the methods are missing
makovkastar,2014-01-26 18:24:03,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/08ea195d147bab759c1b5ac037caf2f2cd0c977d,08ea195d147bab759c1b5ac037caf2f2cd0c977d,Add ButterKnife.inject() and ButterKnife.reset() calls
davidvavra,2014-01-21 19:57:49,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/28ffb698567516b2057ee3ff1b28ceeb356f890f,28ffb698567516b2057ee3ff1b28ceeb356f890f,Update README.md
davidvavra,2014-01-16 16:28:54,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/8bc6349cf6d55e9462e2e1c3ed0e563ad4f4cfdb,8bc6349cf6d55e9462e2e1c3ed0e563ad4f4cfdb,Update README.md
davidvavra,2014-01-08 08:25:39,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/a1d130bd59ca13d4964becc2061f5293d6fed828,a1d130bd59ca13d4964becc2061f5293d6fed828,Update README.md
davidvavra,2014-01-07 15:12:59,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/a6e14434ab0dd63b49edce96e3a15abc6032254c,a6e14434ab0dd63b49edce96e3a15abc6032254c,Update README.md
davidvavra,2014-01-07 14:59:19,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/980a2c988d7461148b92ef44c27586e318ff6098,980a2c988d7461148b92ef44c27586e318ff6098,Animated screenshot
davidvavra,2014-01-07 08:45:36,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/edf05ea7e1c24be748b22db805ecc715ed47d484,edf05ea7e1c24be748b22db805ecc715ed47d484,Update README.md
davidvavra,2014-01-06 16:16:32,https://api.github.com/repos/avast/android-butterknife-zelezny/git/commits/b35540acfae008ba2c6e64a37aca717d13da56b9,b35540acfae008ba2c6e64a37aca717d13da56b9,Fix for Java 6
