phoenix-trello,"Trello tribute done in Elixir, Phoenix Framework, React and Redux."
username,timestamp,url,sha,message
bigardone,2016-09-24 10:40:11,https://api.github.com/repos/bigardone/phoenix-trello/git/commits/60c874de63126b5659a42ef8e05846ca16e3e30a,60c874de63126b5659a42ef8e05846ca16e3e30a,Update README.md
bigardone,2016-09-24 10:38:40,https://api.github.com/repos/bigardone/phoenix-trello/git/commits/bd4e1a7b03e6ff876a995084fc156272bc98e980,bd4e1a7b03e6ff876a995084fc156272bc98e980,Merge branch 'feature/dependencies-update'
bigardone,2016-09-24 10:38:04,https://api.github.com/repos/bigardone/phoenix-trello/git/commits/06201a5b9417a37fb0e22ce48c9dcb823a443da0,06201a5b9417a37fb0e22ce48c9dcb823a443da0,Fixed error helper
bigardone,2016-09-24 10:33:16,https://api.github.com/repos/bigardone/phoenix-trello/git/commits/1860bf85aab4e97cc6e0f915556cd62c37859530,1860bf85aab4e97cc6e0f915556cd62c37859530,Fixed tests
bigardone,2016-09-24 10:26:08,https://api.github.com/repos/bigardone/phoenix-trello/git/commits/5f305c2e7f5e004c3805047da8e517a5174a976b,5f305c2e7f5e004c3805047da8e517a5174a976b,Added missing helper
bigardone,2016-09-24 10:25:55,https://api.github.com/repos/bigardone/phoenix-trello/git/commits/057a048af0666e7be77e16ca21a35b440ac60388,057a048af0666e7be77e16ca21a35b440ac60388,Fixed models
bigardone,2016-09-24 10:25:40,https://api.github.com/repos/bigardone/phoenix-trello/git/commits/894c6f065f964abdfeec7138417a4513a67b9433,894c6f065f964abdfeec7138417a4513a67b9433,Fixed routes
bigardone,2016-09-24 10:25:30,https://api.github.com/repos/bigardone/phoenix-trello/git/commits/b3870d6b266793254d3a27c1552593ec18329540,b3870d6b266793254d3a27c1552593ec18329540,Fixed tests
bigardone,2016-09-24 10:24:38,https://api.github.com/repos/bigardone/phoenix-trello/git/commits/56f2870f2b4b90325f3c94e9177cb38720983f1f,56f2870f2b4b90325f3c94e9177cb38720983f1f,Updated test helpers
bigardone,2016-09-24 10:23:56,https://api.github.com/repos/bigardone/phoenix-trello/git/commits/0cca208b60dd96ed478d0fad831e7825c7e1587f,0cca208b60dd96ed478d0fad831e7825c7e1587f,Updated config
bigardone,2016-09-24 10:21:46,https://api.github.com/repos/bigardone/phoenix-trello/git/commits/c0b15bbe42170b66eef6afe3664840f2ae8b2534,c0b15bbe42170b66eef6afe3664840f2ae8b2534,Updated deps and packages
