TextJustify-Android,:page_facing_up: Android Text Full Jusiftication / Wrapping / Justify / Hyphenate - V2.0
username,timestamp,url,sha,message
bluejamesbond,2018-01-10 22:35:16,https://api.github.com/repos/mathew-kurian/TextJustify-Android/git/commits/047e3e46563adb19029f6d01bdb824b039e92cb3,047e3e46563adb19029f6d01bdb824b039e92cb3,Update README.md
bluejamesbond,2018-01-10 22:34:45,https://api.github.com/repos/mathew-kurian/TextJustify-Android/git/commits/a3ee97ec8353287fc8860fb81f5664242b0da0d0,a3ee97ec8353287fc8860fb81f5664242b0da0d0,Update README.md
mathew-kurian,2016-05-08 00:57:16,https://api.github.com/repos/mathew-kurian/TextJustify-Android/git/commits/ff83e093cf1d5e42452a7fde623f7788abac415e,ff83e093cf1d5e42452a7fde623f7788abac415e,Update README.md
mathew-kurian,2016-04-19 23:55:11,https://api.github.com/repos/mathew-kurian/TextJustify-Android/git/commits/1788c7c34021cd24ac36f1706ae75717a9d45cb5,1788c7c34021cd24ac36f1706ae75717a9d45cb5,Houskeeping
mathew-kurian,2016-04-16 05:32:45,https://api.github.com/repos/mathew-kurian/TextJustify-Android/git/commits/6aab46da8ff6699ff63140dd445f0712a5beec67,6aab46da8ff6699ff63140dd445f0712a5beec67,"Merge pull request #114 from JackLauu/master

Fixes issue #105; updated build version"
JackLauu,2016-04-16 03:35:56,https://api.github.com/repos/mathew-kurian/TextJustify-Android/git/commits/4a04c4a3d37a346965bc8fce972f512ca920fec9,4a04c4a3d37a346965bc8fce972f512ca920fec9,"fix issue #105

Update project to lattest version, android studio 2.0, api 23
fix issue #105."
mathew-kurian,2015-09-06 20:40:19,https://api.github.com/repos/mathew-kurian/TextJustify-Android/git/commits/51cee453b4c57b968fa87b761ae9d444a3d0d7fe,51cee453b4c57b968fa87b761ae9d444a3d0d7fe,"Merge pull request #97 from mfietz/master

Hyphenator optimizations and patterns for the German language"
mfietz,2015-09-06 13:20:03,https://api.github.com/repos/mathew-kurian/TextJustify-Android/git/commits/67557654786b0f1ac7790a14b51a360b44f3e795,67557654786b0f1ac7790a14b51a360b44f3e795,German language patterns
mfietz,2015-09-06 13:16:19,https://api.github.com/repos/mathew-kurian/TextJustify-Android/git/commits/af9b63e17b01d952875004b5bdd34f1faf345ab8,af9b63e17b01d952875004b5bdd34f1faf345ab8,Optimize default hyphenator
mathew-kurian,2015-09-01 06:52:24,https://api.github.com/repos/mathew-kurian/TextJustify-Android/git/commits/a08233c4f93a93a29facb87c2c7dadc456e7da03,a08233c4f93a93a29facb87c2c7dadc456e7da03,Update README.md
