react-color,":art: Color Pickers from Sketch, Photoshop, Chrome, Github, Twitter & more"
username,timestamp,url,sha,message
erkkaha,2019-05-10 11:52:47,https://api.github.com/repos/casesandberg/react-color/git/commits/0657c78ef80d1144495e45aff6555f163eb7b240,0657c78ef80d1144495e45aff6555f163eb7b240,"(BlockPicker): fixes blockpicker input not working (#616)

setUpdatedValue on EditableInput had a check that checked props.label not being null
in BlockPicker case label was undefined which caused the onChange to be called with
and object instead of hex string."
casesandberg,2019-04-29 23:26:03,https://api.github.com/repos/casesandberg/react-color/git/commits/266b1923cfafbddb217e913fccbe50416962c346,266b1923cfafbddb217e913fccbe50416962c346,2.17.3
casesandberg,2019-04-29 23:24:51,https://api.github.com/repos/casesandberg/react-color/git/commits/c58e3546742791d01f3b1540bc7c54e6b73c4a3a,c58e3546742791d01f3b1540bc7c54e6b73c4a3a,Remove `preventDefault` on passive events (#611)
casesandberg,2019-04-29 23:24:43,https://api.github.com/repos/casesandberg/react-color/git/commits/ec6e6bc9623e36a4f9afef1b5f0bd5be11c57f61,ec6e6bc9623e36a4f9afef1b5f0bd5be11c57f61,Dont Change Color on Hover (#612)
casesandberg,2019-04-29 23:24:34,https://api.github.com/repos/casesandberg/react-color/git/commits/f34fb60230510e1bf53c23c271209ce30fcaed75,f34fb60230510e1bf53c23c271209ce30fcaed75,Export Helpers (#613)
casesandberg,2019-04-27 00:52:11,https://api.github.com/repos/casesandberg/react-color/git/commits/0e7cf0ef318a1bd2dbd8ccc17bf29a970ed44a36,0e7cf0ef318a1bd2dbd8ccc17bf29a970ed44a36,2.17.2
casesandberg,2019-04-27 00:49:37,https://api.github.com/repos/casesandberg/react-color/git/commits/f5202607901574291117222cdfc627e14b392be6,f5202607901574291117222cdfc627e14b392be6,[Twitter] Fix Broken Input (#610)
casesandberg,2019-04-20 20:04:58,https://api.github.com/repos/casesandberg/react-color/git/commits/79a674a907211fc097cc2e6420fe98795993cb2e,79a674a907211fc097cc2e6420fe98795993cb2e,2.17.1
casesandberg,2019-04-20 20:04:54,https://api.github.com/repos/casesandberg/react-color/git/commits/fca9ff3517108551de77aa264afc3be4ebb9ba7c,fca9ff3517108551de77aa264afc3be4ebb9ba7c,Update package.json
andrew-pyle,2019-04-20 18:34:35,https://api.github.com/repos/casesandberg/react-color/git/commits/1ae6805ce62eee90ed10524c14608a4d9d5435b0,1ae6805ce62eee90ed10524c14608a4d9d5435b0,"Use epsilon in SliderSwatch equality comparison (#605)

* tinycolor2 makes lossy conversion of hex to hsl, so equality
   comparisons fail
* Compare absolute value of difference to epsilon, instead of using
   Math.round and equality checking"
