92five,Self hosted project management application
username,timestamp,url,sha,message
chintanbanugaria,2016-08-01 04:56:23,https://api.github.com/repos/chintanbanugaria/92five/git/commits/b0d5ee0e5abc2d6daa554d157bc6337f3fff3e77,b0d5ee0e5abc2d6daa554d157bc6337f3fff3e77,"Merge pull request #108 from CyberiaResurrection/Project-Repo-date-bug

Date-processing bug in ProjectRepository"
chintanbanugaria,2016-08-01 04:56:08,https://api.github.com/repos/chintanbanugaria/92five/git/commits/00318308dba0836aad73e8577475a7ab45207d14,00318308dba0836aad73e8577475a7ab45207d14,"Merge pull request #107 from CyberiaResurrection/User-Repo-Mononyms

Prohibit blank first and last names"
chintanbanugaria,2016-08-01 04:55:55,https://api.github.com/repos/chintanbanugaria/92five/git/commits/d4d692a05827474b6e4e3bd7f02ee518e7ca86e3,d4d692a05827474b6e4e3bd7f02ee518e7ca86e3,"Merge pull request #106 from CyberiaResurrection/Calendar-Repo-date-bug

Date-processing bug in CalendarRepository"
chintanbanugaria,2016-08-01 04:55:32,https://api.github.com/repos/chintanbanugaria/92five/git/commits/da7b32554891acdb0c9adf10b8064fed6f69a8d2,da7b32554891acdb0c9adf10b8064fed6f69a8d2,"Merge pull request #105 from CyberiaResurrection/Directory-Cleanup

Directory cleanup"
CyberiaResurrection,2016-07-24 17:51:12,https://api.github.com/repos/chintanbanugaria/92five/git/commits/cd79724e95710455d67e84fd781d8282eabd0eef,cd79724e95710455d67e84fd781d8282eabd0eef,Dedupe common code in deleteProject
CyberiaResurrection,2016-07-24 17:50:02,https://api.github.com/repos/chintanbanugaria/92five/git/commits/8ec585c0c1a923362dd2cec73799722fab4497dd,8ec585c0c1a923362dd2cec73799722fab4497dd,Fix date processing in ProjectRepository
CyberiaResurrection,2016-07-24 17:34:55,https://api.github.com/repos/chintanbanugaria/92five/git/commits/7bcd7e356f620a83c519a03078b5a1423b1c1809,7bcd7e356f620a83c519a03078b5a1423b1c1809,Characterise date-processing bug in ProjectRepository
CyberiaResurrection,2016-07-24 17:00:12,https://api.github.com/repos/chintanbanugaria/92five/git/commits/d33921031724d68b2dc7d9c13a2b75f836af87f9,d33921031724d68b2dc7d9c13a2b75f836af87f9,Characterise date-processing bug in CalendarRepository
CyberiaResurrection,2016-07-24 16:56:30,https://api.github.com/repos/chintanbanugaria/92five/git/commits/ae9984ff94781de8ab2cb7d8f7fca3b31228b726,ae9984ff94781de8ab2cb7d8f7fca3b31228b726,Ident style cleanup towards PSR-2
CyberiaResurrection,2016-07-24 16:52:34,https://api.github.com/repos/chintanbanugaria/92five/git/commits/13070d03364d04f298c717e895e8de90777fd8e5,13070d03364d04f298c717e895e8de90777fd8e5,Extend UserRepository to handle mononyms and clean up indenting
CyberiaResurrection,2016-07-24 16:49:56,https://api.github.com/repos/chintanbanugaria/92five/git/commits/c196362e085df4bab3efd61eeb6b1c4d3e12e62a,c196362e085df4bab3efd61eeb6b1c4d3e12e62a,Define what's expected when trying to give a user at least one blank name
CyberiaResurrection,2016-07-24 16:49:09,https://api.github.com/repos/chintanbanugaria/92five/git/commits/a92fb1b80f8705c8b45e2520bebe4303a73aaf6e,a92fb1b80f8705c8b45e2520bebe4303a73aaf6e,Start adding tests to UserRepository
CyberiaResurrection,2016-07-21 17:47:25,https://api.github.com/repos/chintanbanugaria/92five/git/commits/b769047e7c6f3e9e14c2103224b5feb565c18aa9,b769047e7c6f3e9e14c2103224b5feb565c18aa9,"Remove vendor folder

This should not be tracked for following reasons:
1 - These files are pulled in by composer anyway.
2 - It loads checkouts up with unneeded files.
3 - As vendor dir was committed in August 2014, files it contains
are notably out of date.
4 - After you do a composer install or update, git status gets
flooded with masses of changed files in vendor/ - the signal of
your changes gets lost in the noise of the changed vendor/ files."
CyberiaResurrection,2016-07-21 17:39:28,https://api.github.com/repos/chintanbanugaria/92five/git/commits/74e34a505b48d9ddc52a31bc88284ac75bf57b15,74e34a505b48d9ddc52a31bc88284ac75bf57b15,Add vendor dir and compiled bootstrap to .gitignore
chintanbanugaria,2016-07-21 04:54:31,https://api.github.com/repos/chintanbanugaria/92five/git/commits/18fcaa909d0dfd137dea514dc5d48b4c332555d8,18fcaa909d0dfd137dea514dc5d48b4c332555d8,"Merge pull request #104 from CyberiaResurrection/Tests-with-SQLite-Memory

Tests with sqlite in-memory"
CyberiaResurrection,2016-07-19 09:17:39,https://api.github.com/repos/chintanbanugaria/92five/git/commits/4bd6ee2cbb4687de5df403f1d8bcafc175c20e3f,4bd6ee2cbb4687de5df403f1d8bcafc175c20e3f,Add example of join using Laravel DB gubbins
CyberiaResurrection,2016-07-19 09:07:50,https://api.github.com/repos/chintanbanugaria/92five/git/commits/fe49660311afdcbdd5b4f28cef4cf9d97a34350d,fe49660311afdcbdd5b4f28cef4cf9d97a34350d,Update Install controller test to reflect use of Laravel DB gubbins
CyberiaResurrection,2016-07-18 13:52:26,https://api.github.com/repos/chintanbanugaria/92five/git/commits/ac3bdaffec73c0cb2f860a6471577fe566ed325d,ac3bdaffec73c0cb2f860a6471577fe566ed325d,"Hook up in-memory DB for testing.

This diff renders database as used in automated test suite
independent of configured production database connection - you can
freely run tests without affecting your production database.

I tested the above by turning off my local MySQL server - test suite
did not complain and ran exactly as it had before I turned my local
server off.

I am aiming to enable more aggressive and comprehensive automated
testing, at unit, integration and functional levels.  For example,
assuming Laravel's functionality is up to it, it now should be possible
to write a functional test that creates a new user (possibly with
some problems) and verify that the new user gets created cleanly or
not at all.."
CyberiaResurrection,2016-07-18 13:51:17,https://api.github.com/repos/chintanbanugaria/92five/git/commits/9b5385c19b8b8b25fc782d0d008c039c6deb36fd,9b5385c19b8b8b25fc782d0d008c039c6deb36fd,Upgrade php unit and clean up mock objects in tests
CyberiaResurrection,2016-07-18 13:49:45,https://api.github.com/repos/chintanbanugaria/92five/git/commits/23fd19ad1ebe71560d387b50c9f8e49dac3b7bc6,23fd19ad1ebe71560d387b50c9f8e49dac3b7bc6,Fix stock test cases
chintanbanugaria,2016-07-18 04:07:49,https://api.github.com/repos/chintanbanugaria/92five/git/commits/41a0640dee80d27653ec65f07bc067b0cf92f54e,41a0640dee80d27653ec65f07bc067b0cf92f54e,"Merge pull request #103 from CyberiaResurrection/DB-use-artisan

Fix DB workings to use Laravel artisan commands"
CyberiaResurrection,2016-07-17 20:07:09,https://api.github.com/repos/chintanbanugaria/92five/git/commits/fa7084ebce15e53243ae4044d0f8a052c64842f9,fa7084ebce15e53243ae4044d0f8a052c64842f9,"Hook up DB cleanups to install controller.

1.  MySQL dumpfile no longer called - has been removed.
2.  Artisan migrate and seed calls made in InstallController.
3.  Bootstrap autoloader modified to return a new LARAVEL_START_...
    value for each new process - needed to run tests in process isolation
4.  Update install controller tests to reflect changes."
