kafka-python,Python client for Apache Kafka
username,timestamp,url,sha,message
dpkp,2019-09-03 15:47:10,https://api.github.com/repos/dpkp/kafka-python/git/commits/7a69952e956412f45b1eed1e217931e3ec33f2e7,7a69952e956412f45b1eed1e217931e3ec33f2e7,Improve connection lock handling; always use context manager (#1895)
jeffwidman,2019-08-23 04:14:37,https://api.github.com/repos/dpkp/kafka-python/git/commits/61fa0b27685c2d4e67d1b6575ca6797f36eb1bfa,61fa0b27685c2d4e67d1b6575ca6797f36eb1bfa,"Convert remaining `KafkaConsumer` tests to `pytest` (#1886)

This makes it so the only remaining use of `unittest` is in the old
tests of the deprecated `Simple*` clients. All `KafkaConsumer` tests are
migrated to `pytest`.

I also had to bump the test iterations up on one of the tests, I think there was a race condition there that was more commonly hit under pytest , planning to cleanup that in a followup PR. See https://github.com/dpkp/kafka-python/pull/1886#discussion_r316860737 for details."
jeffwidman,2019-08-23 00:39:09,https://api.github.com/repos/dpkp/kafka-python/git/commits/6e6d0cca5dbdf0a9ae3a032b6de08f9bbbf9606a,6e6d0cca5dbdf0a9ae3a032b6de08f9bbbf9606a,"Bump integration tests to 0.10.2.2 and 0.11.0.3 (#1890)

Bump integration tests from Kafka:
- 0.10.2.1 --> 0.10.2.2
- 0.11.0.2 --> 0.11.0.3"
jeffwidman,2019-08-22 08:58:28,https://api.github.com/repos/dpkp/kafka-python/git/commits/98c005852e36fde0ef44a7b9c60a54f4686651af,98c005852e36fde0ef44a7b9c60a54f4686651af,"Cleanup handling of KAFKA_VERSION env var in tests (#1887)

Now that we are using `pytest`, there is no need for a custom decorator
because we can use `pytest.mark.skipif()`.

This makes the code significantly simpler. In particular, dropping the
custom `@kafka_versions()` decorator is necessary because it uses
`func.wraps()` which doesn't play nice with `pytest` fixtures:
- https://github.com/pytest-dev/pytest/issues/677
- https://stackoverflow.com/a/19614807/770425

So this is a pre-requisite to migrating some of those tests to using
pytest fixtures."
jeffwidman,2019-08-22 01:47:22,https://api.github.com/repos/dpkp/kafka-python/git/commits/e49caeb3ebdd36eb4d18a517bc402f8e89dfdbee,e49caeb3ebdd36eb4d18a517bc402f8e89dfdbee,"Minor test cleanup (#1885)

Remove unused import, whitespace, etc. No functional changes, just
cleaning it up so the diffs of later changes are cleaner."
dpkp,2019-08-16 18:04:10,https://api.github.com/repos/dpkp/kafka-python/git/commits/5bc25292b8bb5b20ba2fff481fdc77b9909d0831,5bc25292b8bb5b20ba2fff481fdc77b9909d0831,"Reduce internal client poll timeout for consumer iterator interface (#1824)

More attempts to address heartbeat timing issues in consumers, especially with the iterator interface. Here we can reduce the `client.poll` timeout to at most the retry backoff (typically 100ms) so that the consumer iterator interface doesn't block for longer than the heartbeat timeout."
iAnomaly,2019-08-15 23:59:08,https://api.github.com/repos/dpkp/kafka-python/git/commits/ace6af5e5d2ff7b900bc694065562127b4efe8dc,ace6af5e5d2ff7b900bc694065562127b4efe8dc,Update conn.py
iv-m,2019-08-12 07:42:06,https://api.github.com/repos/dpkp/kafka-python/git/commits/2180d312c36e62c7175c112b38cbde79c3c90377,2180d312c36e62c7175c112b38cbde79c3c90377,"tests: Use socket.SOCK_STREAM in assertions

socket.SOCK_STREAM is platform specific and on some
platforms (most notably on Linux on MIPS) does not
equal 1; so it's better to use the constant where
appropriate.

This change fixes the tests on my MIPS32 LE machine.

Signed-off-by: Ivan A. Melnikov <iv@altlinux.org>"
jeffwidman,2019-07-31 01:35:02,https://api.github.com/repos/dpkp/kafka-python/git/commits/ea35fdfe1d66eb481e3406ad161a1255573dd50f,ea35fdfe1d66eb481e3406ad161a1255573dd50f,"Break FindCoordinator into request/response methods

This splits the `_find_coordinator_id()` method (which is blocking) into
request generation / response parsing methods.

The public API does not change. However, this allows power users who are
willing to deal with risk of private methods changing under their feet
to decouple generating the message futures from processing their
responses. In other words, you can use these to fire a bunch of requests
at once and delay processing the responses until all requests are fired.

This is modeled on the work done in #1845.

Additionally, I removed the code that tried to leverage the error
checking from `cluster.add_group_coordinator()`. That code had changed
in #1822, removing most of the error checking... so it no longer adds
any value, but instead merely increases complexity and coupling."
carsonip,2019-07-14 15:22:10,https://api.github.com/repos/dpkp/kafka-python/git/commits/eed25fc36110b12ec370b4d0e332173abce9076f,eed25fc36110b12ec370b4d0e332173abce9076f,Fix minor typo (#1865)
