duilib,
username,timestamp,url,sha,message
wangchyz,2019-04-12 02:37:12,https://api.github.com/repos/duilib/duilib/git/commits/d7f3a331a0fc6ba48429cd9e5c427570cc73bc35,d7f3a331a0fc6ba48429cd9e5c427570cc73bc35,Update README.md
wangchyz,2018-11-28 06:32:57,https://api.github.com/repos/duilib/duilib/git/commits/c3985f002a95f6e9e73c1325a0ce728a37e5d33a,c3985f002a95f6e9e73c1325a0ce728a37e5d33a,"Merge pull request #186 from lihaitao8233/master

修复UIRender中文件占用的问题"
lihaitao8233,2018-11-28 04:48:08,https://api.github.com/repos/duilib/duilib/git/commits/6617202a4ac51d76d6369e1b2595abb77da3aa70,6617202a4ac51d76d6369e1b2595abb77da3aa70,"修复UIRender中文件占用的问题

Signed-off-by: lihaitao8233 <lihaitao_82@163.com>"
daviyang35,2018-11-12 17:21:23,https://api.github.com/repos/duilib/duilib/git/commits/6b1ec0752873d1325fe7e12bb5dd163136ab94a9,6b1ec0752873d1325fe7e12bb5dd163136ab94a9,"Merge pull request #181 from huanhappy/master

fix: list compare save param (List sort 的参数没有保存)"
huanhappy,2018-11-12 05:36:22,https://api.github.com/repos/duilib/duilib/git/commits/41984bced68e1d4096917816c103a51b8db80ec8,41984bced68e1d4096917816c103a51b8db80ec8,fix: list compare save param
daviyang35,2018-09-12 10:01:04,https://api.github.com/repos/duilib/duilib/git/commits/eafa681d004b0a57f9039f886a30f9985222552e,eafa681d004b0a57f9039f886a30f9985222552e,"Merge pull request #171 from T6Zksor/master

修复 CContainerUI::DoPaint 绘制区域超出指定范围"
T6Zksor,2018-08-29 15:30:44,https://api.github.com/repos/duilib/duilib/git/commits/8d551ab2c9b8b1c0852e002c96bd8176c714b5ae,8d551ab2c9b8b1c0852e002c96bd8176c714b5ae,Select same clip region after call CRenderClip::UseOldClipEnd
daviyang35,2018-08-22 12:31:46,https://api.github.com/repos/duilib/duilib/git/commits/2af63c7160b6f0f41a2b55cc6030b5c5af807c6b,2af63c7160b6f0f41a2b55cc6030b5c5af807c6b,"Merge pull request #170 from convexbytes/patch-1

Update Utils.h fix CDuiString compilation errors"
convexbytes,2018-08-20 18:12:22,https://api.github.com/repos/duilib/duilib/git/commits/525b5ce3daa972fe2b5619453654fcfd700a86cb,525b5ce3daa972fe2b5619453654fcfd700a86cb,"Update Utils.h

Changed CDuiString operator+= declaration. Old declaration caused compilation errors."
wangchyz,2018-07-23 09:35:15,https://api.github.com/repos/duilib/duilib/git/commits/73276e05c2a347a9d422bba4e6ad6460b6c86142,73276e05c2a347a9d422bba4e6ad6460b6c86142,"Merge pull request #167 from Dnnono/master

修复Gif控件内存泄漏"
daviyang35,2018-05-31 07:35:18,https://api.github.com/repos/duilib/duilib/git/commits/e026aa0fe62a22a3b6695fc512286275cf3fe5dc,e026aa0fe62a22a3b6695fc512286275cf3fe5dc,"Merge pull request #164 from zoand/master

change .h"
zoand,2018-05-30 13:41:18,https://api.github.com/repos/duilib/duilib/git/commits/78fbc76a03c6da1c6b284c25d2119db69864a04b,78fbc76a03c6da1c6b284c25d2119db69864a04b,"Merge pull request #1 from duilib/master

sync duilib"
daviyang35,2018-05-29 02:14:07,https://api.github.com/repos/duilib/duilib/git/commits/f369e528ffd44a760a61354f786e15a33da84c40,f369e528ffd44a760a61354f786e15a33da84c40,"Merge pull request #163 from UMU618/master

remove ""using namespace"" at .h
change ""void CPaintManagerUI::MessageLoop()"" to ""int CPaintManagerUI::MessageLoop()"""
UMU618,2018-05-28 07:47:49,https://api.github.com/repos/duilib/duilib/git/commits/83a815c37d75551f353e11c9387949490c6216c7,83a815c37d75551f353e11c9387949490c6216c7,修复某些 DPI 设置下图标模糊
UMU618,2018-05-28 03:31:24,https://api.github.com/repos/duilib/duilib/git/commits/b675252b68c2fb4d5e32dea527e95ade0a8b5685,b675252b68c2fb4d5e32dea527e95ade0a8b5685,"* DO NOT use ""using namespace"" in .h file"
daviyang35,2018-05-07 05:44:42,https://api.github.com/repos/duilib/duilib/git/commits/6c41b5b48cb1d6a3ac12beddd3f22fcd27b014dc,6c41b5b48cb1d6a3ac12beddd3f22fcd27b014dc,"Merge pull request #101 from wxxweb/master

定义宏 DUI_DEPRECATED 用于将不建议使用的方法标记为已弃用"
daviyang35,2018-05-07 05:43:58,https://api.github.com/repos/duilib/duilib/git/commits/0927b0cdda1c6492aec2d0c77efa1a19bfafd3f2,0927b0cdda1c6492aec2d0c77efa1a19bfafd3f2,"Merge pull request #158 from nmgwddj/master

Fixed bug to create shadow for window"
nmgwddj,2018-05-04 04:00:29,https://api.github.com/repos/duilib/duilib/git/commits/31d32495f06a4e6999b702f23a5cf88a757f0fbc,31d32495f06a4e6999b702f23a5cf88a757f0fbc,"Fixed bug to create shadow for window

Signed-off-by: jiajia_deng <2894220@gmail.com>"
wangchyz,2017-01-16 04:04:51,https://api.github.com/repos/duilib/duilib/git/commits/45416a1275ba247fede7ab34595e0a9f81bd0d0e,45416a1275ba247fede7ab34595e0a9f81bd0d0e,"Merge pull request #128 from SoHandsomeYangKunIs/master

修改：指针初始化为NULL"
wangchyz,2016-12-30 04:14:27,https://api.github.com/repos/duilib/duilib/git/commits/91b40f9b7fd04a7e9a4db2a05851e4d1a69defcf,91b40f9b7fd04a7e9a4db2a05851e4d1a69defcf,"Merge pull request #125 from GH72/master

性能优化"
GXKe,2016-12-29 05:46:21,https://api.github.com/repos/duilib/duilib/git/commits/90973778d6378654e499f60b40e23915e3873781,90973778d6378654e499f60b40e23915e3873781,性能优化
wangchyz,2016-11-17 10:06:27,https://api.github.com/repos/duilib/duilib/git/commits/211eb3cba5b63a693c7ca836e1e8f28a6331856d,211eb3cba5b63a693c7ca836e1e8f28a6331856d,"Merge pull request #108 from danteliujie/patch-1

Update DuiLib.sln"
danteliujie,2016-11-17 08:33:41,https://api.github.com/repos/duilib/duilib/git/commits/898568cc82e2820230c96c502aa5c5dc14175bbd,898568cc82e2820230c96c502aa5c5dc14175bbd,Update DuiLib.sln
atypiape,2016-10-15 10:41:47,https://api.github.com/repos/duilib/duilib/git/commits/cc338a4806fedf64320b36d70518e26a9dc86294,cc338a4806fedf64320b36d70518e26a9dc86294,将 COptionUI 的 GetSelectBkColor 标记为已弃用，并用 GetSelectedBkColor 替代
atypiape,2016-10-15 10:30:59,https://api.github.com/repos/duilib/duilib/git/commits/a1e695f344f6a3293d549c4963f86a83d27ccb6e,a1e695f344f6a3293d549c4963f86a83d27ccb6e,定义宏 DUI_DEPRECATED 用于将方法标记为已弃用，方便后期接口维护，当用户使用到被弃用的方法时，编译器将产生 warn 警告
wangchyz,2016-10-05 12:15:45,https://api.github.com/repos/duilib/duilib/git/commits/f37d1ff8a5f0604b4a60f2e7d5a84f10460a5823,f37d1ff8a5f0604b4a60f2e7d5a84f10460a5823,"修复tooltip 提示闪烁bug 
--by jiangdon2007

修复 控件删除时m_aNeedMouseLeaveNeeded可能未及时处理的bug
修复SendNotify(CControlUI* pControl,...)里面,bEnableRepeat参数值为false时没有正确传递的bug；
修复SendNotify(TNotifyUI& Msg,...)里面，异步时pMsg->sVirtualWnd没有被正确赋值，导致虚拟窗口异步消息不能正确响应的bug。
--by juhuaguai 

修复gamedemo在多屏下最大化大小不正确的问题"
wangchyz,2016-04-13 01:26:40,https://api.github.com/repos/duilib/duilib/git/commits/8259397bc2bb9230db23d846b215fdcafd10204f,8259397bc2bb9230db23d846b215fdcafd10204f,"Merge pull request #80 from fcten/fcten-patch-1

修复 ScrollBar 在不显示按钮时滚动速率不正确的问题"
