elasticsearch-ruby,Ruby integrations for Elasticsearch
username,timestamp,url,sha,message
philkra,2019-08-23 18:07:44,https://api.github.com/repos/elastic/elasticsearch-ruby/git/commits/5f2e39e3e408cd8430dd55143d6f38edac9724ac,5f2e39e3e408cd8430dd55143d6f38edac9724ac,fix fingerprint reference (#720)
philkra,2019-08-23 09:50:19,https://api.github.com/repos/elastic/elasticsearch-ruby/git/commits/ee59820f5d7d0c04e4f50b0df50903b9afec82cc,ee59820f5d7d0c04e4f50b0df50903b9afec82cc,unknown tag references
philkra,2019-08-23 09:47:57,https://api.github.com/repos/elastic/elasticsearch-ruby/git/commits/bf061cce684919f50c33f67ce14475556d20e26c,bf061cce684919f50c33f67ce14475556d20e26c,remove include to unimplemented example spec
philkra,2019-08-23 09:44:23,https://api.github.com/repos/elastic/elasticsearch-ruby/git/commits/917618572a1e7b62fcab50bd53e8cf6df29886e8,917618572a1e7b62fcab50bd53e8cf6df29886e8,invalid path to include file
estolfo,2019-08-23 09:33:40,https://api.github.com/repos/elastic/elasticsearch-ruby/git/commits/f5cd634e40a0ad17b10e1f5b3b12d2193cedde3e,f5cd634e40a0ad17b10e1f5b3b12d2193cedde3e,Correct path to documentation examples for rake task
estolfo,2019-08-23 09:06:21,https://api.github.com/repos/elastic/elasticsearch-ruby/git/commits/a8abb5c1865831b125851dc491ca10bc1050e834,a8abb5c1865831b125851dc491ca10bc1050e834,[DOCS] Change directory of doc examples
estolfo,2019-08-22 14:10:31,https://api.github.com/repos/elastic/elasticsearch-ruby/git/commits/a6b1ad4ad58279de9612149b32ad7efe848ee6bd,a6b1ad4ad58279de9612149b32ad7efe848ee6bd,[DOCS] Add doc examples
estolfo,2019-08-16 13:02:59,https://api.github.com/repos/elastic/elasticsearch-ruby/git/commits/0a15add5bd68faa4c5b8a474c7b6380af2f9452d,0a15add5bd68faa4c5b8a474c7b6380af2f9452d,Bundler is now a default gem with RubyGems 3
estolfo,2019-08-15 12:39:40,https://api.github.com/repos/elastic/elasticsearch-ruby/git/commits/68037607880e46005e22c4ad63a86886f0a31871,68037607880e46005e22c4ad63a86886f0a31871,[API] Update documentation of put_script method
estolfo,2019-08-15 12:15:31,https://api.github.com/repos/elastic/elasticsearch-ruby/git/commits/eafed0d6f9e9915c3470fe51242816c02fe58897,eafed0d6f9e9915c3470fe51242816c02fe58897,"[CI] Test latest stable, 7.3.0"
