rebound,A Java library that models spring dynamics and adds real world physics to your app. 
username,timestamp,url,sha,message
willbailey,2017-05-09 01:23:31,https://api.github.com/repos/facebook/rebound/git/commits/65f155c6cf4e7594da636b2ab5215067e24da6ae,65f155c6cf4e7594da636b2ab5215067e24da6ae,"Merge pull request #85 from bryant1410/master

Fix broken headings in Markdown files"
bryant1410,2017-04-16 19:59:21,https://api.github.com/repos/facebook/rebound/git/commits/4a3c7e48279248866ccc5d28c015a480b0ed62d1,4a3c7e48279248866ccc5d28c015a480b0ed62d1,Fix broken Markdown headings
willbailey,2015-08-21 15:42:43,https://api.github.com/repos/facebook/rebound/git/commits/5017fc904cc9511384b69f79771386abf177bd37,5017fc904cc9511384b69f79771386abf177bd37,"Merge pull request #65 from vbauer/cleanup-modifiers

Cleanup/fix methods/fields modifiers"
willbailey,2015-08-21 15:41:00,https://api.github.com/repos/facebook/rebound/git/commits/7bc5b9aca9e8482575d682c25e7b8bbe35152483,7bc5b9aca9e8482575d682c25e7b8bbe35152483,"Merge pull request #66 from vbauer/fix-javadoc

Fixed/added javadoc"
vbauer,2015-08-20 23:46:35,https://api.github.com/repos/facebook/rebound/git/commits/3bd6966ad5d387d5222863459c56c57f1790f4df,3bd6966ad5d387d5222863459c56c57f1790f4df,Fixed/added javadoc
vbauer,2015-08-20 23:33:06,https://api.github.com/repos/facebook/rebound/git/commits/f0f6c64f824f11f7eddbd305f1cee1340edb0d56,f0f6c64f824f11f7eddbd305f1cee1340edb0d56,Cleanup/fix methods/fields modifiers
willbailey,2015-06-25 16:47:31,https://api.github.com/repos/facebook/rebound/git/commits/7b623e206855a03759a2abc0d6c64a342e8966e1,7b623e206855a03759a2abc0d6c64a342e8966e1,"Merge pull request #56 from ppamorim/gradle

Gradle changes"
ppamorim,2015-06-25 00:42:15,https://api.github.com/repos/facebook/rebound/git/commits/6b2ec22481109356b8a617f4a3af0c0a0972283b,6b2ec22481109356b8a617f4a3af0c0a0972283b,travis fix
ppamorim,2015-06-11 12:23:40,https://api.github.com/repos/facebook/rebound/git/commits/9d4b97c30aecf27e6f09142fad4a8b2080edf8e2,9d4b97c30aecf27e6f09142fad4a8b2080edf8e2,update
willbailey,2015-06-04 16:54:13,https://api.github.com/repos/facebook/rebound/git/commits/b74776fad925c68764098291037a6cee60a60840,b74776fad925c68764098291037a6cee60a60840,move lint directive to rebound-android gradle
willbailey,2015-06-04 15:25:36,https://api.github.com/repos/facebook/rebound/git/commits/8f3d3abb2bdc97b85c30aae04ae5993e63694c56,8f3d3abb2bdc97b85c30aae04ae5993e63694c56,dont abort on lint error in CI
willbailey,2015-06-04 14:36:43,https://api.github.com/repos/facebook/rebound/git/commits/eb2b2c26a0bf419b2f3db205a91431dc7864d461,eb2b2c26a0bf419b2f3db205a91431dc7864d461,fix CI build
willbailey,2015-06-04 00:41:21,https://api.github.com/repos/facebook/rebound/git/commits/c32d7375fbcf9916dc83a63f5d9db6d9c509c412,c32d7375fbcf9916dc83a63f5d9db6d9c509c412,update version in build.gradle
willbailey,2015-06-03 23:58:01,https://api.github.com/repos/facebook/rebound/git/commits/ee9ad936d539d1730ae7a6847f3e8059fdd79dc3,ee9ad936d539d1730ae7a6847f3e8059fdd79dc3,fix bug in non-choreographer looper
willbailey,2015-04-10 19:18:12,https://api.github.com/repos/facebook/rebound/git/commits/d7ef89e180f60dfe95e1a823e2967327714b2358,d7ef89e180f60dfe95e1a823e2967327714b2358,"Revert ""scratch""

This reverts commit c787e488c70e277369bffb50491ab48ac8735a86."
willbailey,2015-04-10 18:51:00,https://api.github.com/repos/facebook/rebound/git/commits/70d92e289d451702dad5ad8ff7aae81c75ce584f,70d92e289d451702dad5ad8ff7aae81c75ce584f,Update patent grant: http://fb.me/patents2
willbailey,2015-04-10 18:35:45,https://api.github.com/repos/facebook/rebound/git/commits/c787e488c70e277369bffb50491ab48ac8735a86,c787e488c70e277369bffb50491ab48ac8735a86,scratch
willbailey,2015-01-05 17:03:55,https://api.github.com/repos/facebook/rebound/git/commits/da61d0390dc1450e9e6ab15e3190719f38d87435,da61d0390dc1450e9e6ab15e3190719f38d87435,Update README.md
willbailey,2015-01-05 16:17:31,https://api.github.com/repos/facebook/rebound/git/commits/afd7a1b85dbc87b199e29a3245f2e7ee328f6c26,afd7a1b85dbc87b199e29a3245f2e7ee328f6c26,release process edits
willbailey,2015-01-04 19:11:28,https://api.github.com/repos/facebook/rebound/git/commits/41ce324cc1c4264253110dcd19edaf3441f36907,41ce324cc1c4264253110dcd19edaf3441f36907,updating build to 0.3.7
willbailey,2015-01-03 00:40:29,https://api.github.com/repos/facebook/rebound/git/commits/71d8fd0b34b23d406615826c4ffd27ac3266b69f,71d8fd0b34b23d406615826c4ffd27ac3266b69f,update release instructions
willbailey,2015-01-02 23:22:07,https://api.github.com/repos/facebook/rebound/git/commits/02876c8cd3943a539c5078c675abe392c0ae3d74,02876c8cd3943a539c5078c675abe392c0ae3d74,add POP Animation configuration values to SpringConfig
willbailey,2015-01-02 22:50:42,https://api.github.com/repos/facebook/rebound/git/commits/f1a693a4822ef5e17fc142988028f651433ffb9c,f1a693a4822ef5e17fc142988028f651433ffb9c,make the SpringConfig values configurable with SpringChain
willbailey,2014-09-15 23:42:52,https://api.github.com/repos/facebook/rebound/git/commits/b0e8318b65e55cfbe60c47cbe8a0928e0a91d974,b0e8318b65e55cfbe60c47cbe8a0928e0a91d974,Bouncy scroll-view example
willbailey,2015-01-02 20:07:33,https://api.github.com/repos/facebook/rebound/git/commits/78fe6e30553a2f66cfe06b3c37b1d49234672cfb,78fe6e30553a2f66cfe06b3c37b1d49234672cfb,"Merge pull request #50 from facebook/wbailey

upgrade gradle plugin to 1.0.0"
willbailey,2015-01-02 19:55:37,https://api.github.com/repos/facebook/rebound/git/commits/37551d9ef4730dd5847f247888d5732c5de5e87c,37551d9ef4730dd5847f247888d5732c5de5e87c,upgrade gradle plugin to 1.0.0
willbailey,2014-10-30 17:30:20,https://api.github.com/repos/facebook/rebound/git/commits/a171aae002e697caeb69425437feacf397bfe279,a171aae002e697caeb69425437feacf397bfe279,fix gradle build for docs and sources jars
willbailey,2014-09-16 16:29:52,https://api.github.com/repos/facebook/rebound/git/commits/5bdf98d98ad51be23a8bce1a986715a891025b4c,5bdf98d98ad51be23a8bce1a986715a891025b4c,fix crash in BallExample
willbailey,2014-09-15 16:39:17,https://api.github.com/repos/facebook/rebound/git/commits/f3fee19bf878bc389c62786df72fd006afe964fb,f3fee19bf878bc389c62786df72fd006afe964fb,bump version
willbailey,2014-09-15 08:24:05,https://api.github.com/repos/facebook/rebound/git/commits/63a536624ba55a399bf9da39a6b36c75881d8e65,63a536624ba55a399bf9da39a6b36c75881d8e65,Merge pull request #45 from facebook/wbailey
willbailey,2014-09-15 08:23:31,https://api.github.com/repos/facebook/rebound/git/commits/0980b3d5b93df4b26fc8c962ce1408a273e1a20a,0980b3d5b93df4b26fc8c962ce1408a273e1a20a,update the license header
willbailey,2014-09-15 08:02:33,https://api.github.com/repos/facebook/rebound/git/commits/457d23c85cdfd9254e6004d899f6617952610ffc,457d23c85cdfd9254e6004d899f6617952610ffc,new photo gallery example
willbailey,2014-09-14 23:54:49,https://api.github.com/repos/facebook/rebound/git/commits/0da30dab56929ad9d4b24002ee42f824ca13b0f5,0da30dab56929ad9d4b24002ee42f824ca13b0f5,rename CascadeEffectExample SpringChainExample
willbailey,2014-09-14 23:39:57,https://api.github.com/repos/facebook/rebound/git/commits/ed951ba0e9f6b8e8b955157a8ab60fa06bcf98b3,ed951ba0e9f6b8e8b955157a8ab60fa06bcf98b3,"Merge pull request #44 from facebook/wbailey

neaten up a few things and add some more docs"
willbailey,2014-09-14 23:13:55,https://api.github.com/repos/facebook/rebound/git/commits/7efee9943cff2e9c13473b88334889de02edd1c1,7efee9943cff2e9c13473b88334889de02edd1c1,neaten up a few things and add some more docs
willbailey,2014-09-14 08:40:27,https://api.github.com/repos/facebook/rebound/git/commits/290b9a36e18f981367d61bd1b6212a4a0723922e,290b9a36e18f981367d61bd1b6212a4a0723922e,"Merge pull request #43 from facebook/wbailey

new examples and helper classes"
willbailey,2014-09-14 08:28:26,https://api.github.com/repos/facebook/rebound/git/commits/b397b7609a26303a7ca54d25c3219ececed008bb,b397b7609a26303a7ca54d25c3219ececed008bb,simple cascade example
willbailey,2014-09-14 08:28:14,https://api.github.com/repos/facebook/rebound/git/commits/321b0ae042a2e93b4db00d542c0c356a8049a779,321b0ae042a2e93b4db00d542c0c356a8049a779,SpringChain for applying a chain of springs to yield cascade effects
willbailey,2014-09-14 08:27:29,https://api.github.com/repos/facebook/rebound/git/commits/0b38e38b0f539dda21ec3e0653f757dfb3b9aad7,0b38e38b0f539dda21ec3e0653f757dfb3b9aad7,AnimationQueue for applying values to a series of callbacks on an animation loop
willbailey,2014-09-14 08:21:18,https://api.github.com/repos/facebook/rebound/git/commits/566befd8ead9234d32eaa1c83276ebe1b0fd0dcf,566befd8ead9234d32eaa1c83276ebe1b0fd0dcf,add compat class for accessing choreographer
willbailey,2014-09-14 08:20:09,https://api.github.com/repos/facebook/rebound/git/commits/fbe5357e8b90c5fa6751b4bc73645478cf541383,fbe5357e8b90c5fa6751b4bc73645478cf541383,add license to android SpringSystem
willbailey,2014-09-10 02:27:44,https://api.github.com/repos/facebook/rebound/git/commits/b79472e4b3965ee9de2745bb7016231992b992c8,b79472e4b3965ee9de2745bb7016231992b992c8,"Merge pull request #42 from facebook/wbailey

remove origami example"
willbailey,2014-09-09 08:12:04,https://api.github.com/repos/facebook/rebound/git/commits/6953c4bc29138d345a5d149f242ef8fdfb90d8d6,6953c4bc29138d345a5d149f242ef8fdfb90d8d6,remove origami from build.gradle
willbailey,2014-09-09 08:11:05,https://api.github.com/repos/facebook/rebound/git/commits/66dce172c8f50962ab64fab7fc0bae3e9f982593,66dce172c8f50962ab64fab7fc0bae3e9f982593,remove origami from .buckconfig
willbailey,2014-09-09 08:09:03,https://api.github.com/repos/facebook/rebound/git/commits/4e8c8a6b411141e1170632d04b42ab6023026298,4e8c8a6b411141e1170632d04b42ab6023026298,cleanup and simplify the base example app
