ExoPlayer,An extensible media player for Android
username,timestamp,url,sha,message
ojw28,2019-08-09 20:01:05,https://api.github.com/repos/google/ExoPlayer/git/commits/85c10b02567b66ecfaaaacfd0ba9389b41bf919e,85c10b02567b66ecfaaaacfd0ba9389b41bf919e,"Merge pull request #6279 from google/dev-v2-r2.10.4

r2.10.4"
tonihei,2019-08-05 15:57:44,https://api.github.com/repos/google/ExoPlayer/git/commits/d1ac2727a6e1d2928d203791c6453908e77038e5,d1ac2727a6e1d2928d203791c6453908e77038e5,"Update stale TrackSelections in chunk sources when keeping the streams.

If we keep streams in chunk sources after selecting new tracks, we also keep
a reference to a stale disabled TrackSelection object. Fix this by updating
the TrackSelection object when keeping the stream. The static part of the
selection (i.e. the subset of selected tracks) stays the same in all cases.

Issue:#6256
PiperOrigin-RevId: 261696082"
tonihei,2019-08-05 09:43:50,https://api.github.com/repos/google/ExoPlayer/git/commits/936a7789c98484616bef4df30bed8ccf79786734,936a7789c98484616bef4df30bed8ccf79786734,"Check if controller is used when performing click directly.

Issue:#6260
PiperOrigin-RevId: 261647858"
ojw28,2019-08-02 18:03:03,https://api.github.com/repos/google/ExoPlayer/git/commits/b0c2b1a0fa762a9c09ecad0c300193dd768827ce,b0c2b1a0fa762a9c09ecad0c300193dd768827ce,"Bump annotations dependency

PiperOrigin-RevId: 261353271"
ojw28,2019-08-02 17:05:17,https://api.github.com/repos/google/ExoPlayer/git/commits/f3e5aaae3dddf779aa26be1d8f3cb7fd71a6596c,f3e5aaae3dddf779aa26be1d8f3cb7fd71a6596c,"Upgrade dependency versions

PiperOrigin-RevId: 261341256"
ojw28,2019-08-02 17:02:21,https://api.github.com/repos/google/ExoPlayer/git/commits/f2cff05c6914b1f987120e11ab4aedf05de210e7,f2cff05c6914b1f987120e11ab4aedf05de210e7,"Remove obsolete workaround

PiperOrigin-RevId: 261340526"
ojw28,2019-08-02 15:49:17,https://api.github.com/repos/google/ExoPlayer/git/commits/cd7fe05db72011154508087753f85cb198981a45,cd7fe05db72011154508087753f85cb198981a45,"Constraint seek targetGranule within bounds + simplify tests

PiperOrigin-RevId: 261328701"
ojw28,2019-08-02 14:48:44,https://api.github.com/repos/google/ExoPlayer/git/commits/f497bb96100bf86ba15f01dfe6007757ab9e5b8e,f497bb96100bf86ba15f01dfe6007757ab9e5b8e,"Move DefaultOggSeeker tests into a single class

PiperOrigin-RevId: 261320318"
ojw28,2019-08-02 14:29:12,https://api.github.com/repos/google/ExoPlayer/git/commits/1da5689ea08a527efebcd9a0391703fa75d7dcc6,1da5689ea08a527efebcd9a0391703fa75d7dcc6,"Improve extractor tests based on ExtractorAsserts

- Test seeking to (timeUs=0, position=0), which should always work
  and produce the same output as initially reading from the start
  of the stream.
- Reset the input when testing seeking, to ensure IO errors are
  simulated for this case.

PiperOrigin-RevId: 261317898"
ojw28,2019-08-02 14:20:35,https://api.github.com/repos/google/ExoPlayer/git/commits/3c8c5a3346eb05db16a9125072b8d101b8e222e2,3c8c5a3346eb05db16a9125072b8d101b8e222e2,"Fix DefaultOggSeeker seeking

- When in STATE_SEEK with targetGranule==0, seeking would exit
  without checking that the input was positioned at the correct
  place.
- Seeking could fail due to trying to read beyond the end of the
  stream.
- Seeking was not robust against IO errors during the skip phase
  that occurs after the binary search has sufficiently converged.

PiperOrigin-RevId: 261317035"
