WebFundamentals,Best practices for modern web development
username,timestamp,url,sha,message
jpmedley,2019-09-06 18:58:22,https://api.github.com/repos/google/WebFundamentals/git/commits/c91ecb515285b87f7cab27d667eff4f0799edd78,c91ecb515285b87f7cab27d667eff4f0799edd78,"Copy edit async clipboard article. (#8084)

* Copy edit async clipboard article.

* Fix minor things brought up by @jpmedley.

* Address @jpmedley's remarks

* Add MIME type explanation."
tomayac,2019-09-06 15:01:24,https://api.github.com/repos/google/WebFundamentals/git/commits/f80a3630dee74de7c58be31fc5d5a5fe91edabd4,f80a3630dee74de7c58be31fc5d5a5fe91edabd4,"Update to Wake Lock API article with latest API changes (#8083)

* Update to Wake Lock API article with latest API changes

* Address @jpmedley's remarks and make the linter happy

* Update updated date in landing page

* Address @jpmedley's remarks"
AVGP,2019-09-06 14:57:41,https://api.github.com/repos/google/WebFundamentals/git/commits/8a0f936647d63df632ba4358a2b1df4385dea7d4,8a0f936647d63df632ba4358a2b1df4385dea7d4,Adds a note on light DOM to the web components best practices (#8090)
kyarik,2019-09-05 14:09:32,https://api.github.com/repos/google/WebFundamentals/git/commits/d3e968ed3ac7bbc2bb5241abf66f738cb1e51d88,d3e968ed3ac7bbc2bb5241abf66f738cb1e51d88,"Fixes to the Preventing Mixed Content article (#8087)

In the *Preventing Mixed Content* article,

- Added missing backticks/periods/commas/apostrophes."
jpmedley,2019-09-05 14:08:47,https://api.github.com/repos/google/WebFundamentals/git/commits/ca4e3ee912a37f0fd4498a009b132f5e0f791346,ca4e3ee912a37f0fd4498a009b132f5e0f791346,Update spec link in web share article. (#8086)
andreban,2019-09-05 14:05:26,https://api.github.com/repos/google/WebFundamentals/git/commits/28a366e5b81beeac0ca645fbbb3176a67d5984e0,28a366e5b81beeac0ca645fbbb3176a67d5984e0,"Updates TWA Support Library version (#8082)

- Updates to version 91b4a1270b"
kaycebasques,2019-09-04 22:38:06,https://api.github.com/repos/google/WebFundamentals/git/commits/f799ce727d3e8a3700fc7fb079a5804238296f2e,f799ce727d3e8a3700fc7fb079a5804238296f2e,DevTools: Link to multi-client tweet
kaycebasques,2019-09-04 22:22:44,https://api.github.com/repos/google/WebFundamentals/git/commits/da4e0904884618bcba32d942a9b537911ca23ddd,da4e0904884618bcba32d942a9b537911ca23ddd,DevTools: Embed SFHTML5 Meetup video onto homepage
kaycebasques,2019-09-04 21:05:38,https://api.github.com/repos/google/WebFundamentals/git/commits/9bb810bcba70723b727ca1a682bee061eb35e4ee,9bb810bcba70723b727ca1a682bee061eb35e4ee,Update What's New In DevTools (Chrome 78) (#8085)
kaycebasques,2019-09-03 21:17:03,https://api.github.com/repos/google/WebFundamentals/git/commits/ebfd35099199c9db21a77aff100e25d9c8de7c41,ebfd35099199c9db21a77aff100e25d9c8de7c41,DevTools: Add What's New In DevTools (Chrome 78) (#8054)
