physical-web,The Physical Web: walk up and use anything
username,timestamp,url,sha,message
mmocny,2017-07-18 17:21:27,https://api.github.com/repos/google/physical-web/git/commits/12604319e99b6d6dff451fc5a58a13a271f1dc7a,12604319e99b6d6dff451fc5a58a13a271f1dc7a,"Merge pull request #917 from dvdhpkns/patch-1

Fix broken links for blog posts"
dvdhpkns,2017-07-11 20:21:30,https://api.github.com/repos/google/physical-web/git/commits/02623543d7c2ae9245e111aa612c683b1a534943,02623543d7c2ae9245e111aa612c683b1a534943,"Fix broken links for blog posts

Without http in front of the url clicking takes you to `https://github.com/google/physical-web/blob/master/blog.chromium.org/2015/07/exploring-physical-web-with-chrome-for.html`"
cco3,2017-04-19 17:28:26,https://api.github.com/repos/google/physical-web/git/commits/33f5c94dac2e748e9167a11219cf41c5bf13fe12,33f5c94dac2e748e9167a11219cf41c5bf13fe12,"Merge pull request #903 from bryant1410/master

Fix broken headings in Markdown files"
bryant1410,2017-04-18 08:15:37,https://api.github.com/repos/google/physical-web/git/commits/2524e70a8199d59a8fccf3ab8b73688e9466f9ca,2524e70a8199d59a8fccf3ab8b73688e9466f9ca,Fix broken Markdown headings
cco3,2017-04-14 17:39:47,https://api.github.com/repos/google/physical-web/git/commits/065773a6f9dd502ef03335ce6f6f9951fe1eb0c0,065773a6f9dd502ef03335ce6f6f9951fe1eb0c0,"Merge pull request #902 from wiiikiii/patch-1

fixed markdown"
wiiikiii,2017-04-10 14:17:26,https://api.github.com/repos/google/physical-web/git/commits/5432b305e65b7a6154ba713d9973036f7b413b95,5432b305e65b7a6154ba713d9973036f7b413b95,fixed markdown
iankchristie,2017-01-23 19:04:08,https://api.github.com/repos/google/physical-web/git/commits/eaf73617137e1dd8b837e51cec79e68ec8da8aaa,eaf73617137e1dd8b837e51cec79e68ec8da8aaa,"Increase ci (#889)

* Change MTU size of BLE transfer packets

This change allows us to monkeypatch the increase in MTU size to
optimize the data transfer rate. Currently, we are setting it at
505, which is the limit the android can accept.

* Allow for Changing the Connection Interval

This change allows us to change the connection interval through
system calls when we obtain the connection handle. It's hacky,
but it accomplishes the task. It's important to note a few things.
First, the Bluetooth specs require that a connection interval as low
as 7.5 ms. Second, there is a 1.25 multiplier on the min & max
settings."
iankchristie,2017-01-23 18:57:47,https://api.github.com/repos/google/physical-web/git/commits/6a27a430fca0a0d0ac8da4e821547b4fe8f686a5,6a27a430fca0a0d0ac8da4e821547b4fe8f686a5,"Merge pull request #888 from iankchristie/increaseMtu

Change MTU size of BLE transfer packets"
iankchristie,2017-01-21 00:43:17,https://api.github.com/repos/google/physical-web/git/commits/037a48ce0d8ed6019e12af19622d2ace86e5e063,037a48ce0d8ed6019e12af19622d2ace86e5e063,"Change MTU size of BLE transfer packets

This change allows us to monkeypatch the increase in MTU size to
optimize the data transfer rate. Currently, we are setting it at
505, which is the limit the android can accept."
iankchristie,2017-01-21 00:19:34,https://api.github.com/repos/google/physical-web/git/commits/b0d937fb42d9683c362e379b9b687547a359d474,b0d937fb42d9683c362e379b9b687547a359d474,"Merge pull request #887 from iankchristie/fileServing

File serving"
iankchristie,2017-01-20 22:44:18,https://api.github.com/repos/google/physical-web/git/commits/45b3892fb8fc3f865cd8f159f1c0130454641d72,45b3892fb8fc3f865cd8f159f1c0130454641d72,"Allow Fatbeacon to serve large files

This change allows the Fatbeacon to serve large files, as opposed to
one message that is less than the mtu size. The central will call
the same characteristic until it receives a packet size smaller
than the mtu. The peripheral will slice the message and serve the
next slice when the central askes for it."
iankchristie,2017-01-20 23:33:37,https://api.github.com/repos/google/physical-web/git/commits/94cb9a89c1dbcecf82f139b25d7243b16eaa54b2,94cb9a89c1dbcecf82f139b25d7243b16eaa54b2,"Merge pull request #885 from iankchristie/GATTStart

Gatt start"
iankchristie,2017-01-17 20:16:14,https://api.github.com/repos/google/physical-web/git/commits/cb852f9cc2ac63c093fc616c04aedb197ba32e28,cb852f9cc2ac63c093fc616c04aedb197ba32e28,"Add webpageCharacteristic for Beacon to Read

This change adds a webpageCharacteristic, with a UUID already known to the
central, for the central to read html content from. It creates a fully
connectable GATTservice that sends back a very simple message.

Conflicts:
	nodejs/FatBeaconPeripheral/FatBeacon.js"
iankchristie,2017-01-19 23:26:35,https://api.github.com/repos/google/physical-web/git/commits/64ded7398fe9a94d0ac4d144749ac62dd4b0c42c,64ded7398fe9a94d0ac4d144749ac62dd4b0c42c,"Merge pull request #883 from iankchristie/PWSSharing

Send Url initially to PWS"
iankchristie,2017-01-19 21:43:11,https://api.github.com/repos/google/physical-web/git/commits/384bc289b354d10fb9e37f99fd4cc6ca0100cabc,384bc289b354d10fb9e37f99fd4cc6ca0100cabc,"Merge pull request #881 from iankchristie/FatBeaconStart

Add FatBeacon Implementation for Eddystone"
iankchristie,2017-01-13 23:01:08,https://api.github.com/repos/google/physical-web/git/commits/d6aeef66510c4a93bd4212c7bfc563c45747035b,d6aeef66510c4a93bd4212c7bfc563c45747035b,"Add FatBeacon Implementation for Eddystone

This change sets up an eddystone-beacon to advertise a fatbeacon. It
uses monkey-patching to override dependent functions at runtime, in
order to attatch the Fatbeacon header. It is not connectable, as it
contains no service or characteristic to read from."
iankchristie,2017-01-13 19:30:55,https://api.github.com/repos/google/physical-web/git/commits/e914e244142329ec077db9b82eeb94a19cd127aa,e914e244142329ec077db9b82eeb94a19cd127aa,"Send URL initially to PWS before Broadcasting

This change sends Url to PWS to comply with chrome sanitization. This
also removes some of the object fields and instead passes data as
parameters."
iankchristie,2017-01-13 22:50:49,https://api.github.com/repos/google/physical-web/git/commits/1b2b880cc22270e0f0a299b0ec2aa522fd1463c4,1b2b880cc22270e0f0a299b0ec2aa522fd1463c4,"Merge pull request #877 from iankchristie/gzipFatBeacon

Gzip fat beacon"
iankchristie,2017-01-10 00:04:25,https://api.github.com/repos/google/physical-web/git/commits/6bf6a1ca277ab38bb8bdc53b88351960ce22eff8,6bf6a1ca277ab38bb8bdc53b88351960ce22eff8,"Add detection and decompression of gzip info

This change uses the presence of a Descriptor UUID, collected at
service-discovery time, to determine if the contents of streamed data
are gzipped. If they are, then it will decompress the file and
present it to the user."
cco3,2017-01-11 18:25:53,https://api.github.com/repos/google/physical-web/git/commits/fa38299db74c1fdfc0a75a7fa6b8a88e1f0cc536,fa38299db74c1fdfc0a75a7fa6b8a88e1f0cc536,"Merge pull request #874 from iankchristie/UIThread

Fix Blocky UI behavior while scanning"
iankchristie,2016-12-16 22:53:55,https://api.github.com/repos/google/physical-web/git/commits/e46828afc71c6ee972cc3d697bdb5e67a5eab7c9,e46828afc71c6ee972cc3d697bdb5e67a5eab7c9,"Fix Blocky UI behavior while scanning.

onUrlDeviceDiscoveryUpdate being called rapidly during scanning.
Because of inefficiencies in the process of adding it to the UI
this caused blocky behavior. This fix optimizes when we call the
UIThread to empty the GroupIdQueue."
iankchristie,2016-12-15 19:21:47,https://api.github.com/repos/google/physical-web/git/commits/4dbb4805d051b2b9b6fb843f11da8c6e220e140d,4dbb4805d051b2b9b6fb843f11da8c6e220e140d,"Merge pull request #872 from iankchristie/upradeSDK

Uprade sdk"
iankchristie,2016-12-15 19:00:11,https://api.github.com/repos/google/physical-web/git/commits/f8d6995e225a21d9aafc1f673011422a7d22cab3,f8d6995e225a21d9aafc1f673011422a7d22cab3,"Upgrade SDK to 25

Upgrade compiledSDKVersion to 25, buildtools to 25.0.1, and
targetSDK to 25"
iankchristie,2016-12-14 23:47:19,https://api.github.com/repos/google/physical-web/git/commits/294f3b0a3f9d07667fc062eed687f97b8344d994,294f3b0a3f9d07667fc062eed687f97b8344d994,"Update SDK to 25

Updating SDK to version to 25 and build tools to 25.0.0"
cco3,2016-12-14 00:58:08,https://api.github.com/repos/google/physical-web/git/commits/82148f05fc5c7ac6bbcc9b9056b625b5274ac480,82148f05fc5c7ac6bbcc9b9056b625b5274ac480,"Merge pull request #869 from cco3/preffragsearch

Hide custom PWS settings when not in use"
cco3,2016-12-13 23:25:19,https://api.github.com/repos/google/physical-web/git/commits/56cf9468aff3cccc12cea3a210bf8d0254f943d2,56cf9468aff3cccc12cea3a210bf8d0254f943d2,"Hide custom PWS settings when not in use

When the user is not using a custom PWS, the custom PWS settings are
visible; confusing!  This change hides those settings when not in use."
cco3,2016-11-30 00:26:59,https://api.github.com/repos/google/physical-web/git/commits/79eac723beb301257010817ed6f727516d1154cd,79eac723beb301257010817ed6f727516d1154cd,"Merge pull request #864 from iankchristie/logovisibilityfix

Set background image invisible when not in use"
iankchristie,2016-11-29 20:58:54,https://api.github.com/repos/google/physical-web/git/commits/8065269aeb689086fb6ce44de69bd001e64e5bc5,8065269aeb689086fb6ce44de69bd001e64e5bc5,"Set background image invisible when not in use

Fixing bug that occurred when the device was turned. It would
show the background logo before redrawing the listview. This
sets the background textview to invisible after scanning is
completed."
hayesjordan,2016-09-28 00:36:12,https://api.github.com/repos/google/physical-web/git/commits/c0a9c6d571efa8a1af5ebb55b074ef7da0c7a3cb,c0a9c6d571efa8a1af5ebb55b074ef7da0c7a3cb,"Merge pull request #842 from hayesjordan/service-connection-helper-761

Add a service connection helper"
hayesjordan,2016-09-28 00:28:08,https://api.github.com/repos/google/physical-web/git/commits/1f2c296ba480eea0575148795a450706c10b9a95,1f2c296ba480eea0575148795a450706c10b9a95,"Add a service connection helper

Address issue 761"
hayesjordan,2016-09-27 19:55:09,https://api.github.com/repos/google/physical-web/git/commits/80c80280eb98b071ffaa91ccb0457b3d3274c770,80c80280eb98b071ffaa91ccb0457b3d3274c770,"Merge pull request #841 from hayesjordan/multiple-url-beacon

Fix crash when a beacon transmits multiple URLs"
