impress.js,It's a presentation framework based on the power of CSS3 transforms and transitions in modern browsers and inspired by the idea behind prezi.com.
username,timestamp,url,sha,message
Jason-Cooke,2019-07-06 08:31:46,https://api.github.com/repos/impress/impress.js/git/commits/2826aecde7ccf7bdcae30c1dfb2b71210cba68c7,2826aecde7ccf7bdcae30c1dfb2b71210cba68c7,docs: fix typo (#738)
henrikingo,2019-06-27 06:07:33,https://api.github.com/repos/impress/impress.js/git/commits/646fc3c45a529f7a8921bdff6aa569e1e748cb6c,646fc3c45a529f7a8921bdff6aa569e1e748cb6c,Fix lint
henrikingo,2019-06-27 03:58:48,https://api.github.com/repos/impress/impress.js/git/commits/05cf6ffded9537c0c7a4ab88dac7d82334808266,05cf6ffded9537c0c7a4ab88dac7d82334808266,"rel: In teardown, only reset data-x/y/z attribute if we modified it.

Fixes downstream bug in impressionist:
https://github.com/henrikingo/impressionist/issues/20"
Lacuno,2019-06-13 10:27:27,https://api.github.com/repos/impress/impress.js/git/commits/628b78f3fd9829c66479c1b0bcf91ecfb2427742,628b78f3fd9829c66479c1b0bcf91ecfb2427742,"Bugfix: Scaling bug on swipe, when window scale is not 1 (#736)"
willamesoares,2019-04-25 10:41:50,https://api.github.com/repos/impress/impress.js/git/commits/c61403d57ad4603a45117d893e99877d58530604,c61403d57ad4603a45117d893e99877d58530604,Trigger event on substep enter (#730)
drna3r,2019-04-25 08:13:56,https://api.github.com/repos/impress/impress.js/git/commits/c6d468ed26360097db79dc6e5343f01c7b3bf762,c6d468ed26360097db79dc6e5343f01c7b3bf762,"Remove ""that""! (#726)"
henrikingo,2019-04-11 09:59:38,https://api.github.com/repos/impress/impress.js/git/commits/3e4d7d2e42be6319ddeb8d69cff17aadfd97ac39,3e4d7d2e42be6319ddeb8d69cff17aadfd97ac39,Small README edit
mohe2015,2019-04-10 07:21:23,https://api.github.com/repos/impress/impress.js/git/commits/898083116bdc74331520b7d2fedfb0f5aab627f1,898083116bdc74331520b7d2fedfb0f5aab627f1,"Update dependencies and remove outdated ones (#722)

* Update dependencies and remove outdated ones
* Add package lock file
* Add minified file
* Karma now uses headless browser to run QUnit
* Add to readme that node and npm install is required
* Update license info
* Add lint-new but don't use it in CI yet"
giflw,2019-02-06 11:36:04,https://api.github.com/repos/impress/impress.js/git/commits/97546a5536f762ff7948c771896723a48309c89b,97546a5536f762ff7948c771896723a48309c89b,"Add fullscreen with support to remote presentation controller (#712)

- F5 to enter/exit
- Escape to exit"
giflw,2019-02-06 11:25:11,https://api.github.com/repos/impress/impress.js/git/commits/6db3f7c87727edd66293d5d42624ecff68e174c5,6db3f7c87727edd66293d5d42624ecff68e174c5,"Add support for ""."" to enter/exit blackout screen (#716)

* Add support for ""."" to enter/exit blackout screen

- This is the default on Power Point
- THis add support for remote controller presentation blackout key

* Rename autoplay event call from resume to play"
giflw,2019-02-06 11:21:51,https://api.github.com/repos/impress/impress.js/git/commits/6776a0dab76b2c7a1a6dde67ec2135f1dd78f7ff,6776a0dab76b2c7a1a6dde67ec2135f1dd78f7ff,"Add pause and play events to autoplay (#713)

This is useful to request pause/resume from other plugins"
henrikingo,2019-01-02 11:35:27,https://api.github.com/repos/impress/impress.js/git/commits/24e28cc43f56a33e9bb331703c4f1f48bd078428,24e28cc43f56a33e9bb331703c4f1f48bd078428,Fix example in plugin README
henrikingo,2019-01-01 19:40:46,https://api.github.com/repos/impress/impress.js/git/commits/4d3adb09cd99ce43f93703dee358f29637dddd74,4d3adb09cd99ce43f93703dee358f29637dddd74,"Fix form plugin for input fields.

It turns out input[type=text] will only find input fields where
the type attribute is explicitly set to text, but would skip
fields that left it out and defaulted to type text. This changes
to catch all types of input elements."
henrikingo,2018-12-17 19:35:15,https://api.github.com/repos/impress/impress.js/git/commits/f6f4a36766454a46aca2853804e8d11c2baf3e1c,f6f4a36766454a46aca2853804e8d11c2baf3e1c,"Add test/HOWTO.md (#696)

Note: I will now expect new PRs to add tests for the functionality they
add or change. (Including my own, mostly...)

Fixes #657"
zilioti,2018-10-22 15:18:53,https://api.github.com/repos/impress/impress.js/git/commits/65870699f43fc90c8250f9fc9a5372e5e635a018,65870699f43fc90c8250f9fc9a5372e5e635a018,Add keyup event for shift space previous slide (#706)
zilioti,2018-10-22 15:16:53,https://api.github.com/repos/impress/impress.js/git/commits/dd74d3da0afd68cb9392b2ed830896a153db0100,dd74d3da0afd68cb9392b2ed830896a153db0100,Add keyup for 191 keyCode (#705)
henrikingo,2018-05-08 17:09:58,https://api.github.com/repos/impress/impress.js/git/commits/4b326d416473d0fedb9fd37d401559d3041a6619,4b326d416473d0fedb9fd37d401559d3041a6619,"Remove edits to example presentation, used to test previous commit"
henrikingo,2018-05-08 17:01:11,https://api.github.com/repos/impress/impress.js/git/commits/194ae3bb62e8e621771c68d025d3ab7889aa712a,194ae3bb62e8e621771c68d025d3ab7889aa712a,"Fixes to data-rel-to

Fixes 80ffff0e8f603a82d9abb6eb51647732c2c8563e"
henrikingo,2018-05-08 16:18:07,https://api.github.com/repos/impress/impress.js/git/commits/67079504b53c267068d3f6fdd9fb0f50ce3b11f5,67079504b53c267068d3f6fdd9fb0f50ce3b11f5,Run node build.js to update js/impress.js from previous commit
complanar,2018-05-01 18:57:40,https://api.github.com/repos/impress/impress.js/git/commits/80ffff0e8f603a82d9abb6eb51647732c2c8563e,80ffff0e8f603a82d9abb6eb51647732c2c8563e,rel: Add relative positioning relative to any previous step. (#686)
complanar,2018-03-17 14:33:34,https://api.github.com/repos/impress/impress.js/git/commits/c09ce88749f4b6467a701a629b97663b29f628f1,c09ce88749f4b6467a701a629b97663b29f628f1,"New plugin: media (#676)

The media plugin can autoplay and autopause/autostop <audio> and <video> elements when entering and leaving a step.

Support for impressConsole: don't autoplay in preview window and play but mute clips in current window."
henrikingo,2018-03-15 06:57:45,https://api.github.com/repos/impress/impress.js/git/commits/09b5d46c853852828354bf541da4b737d80ab014,09b5d46c853852828354bf541da4b737d80ab014,"Update npmignore to publish v1.0.0 on NPM

Fixes #679"
henrikingo,2018-03-09 08:23:25,https://api.github.com/repos/impress/impress.js/git/commits/e8394d0899a887a1f02f34ea4dee3dcbea4f648f,e8394d0899a887a1f02f34ea4dee3dcbea4f648f,"Remove beta label from version strings.

Also update Copyright / Author info in core module."
