itsabot,"ItsAbot makes it easy and fun to build your own digital assistant, and we include everything you need to get started."
username,timestamp,url,sha,message
egtann,2016-11-04 18:27:26,https://api.github.com/repos/itsabot/itsabot/git/commits/48a5b1e70afca321d0c522922746b667c29a6070,48a5b1e70afca321d0c522922746b667c29a6070,Update README.md
satyasrikantmantha,2016-09-10 21:46:13,https://api.github.com/repos/itsabot/itsabot/git/commits/f5ff86becac41975e69238c29c501f510fdce396,f5ff86becac41975e69238c29c501f510fdce396,Update plugin url to fix the 404 Not Found error (#173)
egtann,2016-07-21 17:25:05,https://api.github.com/repos/itsabot/itsabot/git/commits/09060748ae8c751c2ec240e3a8da573db53b0269,09060748ae8c751c2ec240e3a8da573db53b0269,"Update README.md

Add cd instruction, and remove cmd/dbsetup.sh command."
egtann,2016-07-21 17:21:08,https://api.github.com/repos/itsabot/itsabot/git/commits/ca4d9190e59a7c684c875b40148ba91d8e4c4383,ca4d9190e59a7c684c875b40148ba91d8e4c4383,Redesign Abot's CLI (#162)
egtann,2016-07-15 19:10:18,https://api.github.com/repos/itsabot/itsabot/git/commits/d149632fd3083e352bb6aae284f41801d93141aa,d149632fd3083e352bb6aae284f41801d93141aa,Move plugin event after goto (#161)
egtann,2016-07-15 18:25:50,https://api.github.com/repos/itsabot/itsabot/git/commits/ccd659b8cccbdcd7b8e1c601d8c85fa3f7c60879,ccd659b8cccbdcd7b8e1c601d8c85fa3f7c60879,"Add email extraction, greeting detection (#160)"
egtann,2016-07-15 15:57:54,https://api.github.com/repos/itsabot/itsabot/git/commits/c821efee1e6a2777015b84e47d70957ea6afee38,c821efee1e6a2777015b84e47d70957ea6afee38,Add debug log when connecting to database (#158)
egtann,2016-07-14 18:58:41,https://api.github.com/repos/itsabot/itsabot/git/commits/2ee2b93b70aafe90678a803b80c224aebbbafc32,2ee2b93b70aafe90678a803b80c224aebbbafc32,"Add support for private repos (#157)

Enable `abot plugin install` to fetch private repos via git."
egtann,2016-07-13 22:52:13,https://api.github.com/repos/itsabot/itsabot/git/commits/e232a3e32b8f06af8d9ac7b74605cdaf8b1dcf77,e232a3e32b8f06af8d9ac7b74605cdaf8b1dcf77,Fix needstraining bug (#155)
egtann,2016-07-13 17:31:21,https://api.github.com/repos/itsabot/itsabot/git/commits/9f6beab60e018b9db11198c19954237f565a4083,9f6beab60e018b9db11198c19954237f565a4083,Fix reply with confusion bug (#154)
egtann,2016-07-13 17:26:52,https://api.github.com/repos/itsabot/itsabot/git/commits/efe68d3089081193e91e679fc3908dfb0dfcf16e,efe68d3089081193e91e679fc3908dfb0dfcf16e,Fix memory.String() bug (#153)
egtann,2016-07-08 19:45:56,https://api.github.com/repos/itsabot/itsabot/git/commits/fcf871039030fa32325e6aa7955e12dd4e5c768d,fcf871039030fa32325e6aa7955e12dd4e5c768d,Load env vars for all CLI actions (#152)
egtann,2016-07-01 13:27:03,https://api.github.com/repos/itsabot/itsabot/git/commits/700d2772f745bc9d7be739a4d84ce540945e5345,700d2772f745bc9d7be739a4d84ce540945e5345,Fix timeparse test
egtann,2016-06-25 17:50:41,https://api.github.com/repos/itsabot/itsabot/git/commits/3a1ce6b4c4096607c781fe0f00eec2c78a1d2264,3a1ce6b4c4096607c781fe0f00eec2c78a1d2264,"Add live updates when publishing plugins (#150)

Use websockets to communicate with itsabot.org, updating the user with
progress in publishing plugins and notifying the user of any problems
encountered that would prevent the plugin from being published."
egtann,2016-06-17 16:03:16,https://api.github.com/repos/itsabot/itsabot/git/commits/0556297004965d4e162efb59022d5dd6648f5b8b,0556297004965d4e162efb59022d5dd6648f5b8b,Remove unused images
egtann,2016-06-16 01:49:05,https://api.github.com/repos/itsabot/itsabot/git/commits/99a2d46457293f931c9f6ad8e3ebf3dfe945d02c,99a2d46457293f931c9f6ad8e3ebf3dfe945d02c,Handle corner case for plugin settings (#148)
egtann,2016-06-16 01:48:37,https://api.github.com/repos/itsabot/itsabot/git/commits/5b6d4b98584d7e52eb79c5ab94c29a25f9c79b25,5b6d4b98584d7e52eb79c5ab94c29a25f9c79b25,Remove public images (#147)
egtann,2016-06-16 00:46:14,https://api.github.com/repos/itsabot/itsabot/git/commits/50b7c511989455d4cdf62e128a21b0b565360914,50b7c511989455d4cdf62e128a21b0b565360914,"Remove Procfile, update dependencies (#146)

* Remove Procfile. Be sure to recreate it if you're deploying to Heroku.
* Remove, update dependencies"
egtann,2016-06-15 23:41:53,https://api.github.com/repos/itsabot/itsabot/git/commits/3245793d58ecc074fcd4349d363e5d4935b31e7e,3245793d58ecc074fcd4349d363e5d4935b31e7e,Merge branch 'feature-settings' into master
egtann,2016-06-15 23:28:37,https://api.github.com/repos/itsabot/itsabot/git/commits/2db08b6d84f4838384b257d95ff24b882f70e0bf,2db08b6d84f4838384b257d95ff24b882f70e0bf,Add usage examples and help to plugins (#145)
egtann,2016-06-15 20:09:03,https://api.github.com/repos/itsabot/itsabot/git/commits/610bacd54c3d37538b59c8b0a476936732ab937b,610bacd54c3d37538b59c8b0a476936732ab937b,"Add settings API

To make plugin installation easier, environment variables that plugins depend
upon have been moved to a specific Settings API. Instead of using os.Getenv,
plugins must now use p.GetSetting(). Those settings must also be declared in
your plugin.json per the updated spec:
https://github.com/itsabot/abot/wiki/plugin.json-Spec"
egtann,2016-06-11 17:21:46,https://api.github.com/repos/itsabot/itsabot/git/commits/026012f7cb7ee653b2de9ff63763cac9ac90d62b,026012f7cb7ee653b2de9ff63763cac9ac90d62b,"Remove unused plugins.json keys, update README (#140)"
egtann,2016-06-10 20:16:48,https://api.github.com/repos/itsabot/itsabot/git/commits/f80ff6c57add75e06fe17fe960508690a1a98b95,f80ff6c57add75e06fe17fe960508690a1a98b95,Update README.md
egtann,2016-06-10 18:50:04,https://api.github.com/repos/itsabot/itsabot/git/commits/bf7b668626795fcf3c1aaaf1e6a6ca9b8c0fd126,bf7b668626795fcf3c1aaaf1e6a6ca9b8c0fd126,"Save and add context to sentences (#139)

Replace pronouns with the appropriate nouns to which they refer."
egtann,2016-06-10 18:19:50,https://api.github.com/repos/itsabot/itsabot/git/commits/be7b250da40865ec3ce4a08ac48d5110cabb4f8f,be7b250da40865ec3ce4a08ac48d5110cabb4f8f,Fix env loading bug (#138)
egtann,2016-06-10 02:03:42,https://api.github.com/repos/itsabot/itsabot/git/commits/076067711eef033db30f57f365c0ac9a7d0c7391,076067711eef033db30f57f365c0ac9a7d0c7391,"Add people, times to structured input (#137)"
egtann,2016-06-09 22:56:28,https://api.github.com/repos/itsabot/itsabot/git/commits/966d741d179a898b796edef2d94025b11407b398,966d741d179a898b796edef2d94025b11407b398,"Clean up log statements, handling of errors"
awwalker,2016-06-09 22:45:05,https://api.github.com/repos/itsabot/itsabot/git/commits/4b53d3a44a73deb70e8ad6317991f6c807b2a62a,4b53d3a44a73deb70e8ad6317991f6c807b2a62a,"Add better rollbacks when plugin install fails (#102)

ErrMessage: fix spelling error
ErrMessage: fix more spelling errors
Exit installing goroutines on errors and don't block processing of errors from channel"
egtann,2016-06-09 21:27:31,https://api.github.com/repos/itsabot/itsabot/git/commits/f39e8a8fbc09cd5cce69d6254b6089f0b24cf73f,f39e8a8fbc09cd5cce69d6254b6089f0b24cf73f,Fix scaffold test file (#136)
egtann,2016-06-09 21:21:54,https://api.github.com/repos/itsabot/itsabot/git/commits/71017e7d8d653e140e4f8a41d4ae4f60dd43bbcf,71017e7d8d653e140e4f8a41d4ae4f60dd43bbcf,Fix inconsistent creation of plugins.go (#135)
