minicron,👨🏻‍💻 Monitor your cron jobs
username,timestamp,url,sha,message
jamesrwhite,2019-09-13 10:34:25,https://api.github.com/repos/jamesrwhite/minicron/git/commits/96881abcfe02f5b7efdecae4b10d6b70e04aafd3,96881abcfe02f5b7efdecae4b10d6b70e04aafd3,Update README.md
jamesrwhite,2019-08-27 15:18:35,https://api.github.com/repos/jamesrwhite/minicron/git/commits/9ae2f48329729bd9da987ec0a2edbb92b164dcef,9ae2f48329729bd9da987ec0a2edbb92b164dcef,Merge branch 'chocolateboy-patch-1'
chocolateboy,2019-08-27 15:06:35,https://api.github.com/repos/jamesrwhite/minicron/git/commits/13166c1ef5ac70711c66ecdde8f3baf6db89e8f3,13166c1ef5ac70711c66ecdde8f3baf6db89e8f3,"Fix doc typos

Closes #307"
jamesrwhite,2019-08-27 15:11:04,https://api.github.com/repos/jamesrwhite/minicron/git/commits/73fbae5b4894c3cbd452a14df319f1cfa94090fe,73fbae5b4894c3cbd452a14df319f1cfa94090fe,"Merge pull request #307 from Jason-Cooke/patch-1

docs: fix typo"
Jason-Cooke,2019-07-10 21:32:48,https://api.github.com/repos/jamesrwhite/minicron/git/commits/f37e84eb50372e6ded7cb789c126b912b7ad499a,f37e84eb50372e6ded7cb789c126b912b7ad499a,docs: fix typo
jamesrwhite,2018-05-26 19:38:55,https://api.github.com/repos/jamesrwhite/minicron/git/commits/6b0a1330522a8aaabeb390d3530cab2fde5028b3,6b0a1330522a8aaabeb390d3530cab2fde5028b3,Fixing alignment
jamesrwhite,2018-05-26 18:06:36,https://api.github.com/repos/jamesrwhite/minicron/git/commits/7d909254d75df1d9585c3b9afce326854fd33c3a,7d909254d75df1d9585c3b9afce326854fd33c3a,Allocate tty so output isn't buffered
jamesrwhite,2018-05-26 18:05:03,https://api.github.com/repos/jamesrwhite/minicron/git/commits/ff13822a7269aeac18837cef2a3f2fa141c49ce9,ff13822a7269aeac18837cef2a3f2fa141c49ce9,Optimisations for jobs with large numbers of executions #292 #238
jamesrwhite,2018-05-26 16:38:27,https://api.github.com/repos/jamesrwhite/minicron/git/commits/3bf4ab0dd469c1de77248259f8eade4f36a6fcdf,3bf4ab0dd469c1de77248259f8eade4f36a6fcdf,Use minicron-server bin as server entrypoint
jamesrwhite,2018-05-26 16:38:01,https://api.github.com/repos/jamesrwhite/minicron/git/commits/ce5aa42720e29e276c13a53870307a9d0555e982,ce5aa42720e29e276c13a53870307a9d0555e982,Ignore make/docker files from docker context
jamesrwhite,2018-05-26 16:37:29,https://api.github.com/repos/jamesrwhite/minicron/git/commits/fac73529e3791e3fcbb2dfdc0f6280f76ac60a61,fac73529e3791e3fcbb2dfdc0f6280f76ac60a61,Remove entrypoint from client Dockerfile
jamesrwhite,2018-05-26 16:37:14,https://api.github.com/repos/jamesrwhite/minicron/git/commits/407a5baf1cc0468a9013a0596b30dc9583c0af2b,407a5baf1cc0468a9013a0596b30dc9583c0af2b,Add command to shell into server container
jamesrwhite,2018-05-26 16:28:19,https://api.github.com/repos/jamesrwhite/minicron/git/commits/12b7b332484cca3e318a6ec95694995d38b7fa18,12b7b332484cca3e318a6ec95694995d38b7fa18,Set help as default command
jamesrwhite,2018-05-26 16:28:08,https://api.github.com/repos/jamesrwhite/minicron/git/commits/c81a779c37cbea4fb4b7d3fd9ada1f2c7efe1b7f,c81a779c37cbea4fb4b7d3fd9ada1f2c7efe1b7f,Add missing destroy dependencies
jamesrwhite,2018-05-26 13:23:17,https://api.github.com/repos/jamesrwhite/minicron/git/commits/6aabb8436d696f0f6d07a46f719afce98708f53b,6aabb8436d696f0f6d07a46f719afce98708f53b,Remove default command
jamesrwhite,2018-05-26 12:46:49,https://api.github.com/repos/jamesrwhite/minicron/git/commits/b4bce5757fff660355f929ee1d99b5c3f04979ae,b4bce5757fff660355f929ee1d99b5c3f04979ae,Add client Makefile
jamesrwhite,2018-05-26 12:42:02,https://api.github.com/repos/jamesrwhite/minicron/git/commits/b207d41d2943f371ef7330bb832aaaf40aec6413,b207d41d2943f371ef7330bb832aaaf40aec6413,Add docker file for client and docker-compose for local dev
jamesrwhite,2018-02-21 16:30:09,https://api.github.com/repos/jamesrwhite/minicron/git/commits/c459af7bb394a97f77676b9ad169d8accc6ae512,c459af7bb394a97f77676b9ad169d8accc6ae512,"Merge pull request #301 from Borisbudini/master

Fixed 2 broken links"
jamesrwhite,2017-11-27 00:04:31,https://api.github.com/repos/jamesrwhite/minicron/git/commits/4cc8b3b435457b9c28937b7f485e49c24a929a16,4cc8b3b435457b9c28937b7f485e49c24a929a16,Start server before monitor for faster startup
jamesrwhite,2017-11-26 23:41:31,https://api.github.com/repos/jamesrwhite/minicron/git/commits/04894ffd0bf5c2cd8520146a39018191d38e90d8,04894ffd0bf5c2cd8520146a39018191d38e90d8,Close output channel on error
jamesrwhite,2017-11-26 23:41:20,https://api.github.com/repos/jamesrwhite/minicron/git/commits/059e66aaf84c6388e73e48cf669d2cfe1eb0dc9b,059e66aaf84c6388e73e48cf669d2cfe1eb0dc9b,Set seq to timestamp for now
jamesrwhite,2017-11-26 23:40:50,https://api.github.com/repos/jamesrwhite/minicron/git/commits/f4e3eabfd5ad4d93536ff4313ea799c0758ea065,f4e3eabfd5ad4d93536ff4313ea799c0758ea065,Don't fatal on command error
jamesrwhite,2017-11-26 23:35:20,https://api.github.com/repos/jamesrwhite/minicron/git/commits/dc3ae475b19c3c708f16cb44b71d8bde6d1df0e3,dc3ae475b19c3c708f16cb44b71d8bde6d1df0e3,Add message when no output
jamesrwhite,2017-11-26 23:35:11,https://api.github.com/repos/jamesrwhite/minicron/git/commits/1b3bdba4b9bb1128038b9d2226bb2de6da2110ea,1b3bdba4b9bb1128038b9d2226bb2de6da2110ea,Alter program name
jamesrwhite,2017-11-26 23:19:46,https://api.github.com/repos/jamesrwhite/minicron/git/commits/ea153988130133266422516c8ab9c6d6ac7154af,ea153988130133266422516c8ab9c6d6ac7154af,Only show output if it exists
jamesrwhite,2017-11-26 23:07:46,https://api.github.com/repos/jamesrwhite/minicron/git/commits/c832bcac5367c093da4334d36f3bc6ccc19cdd53,c832bcac5367c093da4334d36f3bc6ccc19cdd53,Altered execution api response format
jamesrwhite,2017-11-26 23:06:19,https://api.github.com/repos/jamesrwhite/minicron/git/commits/d336ae4c503cbe12e21e135792a20e987009da8c,d336ae4c503cbe12e21e135792a20e987009da8c,"Improvements to client

- Better handling of api responses and errors
- Surface command exit code"
jamesrwhite,2017-11-26 20:39:20,https://api.github.com/repos/jamesrwhite/minicron/git/commits/a450b32818eba69be24292aafa3156cc686f318e,a450b32818eba69be24292aafa3156cc686f318e,Don't allow 0 values for id's/seq's
jamesrwhite,2017-11-26 18:09:44,https://api.github.com/repos/jamesrwhite/minicron/git/commits/a1b4527a4b7095fe042cb00e3dc0efecb0a23de8,a1b4527a4b7095fe042cb00e3dc0efecb0a23de8,Disable asset compression for now
jamesrwhite,2017-11-26 18:07:52,https://api.github.com/repos/jamesrwhite/minicron/git/commits/70318cf0f796caafd4c0e33796e1e0814ffdf913,70318cf0f796caafd4c0e33796e1e0814ffdf913,Move default server config location
jamesrwhite,2017-11-26 18:02:35,https://api.github.com/repos/jamesrwhite/minicron/git/commits/943935faa7dda47f56b95aaafd73370341b5ead0,943935faa7dda47f56b95aaafd73370341b5ead0,Update server Makefile
