inherited_resources,
username,timestamp,url,sha,message
deivid-rodriguez,2019-08-21 09:58:05,https://api.github.com/repos/activeadmin/inherited_resources/git/commits/47acbb1b0859b68639b85ebe95f99e67c34e8e1d,47acbb1b0859b68639b85ebe95f99e67c34e8e1d,"Let Dependabot always handle security updates (#531)

Dependabot doesn't currently create PRs for security updates if they are
indirect production (runtime) dependencies (not direct dependencies of
the gem, but dependencies of a runtime dependency). Like nokogiri here.

Since Github still creates security alerts for those, I'd like
dependabot to handle these automatically too.

My guess is that dependabot classifies dependency types like this:

    ▾ all
    ├── ▾ direct
    │   ├── production
    │   └── development
    └── indirect

And not like this as I thought:

    ▾ all
    ├── ▾ production
    │   ├── direct
    │   └── indirect
    └── ▾ development
        ├── direct
        └── indirect

So specifying `type: production` won't suffice for this type of
dependencies. Let's try with `type: all`."
deivid-rodriguez,2019-08-20 19:12:14,https://api.github.com/repos/activeadmin/inherited_resources/git/commits/f93703e26007359a2d3303ab8ee6c04a5c0f0e15,f93703e26007359a2d3303ab8ee6c04a5c0f0e15,Use dependabot for runtime security updates (#530)
deivid-rodriguez,2019-08-19 15:16:53,https://api.github.com/repos/activeadmin/inherited_resources/git/commits/7f78a38747372e82d2db2233af9c342a0a9545e7,7f78a38747372e82d2db2233af9c342a0a9545e7,Switch main Gemfile to Rails 6 (#529)
deivid-rodriguez,2019-08-18 21:21:24,https://api.github.com/repos/activeadmin/inherited_resources/git/commits/7f9f5319c32c384fe15a3317af9ece0e21decfd2,7f9f5319c32c384fe15a3317af9ece0e21decfd2,"bin/rake bundle[update,rails]"
dependabot-preview[bot],2019-08-12 13:08:07,https://api.github.com/repos/activeadmin/inherited_resources/git/commits/29ed7764364c420f9f30d04b432a1f8e63713e79,29ed7764364c420f9f30d04b432a1f8e63713e79,"[Security] Bump nokogiri from 1.10.3 to 1.10.4 in /test/rails_60

Bumps [nokogiri](https://github.com/sparklemotion/nokogiri) from 1.10.3 to 1.10.4. **This update includes a security fix.**
- [Release notes](https://github.com/sparklemotion/nokogiri/releases)
- [Changelog](https://github.com/sparklemotion/nokogiri/blob/master/CHANGELOG.md)
- [Commits](https://github.com/sparklemotion/nokogiri/compare/v1.10.3...v1.10.4)

Signed-off-by: dependabot-preview[bot] <support@dependabot.com>"
dependabot-preview[bot],2019-08-12 09:40:51,https://api.github.com/repos/activeadmin/inherited_resources/git/commits/012be04257e8b387b7e81e13a8d44c49e110bff6,012be04257e8b387b7e81e13a8d44c49e110bff6,"[Security] Bump nokogiri from 1.10.3 to 1.10.4 in /test/rails_51

Bumps [nokogiri](https://github.com/sparklemotion/nokogiri) from 1.10.3 to 1.10.4. **This update includes a security fix.**
- [Release notes](https://github.com/sparklemotion/nokogiri/releases)
- [Changelog](https://github.com/sparklemotion/nokogiri/blob/master/CHANGELOG.md)
- [Commits](https://github.com/sparklemotion/nokogiri/compare/v1.10.3...v1.10.4)

Signed-off-by: dependabot-preview[bot] <support@dependabot.com>"
dependabot-preview[bot],2019-08-12 09:39:12,https://api.github.com/repos/activeadmin/inherited_resources/git/commits/579c39f80bfe0b464c18a199b79030fd8f015b1b,579c39f80bfe0b464c18a199b79030fd8f015b1b,"[Security] Bump nokogiri from 1.10.3 to 1.10.4 in /test/rails_50 (#524)

Bumps [nokogiri](https://github.com/sparklemotion/nokogiri) from 1.10.3 to 1.10.4. **This update includes a security fix.**
- [Release notes](https://github.com/sparklemotion/nokogiri/releases)
- [Changelog](https://github.com/sparklemotion/nokogiri/blob/master/CHANGELOG.md)
- [Commits](https://github.com/sparklemotion/nokogiri/compare/v1.10.3...v1.10.4)

Signed-off-by: dependabot-preview[bot] <support@dependabot.com>"
dependabot-preview[bot],2019-08-12 09:18:04,https://api.github.com/repos/activeadmin/inherited_resources/git/commits/c17fb06afdad0cbe043a80b1bfbdc50f393f93f1,c17fb06afdad0cbe043a80b1bfbdc50f393f93f1,"[Security] Bump nokogiri from 1.10.3 to 1.10.4 (#526)

Bumps [nokogiri](https://github.com/sparklemotion/nokogiri) from 1.10.3 to 1.10.4. **This update includes a security fix.**
- [Release notes](https://github.com/sparklemotion/nokogiri/releases)
- [Changelog](https://github.com/sparklemotion/nokogiri/blob/master/CHANGELOG.md)
- [Commits](https://github.com/sparklemotion/nokogiri/compare/v1.10.3...v1.10.4)

Signed-off-by: dependabot-preview[bot] <support@dependabot.com>"
javierjulio,2019-08-05 16:56:49,https://api.github.com/repos/activeadmin/inherited_resources/git/commits/4cf737a9c4dd47d5f6cc5aeacfe45edcf3a65277,4cf737a9c4dd47d5f6cc5aeacfe45edcf3a65277,"Merge pull request #523 from activeadmin/get_ready_for_1_11_0_release

Get ready for 1.11.0 release"
deivid-rodriguez,2019-08-05 16:02:40,https://api.github.com/repos/activeadmin/inherited_resources/git/commits/a15cd52bae2f8ec7d1874db0faa05d902d1bd569,a15cd52bae2f8ec7d1874db0faa05d902d1bd569,Cut responders 1.11.0
deivid-rodriguez,2019-08-05 16:01:36,https://api.github.com/repos/activeadmin/inherited_resources/git/commits/affb1f514bba8a4e7cb57e429202bfdc1e7073b5,affb1f514bba8a4e7cb57e429202bfdc1e7073b5,Add missing changelog entry
