OBS,Open Broadcaster Software (Deprecated: See OBS Studio repository instead)
username,timestamp,url,sha,message
jp9000,2016-08-30 02:00:56,https://api.github.com/repos/jp9000/OBS/git/commits/88eee7aafcb2d3ff1d401a87953fe7c1131ce41a,88eee7aafcb2d3ff1d401a87953fe7c1131ce41a,Update to version 0.659b
jp9000,2016-08-30 01:57:11,https://api.github.com/repos/jp9000/OBS/git/commits/7aebf071422998888add1911d21c00354fc19f1e,7aebf071422998888add1911d21c00354fc19f1e,"GraphicsCapture: Add D3D9 offset workaround

This adds a technique so we don't have to update the program every time
microsoft changes the D3D9 dlls (finally)."
jp9000,2016-08-30 01:55:32,https://api.github.com/repos/jp9000/OBS/git/commits/abdfe23252a47d0370327977f6f5bb98ce08534d,abdfe23252a47d0370327977f6f5bb98ce08534d,GraphicsCapture: Add new win 10 D3D9 patch
jp9000,2016-08-29 19:45:08,https://api.github.com/repos/jp9000/OBS/git/commits/98bf425474ce717b429a1ad1de3ef04b4a0945d8,98bf425474ce717b429a1ad1de3ef04b4a0945d8,"Revert ""Merge pull request #459 from BtbN/nvenc_delay_perf""

This reverts commit e4e06afc0a7f1a093dde6318be5fb84ef514e64e, reversing
changes made to 388701bd26191e7ddb01b595d8b02c38ce187599."
jp9000,2016-07-18 11:19:54,https://api.github.com/repos/jp9000/OBS/git/commits/116b214be7403fd3c8df69608539f72ffa602b16,116b214be7403fd3c8df69608539f72ffa602b16,Update version to 0.658
jp9000,2016-07-18 06:54:10,https://api.github.com/repos/jp9000/OBS/git/commits/4f43d2f201379351a400632bdc36c25605fd44a4,4f43d2f201379351a400632bdc36c25605fd44a4,"GraphicsCapture: Fix crash when D3D9 device changes

The D3D9 device can terminate and reinitialize during games, so don't
just blindly store a pointer to a device that may no longer exist."
jp9000,2016-07-17 06:40:48,https://api.github.com/repos/jp9000/OBS/git/commits/0a80ca1b12da602bd761873fbd008ce32ac71807,0a80ca1b12da602bd761873fbd008ce32ac71807,Update graphics hook D3D9 patches
notr1ch,2016-03-28 21:50:40,https://api.github.com/repos/jp9000/OBS/git/commits/91baa50b1f11de504369518ae00fc9a6ce81b8db,91baa50b1f11de504369518ae00fc9a6ce81b8db,Update Twitch ingests
notr1ch,2016-03-28 21:44:25,https://api.github.com/repos/jp9000/OBS/git/commits/e9b7fb488f5d7d93ad69bb5d3ad1033e9eef08f2,e9b7fb488f5d7d93ad69bb5d3ad1033e9eef08f2,"Add version info section to the installer

Allows OBS to show a friendly descriptive name in the UAC elevation prompt instead of ""OBS_0_657b_Installer.exe""."
notr1ch,2016-03-28 21:31:57,https://api.github.com/repos/jp9000/OBS/git/commits/035cc6e53369192790049032b65fb64e3fde20ed,035cc6e53369192790049032b65fb64e3fde20ed,Replace OBS MP references to OBS Studio
notr1ch,2016-03-28 21:27:30,https://api.github.com/repos/jp9000/OBS/git/commits/e4e06afc0a7f1a093dde6318be5fb84ef514e64e,e4e06afc0a7f1a093dde6318be5fb84ef514e64e,"Merge pull request #459 from BtbN/nvenc_delay_perf

Delay NVENC Frame output to enhance performance"
notr1ch,2016-03-28 20:58:48,https://api.github.com/repos/jp9000/OBS/git/commits/388701bd26191e7ddb01b595d8b02c38ce187599,388701bd26191e7ddb01b595d8b02c38ce187599,Fix some issues where output filename could fall back to MP4
Gol-D-Ace,2016-01-15 07:16:09,https://api.github.com/repos/jp9000/OBS/git/commits/35338c4f2eb34b9669c96f5615d65ed6fa9ce7f8,35338c4f2eb34b9669c96f5615d65ed6fa9ce7f8,Update Twitch ingests
notr1ch,2015-12-28 19:05:24,https://api.github.com/repos/jp9000/OBS/git/commits/63c55478de9256f064a9350edddd3957d9cd745e,63c55478de9256f064a9350edddd3957d9cd745e,"Move plugin loading outside of the OBS constructor

Fixes a race condition crash when plugins tried to use API functions which weren't ready since the constructor hadn't returned a valid OBS *App for the API."
BtbN,2015-12-08 19:34:09,https://api.github.com/repos/jp9000/OBS/git/commits/cdf89e6819e92b7bf1ca0be7585899222a3c7713,cdf89e6819e92b7bf1ca0be7585899222a3c7713,NVENC: Auto-Select 2pass mode for 720p60
BtbN,2015-12-08 11:36:56,https://api.github.com/repos/jp9000/OBS/git/commits/22d20427e2bdcab2d464cc2a9be61bc872a35e09,22d20427e2bdcab2d464cc2a9be61bc872a35e09,"NVENC: Delay frame output as long as possible

This gives the driver/GPU some time to streamline frame-copying and in turn brings a massive performance gain."
jp9000,2015-12-09 15:17:51,https://api.github.com/repos/jp9000/OBS/git/commits/2d9f782ecbc359beca8768a3645dbb9fc8d2bdcd,2d9f782ecbc359beca8768a3645dbb9fc8d2bdcd,"Merge pull request #458 from BtbN/nvenc_bump

NVENC Updates"
BtbN,2015-12-08 19:40:40,https://api.github.com/repos/jp9000/OBS/git/commits/a08e141509db2fd3e44241a0df7dde23d0798e08,a08e141509db2fd3e44241a0df7dde23d0798e08,"NVENC: Always use 2PASS_QUALITY rate control

It does a very decent job at holding a constant bitrate now and has a major
impact on the visual quality. Using the inferior rc mode when CBR padding
is enabled, which propably is the cast almost everywhere, seems like a bad
decision to me.
I wasn't able to spot a notable difference in the quality of the constantness
these two provide, so just removing the framesize capped one."
BtbN,2015-12-08 19:25:02,https://api.github.com/repos/jp9000/OBS/git/commits/49b78b927eb65534e7c0b544ae49ca9df826eee7,49b78b927eb65534e7c0b544ae49ca9df826eee7,NVENC: Log exact rcMode
BtbN,2015-12-08 14:11:25,https://api.github.com/repos/jp9000/OBS/git/commits/2823e17ba4881b6ca07a186d129b0971b0d59852,2823e17ba4881b6ca07a186d129b0971b0d59852,NVENC: change cuCtxCreate flag to avoid CPU spins
BtbN,2015-12-08 13:49:49,https://api.github.com/repos/jp9000/OBS/git/commits/e2289b68ce65f140e53a4e6589e75c54ff7a4cda,e2289b68ce65f140e53a4e6589e75c54ff7a4cda,"NVENC: Replace 2pass presets with a checkbox

NVENC now supports 2pass in basicaly every mode of operation,
which would result in way too many presets. So use a checkbox instead."
BtbN,2015-12-08 11:56:37,https://api.github.com/repos/jp9000/OBS/git/commits/622a845c825864bf69fb5a33972d2243b9c551b3,622a845c825864bf69fb5a33972d2243b9c551b3,NVENC: Use 2pass for non-cbr if possible
BtbN,2015-12-08 11:53:56,https://api.github.com/repos/jp9000/OBS/git/commits/0f55bc7a2fb3fc7600f60bbc448a1905ec58dbd2,0f55bc7a2fb3fc7600f60bbc448a1905ec58dbd2,NVENC: Use Quality-Optimized 2pass mode if possible
BtbN,2015-12-08 11:36:10,https://api.github.com/repos/jp9000/OBS/git/commits/e5ae04bd26c271eb967646bcd0091fdd9924caf4,e5ae04bd26c271eb967646bcd0091fdd9924caf4,NVENC: Remove obsolete Streaming-Preset
BtbN,2015-12-08 11:11:30,https://api.github.com/repos/jp9000/OBS/git/commits/4570181394195db70f91059e72ba49a670745bea,4570181394195db70f91059e72ba49a670745bea,NVENC: Allways use single-slice mode to enhance quality
BtbN,2015-12-08 11:07:18,https://api.github.com/repos/jp9000/OBS/git/commits/5402c3996924f3eb7b90199a1a7520183ec6e0d9,5402c3996924f3eb7b90199a1a7520183ec6e0d9,Update NVENC Encoder for SDK version 6
BtbN,2015-12-08 10:18:32,https://api.github.com/repos/jp9000/OBS/git/commits/88488dea32f27c4f024d9d5ba934349e96e29052,88488dea32f27c4f024d9d5ba934349e96e29052,Bump NVENC SDK header to version 6.0.1
jp9000,2015-12-04 01:19:16,https://api.github.com/repos/jp9000/OBS/git/commits/4d0aaac86060fda98c6187c0f27de3bd238a18ab,4d0aaac86060fda98c6187c0f27de3bd238a18ab,"Merge pull request #457 from DougTy/master

Just Cause 3 game capture fix"
DougTy,2015-12-03 05:54:12,https://api.github.com/repos/jp9000/OBS/git/commits/860af4d771070a5958d7118a7c72a44466990dcf,860af4d771070a5958d7118a7c72a44466990dcf,Fix for Just Cause 3 game capture
jp9000,2015-11-23 22:53:23,https://api.github.com/repos/jp9000/OBS/git/commits/d57cba7edb7a3c166021fbc68a217111add724e5,d57cba7edb7a3c166021fbc68a217111add724e5,DShowPlugin: Update version to 0.657
jp9000,2015-11-23 22:45:25,https://api.github.com/repos/jp9000/OBS/git/commits/65f5bd10cf70610fc17e6ad86bd0c5b3ade1cf60,65f5bd10cf70610fc17e6ad86bd0c5b3ade1cf60,"DShowPlugin: Only dynamically change size in Preprocess

newCX and newCY were being changed when a sample was received.  However,
the sample associated with that size change will not be processed until
it's used in Preprocess, so it could often change the texture size
before the sample was even used.  This could cause crashes under certain
circumstances.

A simple fix to this is to only change newCX/newCY when the sample is
actually used."
jp9000,2015-11-23 21:44:41,https://api.github.com/repos/jp9000/OBS/git/commits/d0c8f56b8ac1f08355adf2e682d6902730175343,d0c8f56b8ac1f08355adf2e682d6902730175343,Fix whitespace issue
jp9000,2015-11-23 21:43:36,https://api.github.com/repos/jp9000/OBS/git/commits/1e6b90e0af20c5755933fcbfdb9b69a3b5a92104,1e6b90e0af20c5755933fcbfdb9b69a3b5a92104,"DShowPlugin: Don't use bad resolution if not found

If the source is set to a bad resolution, it never set the rendering
width/height to the new expected width/height."
jp9000,2015-11-23 20:26:18,https://api.github.com/repos/jp9000/OBS/git/commits/dd680cbfb68c0e6280849d9f97befe2520cdcc91,dd680cbfb68c0e6280849d9f97befe2520cdcc91,Update resources/installers to 0.657
Gol-D-Ace,2015-11-16 19:36:57,https://api.github.com/repos/jp9000/OBS/git/commits/fc1f710b62f67501602e17b78f526f424d6612fa,fc1f710b62f67501602e17b78f526f424d6612fa,Update authors file with new translators
Gol-D-Ace,2015-11-16 19:31:29,https://api.github.com/repos/jp9000/OBS/git/commits/368c66188d13c0c3a2ee6d0799bc8caa975c396f,368c66188d13c0c3a2ee6d0799bc8caa975c396f,Add latest translations from Crowdin
jp9000,2015-11-15 21:07:33,https://api.github.com/repos/jp9000/OBS/git/commits/164ffd1105909f65386c695712c0b8e90321e417,164ffd1105909f65386c695712c0b8e90321e417,Update version to 0.657
jp9000,2015-11-15 20:59:54,https://api.github.com/repos/jp9000/OBS/git/commits/381e718ad66a60ed2b4ecca13a01cbe1a858bd7f,381e718ad66a60ed2b4ecca13a01cbe1a858bd7f,Add new game capture patches for latest win10 ver
notr1ch,2015-11-03 21:36:53,https://api.github.com/repos/jp9000/OBS/git/commits/e1b6b2d6e8aaf69f711e605036a9c8814f00f382,e1b6b2d6e8aaf69f711e605036a9c8814f00f382,Build: Actually use manifest in release builds
notr1ch,2015-11-03 21:36:42,https://api.github.com/repos/jp9000/OBS/git/commits/3df3967c6f7c4251fdcb8cdc823f1fecfa3c0270,3df3967c6f7c4251fdcb8cdc823f1fecfa3c0270,"Build: Mark manifest as DPI-aware

Even though OBS isn't DPI-aware, we need to pretend we are or Windows will enable DPI virtualization. This makes it so that when the user first runs OBS, we get an incorrect base resolution reported which causes ""My X source is cut off"" problems down the line.

DPI virtualization seems incompatible with BitBlt and likely some other drawing functions in the first place so best not to use it."
notr1ch,2015-11-03 21:33:45,https://api.github.com/repos/jp9000/OBS/git/commits/3351c6bb10f0ccf0e986d1d5e38be8b6c2b9032c,3351c6bb10f0ccf0e986d1d5e38be8b6c2b9032c,Installer: Fix removal of LICENSE file
notr1ch,2015-11-02 19:20:45,https://api.github.com/repos/jp9000/OBS/git/commits/39e3175aa8252fc59252f0fe7c0fcaf691d2647b,39e3175aa8252fc59252f0fe7c0fcaf691d2647b,"Create README.md

Try to discourage people from doing development on this version of OBS."
Gol-D-Ace,2015-10-17 13:51:08,https://api.github.com/repos/jp9000/OBS/git/commits/952e30a5d48e681642ffcc059d8bfea719684820,952e30a5d48e681642ffcc059d8bfea719684820,Update Twitch ingests
Gol-D-Ace,2015-10-14 05:59:00,https://api.github.com/repos/jp9000/OBS/git/commits/30c161547f0f667bf5e238f6485f9593d1c68808,30c161547f0f667bf5e238f6485f9593d1c68808,Update Vaughn Live / iNSTAGIB.tv ingests
palana,2015-10-13 13:58:10,https://api.github.com/repos/jp9000/OBS/git/commits/78fd33c76c29411c10237ff6c275e8d36eb8e195,78fd33c76c29411c10237ff6c275e8d36eb8e195,Add QSV Sandy Bridge + D3D11 profile
Gol-D-Ace,2015-10-13 12:13:25,https://api.github.com/repos/jp9000/OBS/git/commits/40bfeaa281eb447b398b71b67fd7df9a90a4a4e5,40bfeaa281eb447b398b71b67fd7df9a90a4a4e5,Update Twitch ingests
notr1ch,2015-10-12 22:03:05,https://api.github.com/repos/jp9000/OBS/git/commits/46966137dbb903e2461a176be67ef2bbd658149e,46966137dbb903e2461a176be67ef2bbd658149e,Small fixes from Coverity Scan
Glought,2015-07-03 03:39:21,https://api.github.com/repos/jp9000/OBS/git/commits/a7f89d339e5ddcbb294cdf4400bd7afd12db0ab0,a7f89d339e5ddcbb294cdf4400bd7afd12db0ab0,"Confirm exit if exiting while streaming/recording

If OBS is live/recording when the user presses the Exit, File/Exit, or
the [X] Button a message box will open asking if the user wants to exit
OBS while live/recording.

This is useful to protect against accidentally closing OBS while
streaming/recording.

CLoses jp9000/OBS#448"
jp9000,2015-10-09 06:42:00,https://api.github.com/repos/jp9000/OBS/git/commits/afae723a9be7c887f6ccf4c9484dc7d7a3547f94,afae723a9be7c887f6ccf4c9484dc7d7a3547f94,Fix whitespace violation
jp9000,2015-10-09 06:27:36,https://api.github.com/repos/jp9000/OBS/git/commits/5e1ff3879b6685f99a8920948ec6a930e79ea834,5e1ff3879b6685f99a8920948ec6a930e79ea834,"Merge pull request #449 from JIEgOKOJI/master

Update goodgame recommended encoding setting"
jp9000,2015-10-09 06:25:38,https://api.github.com/repos/jp9000/OBS/git/commits/c3946a974456825ce706ea9af21832df4c1001f7,c3946a974456825ce706ea9af21832df4c1001f7,"Merge pull request #454 from nmlgc/master

Include the terminating \0 character in string measurements of text sources"
notr1ch,2015-10-05 18:01:08,https://api.github.com/repos/jp9000/OBS/git/commits/909a216f2cc948ae000663e1e43ba1b739df0765,909a216f2cc948ae000663e1e43ba1b739df0765,"Installer: Remove 3rd party XINPUT download link

The 3rd party site has very shady ads / malware or is hacked."
nmlgc,2015-10-04 07:52:28,https://api.github.com/repos/jp9000/OBS/git/commits/d1adddb450e569d4abaf2ed2be8394877c1cb174,d1adddb450e569d4abaf2ed2be8394877c1cb174,"Include the terminating \0 character in string measurements of text sources

Apparently, \0 is not always a zero-width character?
Not including it as part of the string measurement may cut off the final word
on the line when using certain fonts together with outlines and wrapping.

Test case:
• Font: M+ 2p black (downloadable at https://mplus-fonts.osdn.jp/mplus-outline-fonts/download/index-en.html#download, ""M+ TESTFLIGHT 060"" release)
• ☑ Use Outline
• ☑ Use Custom Text Extents
• ☑ Wrap
• ☐ Scroll Mode (doesn't seem to be affected)
• Text: A, 20"
Gol-D-Ace,2015-10-02 23:03:23,https://api.github.com/repos/jp9000/OBS/git/commits/fb11ea4e5042d70a79c41b5c0436c787349dcb29,fb11ea4e5042d70a79c41b5c0436c787349dcb29,Remove Pirate English locale files
Gol-D-Ace,2015-10-02 22:56:31,https://api.github.com/repos/jp9000/OBS/git/commits/25dc07b323c2c3e0811472d5a05223569aab0949,25dc07b323c2c3e0811472d5a05223569aab0949,Update authors file with new translators
Gol-D-Ace,2015-10-02 22:52:10,https://api.github.com/repos/jp9000/OBS/git/commits/9a0e44a9bcf6d91602214b15a1de7628ca9d172c,9a0e44a9bcf6d91602214b15a1de7628ca9d172c,Add latest translations from Crowdin
jp9000,2015-10-02 22:15:19,https://api.github.com/repos/jp9000/OBS/git/commits/809d7aff67b2635b33798a1a26f6a2a8e2d9a3cf,809d7aff67b2635b33798a1a26f6a2a8e2d9a3cf,Update to version 0.656
notr1ch,2015-09-28 09:36:05,https://api.github.com/repos/jp9000/OBS/git/commits/635685a574e9feba2deff2140346f985789022b1,635685a574e9feba2deff2140346f985789022b1,"Installer: Update DirectX setup link

Microsoft replaced the download on their site with a Windows 10 installer tool for some bizarre reason."
notr1ch,2015-09-23 19:59:47,https://api.github.com/repos/jp9000/OBS/git/commits/4213a6499261658a4d300dc025b6485d536a600e,4213a6499261658a4d300dc025b6485d536a600e,"Merge pull request #445 from CommanderRoot/patch-1

Update YouTube recommended encoding setting"
notr1ch,2015-09-23 19:57:49,https://api.github.com/repos/jp9000/OBS/git/commits/ea4694aa3062f6bb2366ae3114f2cceaea88072c,ea4694aa3062f6bb2366ae3114f2cceaea88072c,"Merge pull request #451 from Radzaquiel/patch-5

rtmp-services: Update Hitbox servers list"
