coding-interview-university,A complete computer science study plan to become a software engineer.
username,timestamp,url,sha,message
jwasham,2019-08-21 16:00:48,https://api.github.com/repos/jwasham/coding-interview-university/git/commits/5e6044e9f92b1cf8cdb8461d5a148460b34ae1cc,5e6044e9f92b1cf8cdb8461d5a148460b34ae1cc,"Merge pull request #445 from MaxKam/fix-table-contents-link

Fix networking section in table of contents"
MaxKam,2019-08-21 02:47:44,https://api.github.com/repos/jwasham/coding-interview-university/git/commits/df95f82a1781cade0c143fc00c77015305061d4d,df95f82a1781cade0c143fc00c77015305061d4d,Fix link to networking section in table of contents
jwasham,2019-08-20 02:46:17,https://api.github.com/repos/jwasham/coding-interview-university/git/commits/e236bdbf66c7e3f933d61ab45b8d60b02cfaa3cd,e236bdbf66c7e3f933d61ab45b8d60b02cfaa3cd,"Merge pull request #444 from tzxdtc/master

fix the Chinese version link"
tzxdtc,2019-08-20 02:12:55,https://api.github.com/repos/jwasham/coding-interview-university/git/commits/f8611d96a9bcce081d0d2b8bc9151ae599975214,f8611d96a9bcce081d0d2b8bc9151ae599975214,"Update README-ar.md

fix the Chinese version link"
jwasham,2019-08-11 18:53:53,https://api.github.com/repos/jwasham/coding-interview-university/git/commits/6ba146f7f6e1cbfd256a4c5d22afef5b41d0b1a3,6ba146f7f6e1cbfd256a4c5d22afef5b41d0b1a3,"Merge pull request #442 from MaxKam/mit6004-broken-link

Fixed broken link for MIT's 6.004 Computation Structures"
MaxKam,2019-08-11 05:53:10,https://api.github.com/repos/jwasham/coding-interview-university/git/commits/878e5448d9740779d13162f6b6d13ae2f98c3b9f,878e5448d9740779d13162f6b6d13ae2f98c3b9f,"Fixed broken link for MIT""s 6.004 Computation Structures lecture
recordings. New link is for videos from the Fall 2018 course."
jwasham,2019-08-09 03:50:00,https://api.github.com/repos/jwasham/coding-interview-university/git/commits/f209ed4dd638d22e66a6a5f61e0aa394e78ed569,f209ed4dd638d22e66a6a5f61e0aa394e78ed569,"Merge pull request #440 from OhIAmFine/remove-future-google-sign-img

docs: remove future google sign img"
OhIAmFine,2019-08-08 05:19:49,https://api.github.com/repos/jwasham/coding-interview-university/git/commits/7ab4c2898ee8fe90cb735a71a8518535ada1003b,7ab4c2898ee8fe90cb735a71a8518535ada1003b,docs: remove text related useless google img
OhIAmFine,2019-08-08 02:33:04,https://api.github.com/repos/jwasham/coding-interview-university/git/commits/34e6b9889304b29862e4cda007537e015d6a7db6,34e6b9889304b29862e4cda007537e015d6a7db6,docs: still remove google img
OhIAmFine,2019-08-06 05:59:26,https://api.github.com/repos/jwasham/coding-interview-university/git/commits/0f4b744943ca425629c48341d347c3c802efcdc0,0f4b744943ca425629c48341d347c3c802efcdc0,docs: remove future google sign img
jwasham,2019-06-27 03:16:39,https://api.github.com/repos/jwasham/coding-interview-university/git/commits/b317be4845ec21cb7716815d97af91d13061be90,b317be4845ec21cb7716815d97af91d13061be90,"Merge pull request #430 from rafaelrds/master

Remove broken garbage collector youtube link from translations files."
