lektor,The lektor static file content management system
username,timestamp,url,sha,message
nixjdm,2019-09-12 23:52:30,https://api.github.com/repos/lektor/lektor/git/commits/196dd9653919c99390969709436660167b60e976,196dd9653919c99390969709436660167b60e976,[master] Fixing whitespace for pylint.
nixjdm,2019-09-12 23:22:19,https://api.github.com/repos/lektor/lektor/git/commits/46a18db5b5028a56930727ec706f54c6672ea2c2,46a18db5b5028a56930727ec706f54c6672ea2c2,"Merge pull request #620 from f-seven/master

Fix #588 - modified utils.py"
nixjdm,2019-09-12 23:21:33,https://api.github.com/repos/lektor/lektor/git/commits/f3b3e30f8842d0fbaee1e9abf28804c5d4c5f4d1,f3b3e30f8842d0fbaee1e9abf28804c5d4c5f4d1,[lektor-588] Moving import position to pass tests
nixjdm,2019-09-12 23:15:14,https://api.github.com/repos/lektor/lektor/git/commits/d663b076d8519902edf94e52c8744a893a360c15,d663b076d8519902edf94e52c8744a893a360c15,[lektor-588] Fixing spacing for pylint complaints.
nixjdm,2019-09-12 23:03:29,https://api.github.com/repos/lektor/lektor/git/commits/c71142b07ff9e0af4908d13ac5313cd7397d09b2,c71142b07ff9e0af4908d13ac5313cd7397d09b2,"Merge pull request #669 from tgpfeiffer/639-edit-button

insert code for edit button before </head> and </body> if possible"
nixjdm,2019-09-12 23:02:38,https://api.github.com/repos/lektor/lektor/git/commits/07c0e508785e24ccc278e32379404a078af8289f,07c0e508785e24ccc278e32379404a078af8289f,"Merge pull request #680 from xlotlu/imghdr-replacement

replace imghdr with filetype"
xlotlu,2019-08-04 10:42:00,https://api.github.com/repos/lektor/lektor/git/commits/d84ebf224feeee13329f20eb8a4aa5d0a60f7fce,d84ebf224feeee13329f20eb8a4aa5d0a60f7fce,make sure filetype detection works under py2
xlotlu,2019-08-02 23:29:25,https://api.github.com/repos/lektor/lektor/git/commits/858f9a73e003915fb39c0fae5bff770875e2adec,858f9a73e003915fb39c0fae5bff770875e2adec,slightly more elegant way of getting the image type
xlotlu,2019-08-02 22:30:16,https://api.github.com/repos/lektor/lektor/git/commits/9341916bfbad2bc47b572ba21b752f69e9ec87a4,9341916bfbad2bc47b572ba21b752f69e9ec87a4,"replace ""imghdr"" with ""filetype"". closes #653"
runfalk,2019-08-02 13:42:48,https://api.github.com/repos/lektor/lektor/git/commits/bd6dca51a3a77ed8acacf6ca9303e2913e50f78c,bd6dca51a3a77ed8acacf6ca9303e2913e50f78c,"Merge pull request #679 from davidferguson/fix-integer-widget-negatives

fix: make negative numbers valid in integer type widget"
davidferguson,2019-08-01 20:02:37,https://api.github.com/repos/lektor/lektor/git/commits/37a5dc0062eccf54747c76449e927edbfcc679b1,37a5dc0062eccf54747c76449e927edbfcc679b1,fix: make negative numbers valid in integer type widget
nixjdm,2019-07-30 14:51:53,https://api.github.com/repos/lektor/lektor/git/commits/74514957445dc3b8503570834a7f1d813e4263b7,74514957445dc3b8503570834a7f1d813e4263b7,"Merge pull request #673 from tgpfeiffer/672-fast-is-rotated

speed up EXIF parsing for imagetools.make_image_thumbnail"
runfalk,2019-07-30 12:50:36,https://api.github.com/repos/lektor/lektor/git/commits/e00a6f11056bcd6309ddd86507f3fe331c0c03ef,e00a6f11056bcd6309ddd86507f3fe331c0c03ef,"Merge pull request #674 from lepture/patch-1

Lock mistune version"
tgpfeiffer,2019-07-30 04:58:50,https://api.github.com/repos/lektor/lektor/git/commits/a95d5df2d0899f8d557db03d56c3bc70f8e23684,a95d5df2d0899f8d557db03d56c3bc70f8e23684,rename get_is_rotated_fast to is_rotated
lepture,2019-07-30 02:58:49,https://api.github.com/repos/lektor/lektor/git/commits/aa552b1b76171932c52e1247432b5660fe4ca252,aa552b1b76171932c52e1247432b5660fe4ca252,"Lock mistune version

I'm rewriting mistune now. Mistune 2.0 will break its API."
nixjdm,2019-07-29 19:31:18,https://api.github.com/repos/lektor/lektor/git/commits/0104b75b305f896e891a62a0eb1b265d461763d0,0104b75b305f896e891a62a0eb1b265d461763d0,[master] Removing bad chars at the beginning of pylintrc.
tgpfeiffer,2019-07-29 15:00:10,https://api.github.com/repos/lektor/lektor/git/commits/739be6cf13f4aa3ee6a770caed05cd28cd17feaf,739be6cf13f4aa3ee6a770caed05cd28cd17feaf,use fast rotation detection in imagetools.get_image_info()
tgpfeiffer,2019-07-29 14:57:31,https://api.github.com/repos/lektor/lektor/git/commits/0378ccc87249851fdd5be5b54a2e60cbaf0bcc2d,0378ccc87249851fdd5be5b54a2e60cbaf0bcc2d,add a helper function to determine JPEG rotation in a fast manner
tgpfeiffer,2019-07-28 02:58:53,https://api.github.com/repos/lektor/lektor/git/commits/e959160759fa8c02ae4d658a7238331f1c099ced,e959160759fa8c02ae4d658a7238331f1c099ced,"insert code for edit button before </head> and </body> if possible

In order to fix problems with HTML validation, the <style> part of the
edit button is now inserted before </head> and the <script> part is
inserted before </body>. If one of these closing tags doesn't exist,
append code at the end, just like before.

fixes #639"
davidferguson,2019-07-27 09:21:39,https://api.github.com/repos/lektor/lektor/git/commits/076e4fb71d8aeb11b97804de8f20fe654d760623,076e4fb71d8aeb11b97804de8f20fe654d760623,"Update react to v16 and react-router to v3 (#667)

* upgrade to react 16.8.6
* upgrade to react-router to 3
* convert React.createClass to create-react-class compatibility layer"
nixjdm,2019-06-22 23:02:04,https://api.github.com/repos/lektor/lektor/git/commits/83a2ba58eb964e2c7b8ae258aead456677d267a6,83a2ba58eb964e2c7b8ae258aead456677d267a6,[master] Added pull request template.
nixjdm,2019-06-22 21:32:39,https://api.github.com/repos/lektor/lektor/git/commits/79c46e769426bbb155a5c6ea0e4257020ad5e44e,79c46e769426bbb155a5c6ea0e4257020ad5e44e,"Merge pull request #660 from jtraub91/feature/collapsing-flow-elements

Feature/collapsing flow elements. Fixes #649"
jtraub91,2019-06-19 23:51:10,https://api.github.com/repos/lektor/lektor/git/commits/7fd477376cd25d6e6cffa70cf957c0cc8c729386,7fd477376cd25d6e6cffa70cf957c0cc8c729386,fix lint errors
jtraub91,2019-06-19 18:44:20,https://api.github.com/repos/lektor/lektor/git/commits/25fdb7542cfadae001889464aa767e3690cb651e,25fdb7542cfadae001889464aa767e3690cb651e,less mod so action bar right justified when collapsed
jtraub91,2019-06-19 18:16:05,https://api.github.com/repos/lektor/lektor/git/commits/95f60ae2fb0794d28392a44c4aae5dd5bcf02175,95f60ae2fb0794d28392a44c4aae5dd5bcf02175,simple collapse by adding new props.value[idx].collapsed boolean
nixjdm,2019-06-18 22:44:18,https://api.github.com/repos/lektor/lektor/git/commits/1b470d0e54d7bf0cc9b4f3f9ab98fdf83df6b1ea,1b470d0e54d7bf0cc9b4f3f9ab98fdf83df6b1ea,"Merge pull request #658 from mpianka/master

#628 base64 of sha384 wasn't encoded to string"
mpianka,2019-06-15 21:29:04,https://api.github.com/repos/lektor/lektor/git/commits/b265961e41f3d452e7b202b8cfd514ac8506b116,b265961e41f3d452e7b202b8cfd514ac8506b116,#628 base64 of sha384 wasn't encoded to string
nixjdm,2019-06-07 22:49:51,https://api.github.com/repos/lektor/lektor/git/commits/7691e1e372bb8bc46244b88f3615942e1b6c4e4b,7691e1e372bb8bc46244b88f3615942e1b6c4e4b,"Merge pull request #657 from lektor/test-updates

[test-updates] Updating testing environments."
nixjdm,2019-06-07 20:26:08,https://api.github.com/repos/lektor/lektor/git/commits/bba8c2a17d8fb249134804916ac9c3b4cbb83176,bba8c2a17d8fb249134804916ac9c3b4cbb83176,[test-updates] Adding retries to forever flakey choco installs. Also downgrading node on appveyor to node 11 since 12 seems not ready yet.
nixjdm,2019-06-07 18:50:23,https://api.github.com/repos/lektor/lektor/git/commits/89a9db190034d98e3e8950678e912be2c4795b21,89a9db190034d98e3e8950678e912be2c4795b21,[test-updates] Reducing number of appveyor tests.
nixjdm,2019-06-07 18:38:35,https://api.github.com/repos/lektor/lektor/git/commits/96fe79ec254b55bc570dd168d38ac85fa7b04665,96fe79ec254b55bc570dd168d38ac85fa7b04665,[test-updates] Updating testing environments.
nixjdm,2019-06-07 17:29:54,https://api.github.com/repos/lektor/lektor/git/commits/74a661d9ce7b393bcb8cecfb0ecb175381c15530,74a661d9ce7b393bcb8cecfb0ecb175381c15530,"Merge pull request #656 from lektor/lektor-654

[lektor-654] plugin compatibility and deprecation notice"
nixjdm,2019-06-06 22:53:17,https://api.github.com/repos/lektor/lektor/git/commits/cdce68227d391666c5c0e6d293195bd54f3e11f7,cdce68227d391666c5c0e6d293195bd54f3e11f7,"[lektor-654] This adds back in compatibility with plugins not ready for extra_flags on all events, and enables that with a DeprecationWarning."
nixjdm,2019-05-13 23:47:32,https://api.github.com/repos/lektor/lektor/git/commits/082eb554ccc3ba62bb2b488f2039b5a9b4908174,082eb554ccc3ba62bb2b488f2039b5a9b4908174,"Merge pull request #651 from lektor/lektor-613

Lektor 613 - Passing extra_flags to all plugin events"
nixjdm,2019-05-13 23:34:42,https://api.github.com/repos/lektor/lektor/git/commits/15b2b0e58f05a2a042a919917fedfb2e1c7b67ea,15b2b0e58f05a2a042a919917fedfb2e1c7b67ea,[lektor-613] Making it more obvious this tests that extra_flags is the kwarg used.
nixjdm,2019-05-13 21:33:10,https://api.github.com/repos/lektor/lektor/git/commits/e4c7c39142f2e2a98b21d42d8d99cdf5246bb918,e4c7c39142f2e2a98b21d42d8d99cdf5246bb918,[lektor-613] Removing unnecessary revision of template in scratch plugin project.
nixjdm,2019-05-12 23:34:25,https://api.github.com/repos/lektor/lektor/git/commits/99b85dce92363c81645eed5898a762faf0506045,99b85dce92363c81645eed5898a762faf0506045,[lektor-613] Add a test for multiple extra_flags used at once.
nixjdm,2019-05-12 23:23:42,https://api.github.com/repos/lektor/lektor/git/commits/12b6b87c250c6dbb2ed3ac957c82e81f3492fdf3,12b6b87c250c6dbb2ed3ac957c82e81f3492fdf3,[lektor-613] Adding tests for clean command. Removing build_flag from dev shell command.
nixjdm,2019-05-12 19:28:27,https://api.github.com/repos/lektor/lektor/git/commits/7dd4f234807c082e1c13c70d2e26faa026a9ef08,7dd4f234807c082e1c13c70d2e26faa026a9ef08,[lektor-613] Fixing python 2 plugin tests.
nixjdm,2019-05-12 19:03:17,https://api.github.com/repos/lektor/lektor/git/commits/f6a00db49da5da9ee8a22a8da9ccf16fae4bd030,f6a00db49da5da9ee8a22a8da9ccf16fae4bd030,"[lektor-613] Now using the isolated_cli_runner to manage the cwd. Fixes cwd the plugins tests end with, fixing broken subsequent tests."
nixjdm,2019-05-12 00:43:19,https://api.github.com/repos/lektor/lektor/git/commits/d428092bb8e8656fbb8a955c65fce04d4a47a7d8,d428092bb8e8656fbb8a955c65fce04d4a47a7d8,[lektor-613] Adding extra_flags to dev shell command.
nixjdm,2019-05-12 00:14:53,https://api.github.com/repos/lektor/lektor/git/commits/80e6397e619156494956d3efaec4d394eb37dbd8,80e6397e619156494956d3efaec4d394eb37dbd8,[lektor-613] Adding tests for plugin hooks receiving extra flags. Modified a couple other tests to make match. Made the scratch project include *real* markdown.
nixjdm,2019-05-11 23:54:22,https://api.github.com/repos/lektor/lektor/git/commits/b4dbe8ffa66124d8fa8f73e3834a0774a8bc5bf2,b4dbe8ffa66124d8fa8f73e3834a0774a8bc5bf2,[lektor-613] Removing unused and now redundant arg from plugin initialization.
nixjdm,2018-10-18 16:09:37,https://api.github.com/repos/lektor/lektor/git/commits/ab4666513ba2762e4bdbd6d2a060d763fe0ad966,ab4666513ba2762e4bdbd6d2a060d763fe0ad966,"[lektor-613] Passing extra-flags into Environment, so that all plugins can access it."
skorokithakis,2019-04-04 22:37:53,https://api.github.com/repos/lektor/lektor/git/commits/093c1a3116722059a65d74b6aa17d72e99a25d16,093c1a3116722059a65d74b6aa17d72e99a25d16,"Merge pull request #644 from vinzBad/master

Fix no-else-raise pylint warning"
vinzBad,2019-04-04 21:11:51,https://api.github.com/repos/lektor/lektor/git/commits/036d12c259ff3f64358a60cdd006bacf276dcef3,036d12c259ff3f64358a60cdd006bacf276dcef3,Fix no-else-raise pylint warning
f-seven,2019-03-31 16:49:54,https://api.github.com/repos/lektor/lektor/git/commits/0365c1ffcd774ceea47b8913e89f3ef792e068ea,0365c1ffcd774ceea47b8913e89f3ef792e068ea,"Update test_utils.py

Corrected test case for new behaviour."
f-seven,2019-03-31 16:22:51,https://api.github.com/repos/lektor/lektor/git/commits/ad7a5489cb577863c5eba4deae6cbf9d94dbb62b,ad7a5489cb577863c5eba4deae6cbf9d94dbb62b,"Update test_utils.py

Removed help comments."
f-seven,2019-03-31 16:21:48,https://api.github.com/repos/lektor/lektor/git/commits/1f5f098376f158d02c9c4f8f46823b0eeb175bb0,1f5f098376f158d02c9c4f8f46823b0eeb175bb0,"Update test_utils.py

Added unit test for `make_relative_url()`."
f-seven,2019-03-25 20:08:34,https://api.github.com/repos/lektor/lektor/git/commits/4975b14bbd2921901e90846602d869e73f119555,4975b14bbd2921901e90846602d869e73f119555,Update utils.py
nixjdm,2019-03-08 18:38:59,https://api.github.com/repos/lektor/lektor/git/commits/5cc3ef09350a0336c32bf7a2e2bb531b01680115,5cc3ef09350a0336c32bf7a2e2bb531b01680115,"Merge pull request #637 from germn/fix_plugins_reinstall

On reinstall plugins now won't be initialized and won't receive events"
