chromecasts,Query your local network for Chromecasts and have them play media
username,timestamp,url,sha,message
mafintosh,2017-10-17 21:51:08,https://api.github.com/repos/mafintosh/chromecasts/git/commits/869bd98fb2166e2d678122fea94ab2d5056de8e2,869bd98fb2166e2d678122fea94ab2d5056de8e2,1.9.1
andyshinn,2017-10-17 21:49:54,https://api.github.com/repos/mafintosh/chromecasts/git/commits/382d29ff9ba0fb0e1b95ba54f561014dcd32e4fc,382d29ff9ba0fb0e1b95ba54f561014dcd32e4fc,use SRV record for host name TXT record for name (#29)
feross,2016-08-26 01:55:00,https://api.github.com/repos/mafintosh/chromecasts/git/commits/9599b4633adaff22456c5af611c0100bfc463678,9599b4633adaff22456c5af611c0100bfc463678,standard
Ivshti,2016-05-11 17:29:41,https://api.github.com/repos/mafintosh/chromecasts/git/commits/ab5d4fb5a973b07cf40eefe32354c85aadb99d62,ab5d4fb5a973b07cf40eefe32354c85aadb99d62,1.9.0
Ivshti,2016-05-11 17:28:24,https://api.github.com/repos/mafintosh/chromecasts/git/commits/f2c1427317edb3cb92b6ccc23ccd83073e358f63,f2c1427317edb3cb92b6ccc23ccd83073e358f63,pass textTrackStyle to .play media
feross,2016-04-11 00:19:45,https://api.github.com/repos/mafintosh/chromecasts/git/commits/4af0ad1a1caffae790ce40381de2c78bcbb4d768,4af0ad1a1caffae790ce40381de2c78bcbb4d768,"Merge pull request #20 from mafintosh/update-dep

multicast-dns@6"
feross,2016-04-11 00:07:09,https://api.github.com/repos/mafintosh/chromecasts/git/commits/fefac4271c89f888200a5e60c96f060c9ddcdad7,fefac4271c89f888200a5e60c96f060c9ddcdad7,multicast-dns@6
Ivshti,2016-04-10 00:59:21,https://api.github.com/repos/mafintosh/chromecasts/git/commits/b55cd34de0e7e7fdf63e6989d56cd3db3678e0d4,b55cd34de0e7e7fdf63e6989d56cd3db3678e0d4,"un-mute on setting volume, in case it was muted"
mafintosh,2016-02-14 10:58:27,https://api.github.com/repos/mafintosh/chromecasts/git/commits/5a66b0ffe7c99f0e6045171c2b9e3d3c1568535f,5a66b0ffe7c99f0e6045171c2b9e3d3c1568535f,1.8.0
mafintosh,2016-02-14 10:57:51,https://api.github.com/repos/mafintosh/chromecasts/git/commits/bce314094cf66395a5d0be7ab6c9628b3de35817,bce314094cf66395a5d0be7ab6c9628b3de35817,Merge branch 'feross-multicast-dns'
mafintosh,2016-02-14 10:57:21,https://api.github.com/repos/mafintosh/chromecasts/git/commits/3dfd47619865f5205365d9cf96e541b07d37b75a,3dfd47619865f5205365d9cf96e541b07d37b75a,fix conflict
mafintosh,2016-02-14 10:55:40,https://api.github.com/repos/mafintosh/chromecasts/git/commits/46ff3bdb332574a0e65b25bdeea3aea0a7e42061,46ff3bdb332574a0e65b25bdeea3aea0a7e42061,"Merge pull request #16 from feross/master

Replace `request` with `simple-get`"
mafintosh,2016-02-14 10:54:50,https://api.github.com/repos/mafintosh/chromecasts/git/commits/ae0d6bf5755997e72a882d086aaa010ee80501f9,ae0d6bf5755997e72a882d086aaa010ee80501f9,"Merge pull request #17 from feross/standard

standard@6"
feross,2016-02-14 08:18:52,https://api.github.com/repos/mafintosh/chromecasts/git/commits/a5510c4e56ba5288dd7d190cb8615f65bb0c8cef,a5510c4e56ba5288dd7d190cb8615f65bb0c8cef,multicast-dns@5
feross,2016-02-14 08:13:33,https://api.github.com/repos/mafintosh/chromecasts/git/commits/63952bd7a6b9a71255d8fc1cd553f3f49ac7b628,63952bd7a6b9a71255d8fc1cd553f3f49ac7b628,standard@6
feross,2016-02-14 08:09:33,https://api.github.com/repos/mafintosh/chromecasts/git/commits/385ad70afb3b757bed74dca7f3ca0fd0100dcadb,385ad70afb3b757bed74dca7f3ca0fd0100dcadb,"Replace `request` with `simple-get`

request has 67 dependencies.
simple-get has 4 dependencies.

Helps make `npm install webtorrent` faster!"
