peerflix,Streaming torrent client for node.js
username,timestamp,url,sha,message
mafintosh,2018-06-09 20:30:38,https://api.github.com/repos/mafintosh/peerflix/git/commits/29eed5f6f9316a3a08fe99d276fde5b1be0d2b63,29eed5f6f9316a3a08fe99d276fde5b1be0d2b63,0.39.0
melkir,2018-06-09 20:23:09,https://api.github.com/repos/mafintosh/peerflix/git/commits/4614bdb07aaf6486d32bd523e82b9a1401ab071a,4614bdb07aaf6486d32bd523e82b9a1401ab071a,"Update deps (#334)

* update deps

* fix deprecated buffer method"
jasnell,2018-06-09 20:21:49,https://api.github.com/repos/mafintosh/peerflix/git/commits/bcba5bddbad6a2ee716eacacabc3c4d4e5102177,bcba5bddbad6a2ee716eacacabc3c4d4e5102177,Replace buffer constructor with buffer-from (#342)
mafintosh,2018-04-25 09:08:46,https://api.github.com/repos/mafintosh/peerflix/git/commits/c34e156352ba55bc48f708dfb686e5aa68c7afd5,c34e156352ba55bc48f708dfb686e5aa68c7afd5,0.38.0
mafintosh,2017-07-04 08:03:43,https://api.github.com/repos/mafintosh/peerflix/git/commits/f48f7a0a9e24da61ae3521650650502debb2d898,f48f7a0a9e24da61ae3521650650502debb2d898,0.37.0
janeklb,2017-07-04 07:51:54,https://api.github.com/repos/mafintosh/peerflix/git/commits/c21a89d457095bd6b8996ba8aaa68d49bb687928,c21a89d457095bd6b8996ba8aaa68d49bb687928,addresses #225 for vlc (#320)
korzhyk,2017-07-04 07:49:29,https://api.github.com/repos/mafintosh/peerflix/git/commits/375421cee769ad04bb78630aad231da0ccfa61c8,375421cee769ad04bb78630aad231da0ccfa61c8,"windows-no-runnable replaced by winreg (#308)

* windows-no-runnable replaced by winreg

* fix standart"
karevn,2017-07-04 07:48:42,https://api.github.com/repos/mafintosh/peerflix/git/commits/d39778ec3ecf3b5116ca6b78cb33fb04ef2ce612,d39778ec3ecf3b5116ca6b78cb33fb04ef2ce612,"Show downloaded files verification progress (#303)

* Show downloaded files verification progress

* Coding standards fix"
watson,2017-07-04 07:47:48,https://api.github.com/repos/mafintosh/peerflix/git/commits/19b094c6c95bcf29ed8fe264f77a9ca4cb0129d1,19b094c6c95bcf29ed8fe264f77a9ca4cb0129d1,Show AirPlay server name in output (#326)
mafintosh,2017-05-03 00:02:33,https://api.github.com/repos/mafintosh/peerflix/git/commits/89e004495a9881af6b7f14b77f80e926d7019d20,89e004495a9881af6b7f14b77f80e926d7019d20,0.36.3
thibauts,2017-05-03 00:02:07,https://api.github.com/repos/mafintosh/peerflix/git/commits/ea271006d47bb59c1d167c6aba854fec4b38744c,ea271006d47bb59c1d167c6aba854fec4b38744c,fix broken DLNA header (#318)
mafintosh,2017-03-27 10:12:25,https://api.github.com/repos/mafintosh/peerflix/git/commits/2524bd0087ab82cd49017235268f8f2e63866882,2524bd0087ab82cd49017235268f8f2e63866882,0.36.2
Kornflexx,2017-03-27 10:11:51,https://api.github.com/repos/mafintosh/peerflix/git/commits/c3303974376e6bc1436b1a43679126fb82caa9f4,c3303974376e6bc1436b1a43679126fb82caa9f4,fix broken vlc subtitles argument (nodejs 6.9.1 win10) (#301)
mafintosh,2016-11-22 22:42:38,https://api.github.com/repos/mafintosh/peerflix/git/commits/72b28e66018483176b21431a8c602fbc4a89a8c5,72b28e66018483176b21431a8c602fbc4a89a8c5,0.36.1
bogdan-kovalev,2016-11-22 22:42:19,https://api.github.com/repos/mafintosh/peerflix/git/commits/902758c1613d1305106075206ac4a4fac458a90c,902758c1613d1305106075206ac4a4fac458a90c,"Fix non working ""Choose one file"" option (#298)

* Fixed not working ""Choose one file"" option

* fix indentations"
mafintosh,2016-10-24 12:09:48,https://api.github.com/repos/mafintosh/peerflix/git/commits/f65c08970b837d85ad8c8c1a5de13a6ec8c40fab,f65c08970b837d85ad8c8c1a5de13a6ec8c40fab,0.36.0
mafintosh,2016-10-24 12:09:44,https://api.github.com/repos/mafintosh/peerflix/git/commits/869653b53caa5aa2a28ebd3abbf90e6a0808dc2d,869653b53caa5aa2a28ebd3abbf90e6a0808dc2d,make executeable
