laravel-localization,Easy localization for Laravel
username,timestamp,url,sha,message
czim,2019-09-08 13:56:19,https://api.github.com/repos/mcamara/laravel-localization/git/commits/82d06c66cdf1e3ed17783842886d87cbd5aadd43,82d06c66cdf1e3ed17783842886d87cbd5aadd43,"Fixed issues with translated route caching (#646)

* Fixed loading of translated cached routes in console context

Used to only work for requests, since it depended on the request segment to read the locale. Now, LaravelLocalization's current locale is used.

* Fixed route cache and list command for Laravel 5.8"
voidgraphics,2019-09-06 07:43:37,https://api.github.com/repos/mcamara/laravel-localization/git/commits/e43deb6c8450422d5bb2c4ab412c1b46574f918e,e43deb6c8450422d5bb2c4ab412c1b46574f918e,"Added blade type to code block (#643)

This allows proper syntax highlighting for the blade code example"
mcamara,2019-09-06 07:38:59,https://api.github.com/repos/mcamara/laravel-localization/git/commits/7d6f2de6e020be33164da93af35e5f9bb52a3d89,7d6f2de6e020be33164da93af35e5f9bb52a3d89,Update README.md
mcamara,2019-09-06 07:38:28,https://api.github.com/repos/mcamara/laravel-localization/git/commits/2c8e23a6884aa89b93a77395b12704a4d5c2f979,2c8e23a6884aa89b93a77395b12704a4d5c2f979,Update CHANGELOG.md
mcamara,2019-09-06 07:37:43,https://api.github.com/repos/mcamara/laravel-localization/git/commits/7ffe327d8fa0a35306947b4dbc6a1acf8842fe97,7ffe327d8fa0a35306947b4dbc6a1acf8842fe97,Update README.md
poldixd,2019-09-06 07:34:57,https://api.github.com/repos/mcamara/laravel-localization/git/commits/476778f2adce4534165dfa5c42474d8d22c2caf9,476778f2adce4534165dfa5c42474d8d22c2caf9,"Added Laravel 6 Support (#649)

* Added Laravel 6 and orchestra/testbench-browser-kit 4.0

* Updated Lang::trans to Lang::get

* Changed the starts_with helper to Str::startsWith

* Dropped php7.0 Support

* Dropped php7.0 support"
dmitrybubyakin,2019-06-28 16:04:56,https://api.github.com/repos/mcamara/laravel-localization/git/commits/af8f9f30488a83533dda3870fcc335b55cf964e0,af8f9f30488a83533dda3870fcc335b55cf964e0,"Respect locales mapping (#631)

* Respect locales mapping

* PHPUnit 8 compatibility

* Replace localeCode with corresponding value from the mapping

* Update README.md and CHANGELOG.md"
mcamara,2019-05-24 10:15:11,https://api.github.com/repos/mcamara/laravel-localization/git/commits/7b45211f039d7f8232ea2a0a44dc9bca5739531d,7b45211f039d7f8232ea2a0a44dc9bca5739531d,Create FUNDING.yml
nikazooz,2019-03-05 15:37:01,https://api.github.com/repos/mcamara/laravel-localization/git/commits/cf89d2515d576292e65bfa5893a0efd1cc5a4064,cf89d2515d576292e65bfa5893a0efd1cc5a4064,"Fix route caching on Laravel v5.8 (#626)

Laravel v5.8 has a bit different way of getting environment variables.
The `ROUTING_LOCALE` variable is probably not set at boot time so it will not be available later on in the app lifecycle since `getenv` function is not used directly.
This fix is just using `getenv` as a fallback. Another option would be to just use it directly and not as a fallback for `env`."
rolandstarke,2019-03-05 10:38:33,https://api.github.com/repos/mcamara/laravel-localization/git/commits/64ed431f3ae69aa29451de7637084c84f858c819,64ed431f3ae69aa29451de7637084c84f858c819,"Update README.md (#624)

Code change not represented in readme:
https://github.com/mcamara/laravel-localization/issues/324"
mcamara,2019-02-28 13:27:56,https://api.github.com/repos/mcamara/laravel-localization/git/commits/73d55caf294654ef133115d47ec2ca6733d33c61,73d55caf294654ef133115d47ec2ca6733d33c61,Updated to laravel 5.8 (#623)
plamenst,2019-02-20 15:04:36,https://api.github.com/repos/mcamara/laravel-localization/git/commits/933df7f51130ef6345cc38ee97e22b134edd1dbe,933df7f51130ef6345cc38ee97e22b134edd1dbe,"Translated routes by url caching (#614)

* findTranslatedRouteByUrl cache

* Minor changes

* Minor changes"
salbertson,2018-11-26 21:27:57,https://api.github.com/repos/mcamara/laravel-localization/git/commits/fe68390535bb1feef10e21c4e962e11c674307f0,fe68390535bb1feef10e21c4e962e11c674307f0,"Add a ""Reviewed by Hound"" badge (#605)"
neochief,2018-10-30 06:33:55,https://api.github.com/repos/mcamara/laravel-localization/git/commits/e82a6c9d809b82afb7ae226f18ac3cb077a18754,e82a6c9d809b82afb7ae226f18ac3cb077a18754,Fixed getLocalizedURL producing duplicate query string (side effect of #578). (#602)
addorange,2018-10-16 15:48:06,https://api.github.com/repos/mcamara/laravel-localization/git/commits/f79896fcbb2f1822ab26fec5922934108e0caa33,f79896fcbb2f1822ab26fec5922934108e0caa33,"locales mapping test (#601)

* added script to composer running tests

* added localesMapping test on language negotiation"
