js-signals,Custom Event/Messaging system for JavaScript inspired by AS3-Signals
username,timestamp,url,sha,message
millermedeiros,2013-09-18 19:09:42,https://api.github.com/repos/millermedeiros/js-signals/git/commits/1a82bdd4097941bb010ab4a5757a67da460ce2f4,1a82bdd4097941bb010ab4a5757a67da460ce2f4,add bower.json file
millermedeiros,2013-09-18 19:05:09,https://api.github.com/repos/millermedeiros/js-signals/git/commits/6f920f41b489d1e9c7dbff2c4e6cf1da770ddb15,6f920f41b489d1e9c7dbff2c4e6cf1da770ddb15,"update gitignore, npmignore and package.json"
millermedeiros,2013-09-18 18:56:32,https://api.github.com/repos/millermedeiros/js-signals/git/commits/c8225ea6089782e4c875b5826a792d22daa4b377,c8225ea6089782e4c875b5826a792d22daa4b377,remove node_modules folder
millermedeiros,2012-12-09 22:09:44,https://api.github.com/repos/millermedeiros/js-signals/git/commits/edfa534e6abc4fc5a4318d69c43d1a147e970d97,edfa534e6abc4fc5a4318d69c43d1a147e970d97,add travis.yml
millermedeiros,2012-12-09 22:07:53,https://api.github.com/repos/millermedeiros/js-signals/git/commits/b847f3ad51ea6c6b6a14f74c5a5c151baf585a95,b847f3ad51ea6c6b6a14f74c5a5c151baf585a95,change project folder structure
millermedeiros,2012-11-30 20:14:50,https://api.github.com/repos/millermedeiros/js-signals/git/commits/742557bee70e1997cb5900ae545a05bca6486ebf,742557bee70e1997cb5900ae545a05bca6486ebf,add jasmine-signals link to README and change markdown files extensions to 'md'
millermedeiros,2012-11-30 20:05:46,https://api.github.com/repos/millermedeiros/js-signals/git/commits/0047d78551614063ac0497c39123ae87a0f97703,0047d78551614063ac0497c39123ae87a0f97703,port unit tests from YUI Test to Jasmine. closes #31
millermedeiros,2012-11-29 19:50:25,https://api.github.com/repos/millermedeiros/js-signals/git/commits/e3749fe6b082fa884b2c522105c223a757bee2dd,e3749fe6b082fa884b2c522105c223a757bee2dd,bump version to 1.0 closes #52
millermedeiros,2012-10-31 14:33:15,https://api.github.com/repos/millermedeiros/js-signals/git/commits/b8be08ba42e82b941c777fa978f71af2d5a04d87,b8be08ba42e82b941c777fa978f71af2d5a04d87,bump version to 0.9.0 and generate dist files.
millermedeiros,2012-10-31 14:35:49,https://api.github.com/repos/millermedeiros/js-signals/git/commits/4c3376f370f0d8cd3ad09dc84df5e7fae78adf54,4c3376f370f0d8cd3ad09dc84df5e7fae78adf54,add updateDocs.sh file
