elasticsearch-head,A web front end for an elastic search cluster
username,timestamp,url,sha,message
philipskokoh,2019-08-14 11:27:18,https://api.github.com/repos/mobz/elasticsearch-head/git/commits/ce73b62611ba1232155dab50830a76aef318ade5,ce73b62611ba1232155dab50830a76aef318ade5,update es-head chrome extension crx
philipskokoh,2019-08-14 11:26:49,https://api.github.com/repos/mobz/elasticsearch-head/git/commits/5427825ab592aa4803e0142eae1ee3878a304ddf,5427825ab592aa4803e0142eae1ee3878a304ddf,bug fix on parsing auth parameters
philipskokoh,2019-08-14 07:52:26,https://api.github.com/repos/mobz/elasticsearch-head/git/commits/b76d660d6d97712d1bcc005c7cc0b753f994af1c,b76d660d6d97712d1bcc005c7cc0b753f994af1c,refactor previous commit; add chrome plugin into src/
philipskokoh,2019-08-14 03:29:51,https://api.github.com/repos/mobz/elasticsearch-head/git/commits/7e214142bdaceb6a78ed5f1dbefffc45175c1623,7e214142bdaceb6a78ed5f1dbefffc45175c1623,"Merge pull request #419 from zhaoyunxing92/master

Bug fix on auth_user and auth_password parameter in connect button"
zhaoyunxing92,2019-07-09 13:10:05,https://api.github.com/repos/mobz/elasticsearch-head/git/commits/089dd9322bd7caac3474ab68a4e549536d5917e8,089dd9322bd7caac3474ab68a4e549536d5917e8,Merge branch 'master' of https://github.com/zhaoyunxing92/elasticsearch-head
zhaoyunxing92,2019-07-09 13:09:18,https://api.github.com/repos/mobz/elasticsearch-head/git/commits/6629c3169dad267abff0f5f6f49c714a28095005,6629c3169dad267abff0f5f6f49c714a28095005,[fix]修改x-pack开启后密码不支持问题
zhaoyunxing92,2019-07-04 06:36:30,https://api.github.com/repos/mobz/elasticsearch-head/git/commits/75c1fea09573bed1d2025529fdfae76b4f10a881,75c1fea09573bed1d2025529fdfae76b4f10a881,[fix]修复字符截取问题
zhaoyunxing92,2019-07-03 09:48:43,https://api.github.com/repos/mobz/elasticsearch-head/git/commits/ca32f44dd6dabcf6e5c1f628b3a3be3191455b9e,ca32f44dd6dabcf6e5c1f628b3a3be3191455b9e,[up]修改chrome插件
zhaoyunxing92,2019-07-03 09:46:19,https://api.github.com/repos/mobz/elasticsearch-head/git/commits/4f99dcb60c5df1ef7f65f998846097e698d6f688,4f99dcb60c5df1ef7f65f998846097e698d6f688,[fix]修改base uri
zhaoyunxing92,2019-07-03 08:51:22,https://api.github.com/repos/mobz/elasticsearch-head/git/commits/7f4cb8b9751efb5c8daaaf6962f69c83a9637846,7f4cb8b9751efb5c8daaaf6962f69c83a9637846,[add]chrome插件
