PathFinding.js,A comprehensive path-finding library for grid based games
username,timestamp,url,sha,message
imor,2017-04-24 05:09:40,https://api.github.com/repos/qiao/PathFinding.js/git/commits/7b9c3ef3ef45f9130af5a1c1081be2d64305399f,7b9c3ef3ef45f9130af5a1c1081be2d64305399f,"Merge pull request #144 from vintagesucks/patch-1

fixed gitter badge"
vintagesucks,2017-04-23 21:14:12,https://api.github.com/repos/qiao/PathFinding.js/git/commits/c8dfb12830f3341280b3533580462b8d204b5526,c8dfb12830f3341280b3533580462b8d204b5526,fixed gitter badge
imor,2016-08-30 16:33:25,https://api.github.com/repos/qiao/PathFinding.js/git/commits/52e80c1fd38dbaf3f6b0d949fc862e7a8cf43954,52e80c1fd38dbaf3f6b0d949fc862e7a8cf43954,"Merge pull request #133 from Xstoudi/patch-1

Fix typo in README.md"
Xstoudi,2016-08-29 07:41:17,https://api.github.com/repos/qiao/PathFinding.js/git/commits/4980c29d7bf717dc30a62375ea73f7eca156d9f0,4980c29d7bf717dc30a62375ea73f7eca156d9f0,Fix typo
qiao,2015-08-11 04:53:06,https://api.github.com/repos/qiao/PathFinding.js/git/commits/b9b86b574afeedcc48902c4747187d44c2edd456,b9b86b574afeedcc48902c4747187d44c2edd456,Fix jsdoc.
qiao,2015-06-04 04:09:30,https://api.github.com/repos/qiao/PathFinding.js/git/commits/7fbfb6fc9e82160e699d84c02c6078029a525511,7fbfb6fc9e82160e699d84c02c6078029a525511,"Merge pull request #103 from devonharvey/devonharvey-patch-2

Remove unused row variable in Grid"
devonharvey,2015-05-28 06:22:42,https://api.github.com/repos/qiao/PathFinding.js/git/commits/8b93cfcff04e4475ceb0c5a6e828ca3f05786381,8b93cfcff04e4475ceb0c5a6e828ca3f05786381,Remove unused row variable in Grid
qiao,2015-05-28 06:04:43,https://api.github.com/repos/qiao/PathFinding.js/git/commits/80fb8d2a12b088209d1b2a021aa8b0777590759b,80fb8d2a12b088209d1b2a021aa8b0777590759b,"Merge pull request #102 from devonharvey/patch-1

Fix typo in diagonal-movement.md"
devonharvey,2015-05-28 05:29:43,https://api.github.com/repos/qiao/PathFinding.js/git/commits/9e63f6e54931113c2f307d1f16b95dc975d770d8,9e63f6e54931113c2f307d1f16b95dc975d770d8,Fix typo in diagonal-movement.md
imor,2015-04-05 11:28:40,https://api.github.com/repos/qiao/PathFinding.js/git/commits/3de61422929fd9cbf8302b09cf762b04dc8af818,3de61422929fd9cbf8302b09cf762b04dc8af818,Bumping version to 0.4.17
imor,2015-03-28 05:49:41,https://api.github.com/repos/qiao/PathFinding.js/git/commits/13160d90dcb02d79de90d0b7e22334dab78ec59f,13160d90dcb02d79de90d0b7e22334dab78ec59f,Use new Grid constructor in README.md
imor,2015-03-28 05:46:45,https://api.github.com/repos/qiao/PathFinding.js/git/commits/0c683064a1d0be14abef6b3d05d12db0a1e88363,0c683064a1d0be14abef6b3d05d12db0a1e88363,"Merge pull request #94 from tlhunter/master

Update Grid constructor to accept just a matrix argument"
tlhunter,2015-03-27 18:00:00,https://api.github.com/repos/qiao/PathFinding.js/git/commits/00bb277dbd01c7e3978d6162cfccb4c4e82097e1,00bb277dbd01c7e3978d6162cfccb4c4e82097e1,"Updating docs to use  syntax, contributors"
qiao,2015-03-27 01:18:56,https://api.github.com/repos/qiao/PathFinding.js/git/commits/24df2a9367c58d6df00d0ee4b4b50d3171632571,24df2a9367c58d6df00d0ee4b4b50d3171632571,"Merge pull request #93 from mortonfox/master

Updated mocha link."
tlhunter,2015-03-26 23:31:17,https://api.github.com/repos/qiao/PathFinding.js/git/commits/c187300b5f030115197c9b17a90fba836f584961,c187300b5f030115197c9b17a90fba836f584961,Changing Grid constructor to accept only a matrix
mortonfox,2015-03-26 12:32:35,https://api.github.com/repos/qiao/PathFinding.js/git/commits/732ba25a8ee17b57e26e3865499a2633ec218464,732ba25a8ee17b57e26e3865499a2633ec218464,Updated mocha link.
imor,2015-01-16 08:17:29,https://api.github.com/repos/qiao/PathFinding.js/git/commits/19572d2bf8ecd1f4c51e456d44d3c239ad89c06f,19572d2bf8ecd1f4c51e456d44d3c239ad89c06f,Bumping version to 0.4.16
imor,2015-01-16 07:58:54,https://api.github.com/repos/qiao/PathFinding.js/git/commits/9121a574f09768c51a2d0da3d70e79986dbdbf23,9121a574f09768c51a2d0da3d70e79986dbdbf23,Fix task completion cb called too many times exception in release task
imor,2015-01-16 07:56:24,https://api.github.com/repos/qiao/PathFinding.js/git/commits/334d27ced09bda585756a7d76730e7f4020801ee,334d27ced09bda585756a7d76730e7f4020801ee,Bumping version to 0.4.15
imor,2015-01-16 07:55:17,https://api.github.com/repos/qiao/PathFinding.js/git/commits/dc62f5f578a6bf01f843db40d5f0b9034248a486,dc62f5f578a6bf01f843db40d5f0b9034248a486,Add release task to gulpfile
imor,2015-01-16 07:54:32,https://api.github.com/repos/qiao/PathFinding.js/git/commits/8dfd8740193d2d78297d6d6e3d93a42d02d0c23f,8dfd8740193d2d78297d6d6e3d93a42d02d0c23f,Ignoring release folder which will be used for creating releases
imor,2015-01-06 04:25:26,https://api.github.com/repos/qiao/PathFinding.js/git/commits/d0bcd9ee340fbad89be02950cefe9d87eff8545d,d0bcd9ee340fbad89be02950cefe9d87eff8545d,Add jshint task in gulpfile and lint all js files
imor,2015-01-05 05:08:56,https://api.github.com/repos/qiao/PathFinding.js/git/commits/fc40826825125b9f5d7de2043918fa79e2fcdb68,fc40826825125b9f5d7de2043918fa79e2fcdb68,Bump version to 0.4.14
imor,2014-12-31 12:31:58,https://api.github.com/repos/qiao/PathFinding.js/git/commits/b77fd67ee02329bd25fe224689dcd8434262c282,b77fd67ee02329bd25fe224689dcd8434262c282,"Fix exception on missing options object

If the JumpPointFinder constructor was not passed the options object there
was a ReferenceError."
imor,2014-12-28 12:04:05,https://api.github.com/repos/qiao/PathFinding.js/git/commits/422ff11cc6c5cdadfd8a142888727fe4f5c52aab,422ff11cc6c5cdadfd8a142888727fe4f5c52aab,"Make octile heuristic the default for diagonal movement

The same change as the last commit for BiAStar and IDAStart finders"
imor,2014-12-27 14:38:24,https://api.github.com/repos/qiao/PathFinding.js/git/commits/83d25e82145f97ed7ab084b2d1b0b9fb2b8488f0,83d25e82145f97ed7ab084b2d1b0b9fb2b8488f0,"Make octile heuristic the default for diagonal movement

The manhattan heuristic is not admissible when diagonal movement
is allowed. To fix this when diagonal movement is allowd the
default heuristic will be octile."
imor,2014-12-25 05:10:18,https://api.github.com/repos/qiao/PathFinding.js/git/commits/5c83c9e26307ab97ec1337234039dd26c0888993,5c83c9e26307ab97ec1337234039dd26c0888993,"Merge pull request #83 from thathert/master

Update README, reorder finder list to match docs"
