py-faster-rcnn,Faster R-CNN (Python implementation) -- see https://github.com/ShaoqingRen/faster_rcnn for the official MATLAB version
username,timestamp,url,sha,message
rbgirshick,2018-01-23 05:58:28,https://api.github.com/repos/rbgirshick/py-faster-rcnn/git/commits/781a917b378dbfdedb45b6a56189a31982da1b43,781a917b378dbfdedb45b6a56189a31982da1b43,Please see Detectron
rbgirshick,2017-09-09 15:07:09,https://api.github.com/repos/rbgirshick/py-faster-rcnn/git/commits/4e199d792f625cf712ca9b9a16278bafe0806201,4e199d792f625cf712ca9b9a16278bafe0806201,"Merge pull request #682 from Queuecumber/master

Update README With Workaroung for Recent CUDA/cuDNN"
Queuecumber,2017-09-08 02:46:38,https://api.github.com/repos/rbgirshick/py-faster-rcnn/git/commits/2521b931118e38dee8b055fd152f7ac013e05a19,2521b931118e38dee8b055fd152f7ac013e05a19,Update README With Workaroung for Recent CUDA/cuDNN
rbgirshick,2017-04-03 16:00:35,https://api.github.com/repos/rbgirshick/py-faster-rcnn/git/commits/88684f2a00918d67ba6bd3ea4c49e32aa4a2f485,88684f2a00918d67ba6bd3ea4c49e32aa4a2f485,update links
rbgirshick,2016-03-08 16:59:36,https://api.github.com/repos/rbgirshick/py-faster-rcnn/git/commits/96dc9f1dea3087474d6da5a98879072901ee9bf9,96dc9f1dea3087474d6da5a98879072901ee9bf9,Force LRN engine to CAFFE (fixes major perf bug when engine defaults to CUDNN)
rbgirshick,2016-03-06 21:40:28,https://api.github.com/repos/rbgirshick/py-faster-rcnn/git/commits/8ff49d3329bc38df09c1fe377f1f5ab486b38d67,8ff49d3329bc38df09c1fe377f1f5ab486b38d67,Release a COCO Faster R-CNN model
rbgirshick,2016-02-29 01:28:06,https://api.github.com/repos/rbgirshick/py-faster-rcnn/git/commits/5f043015bd877d71ef4037b6c7cb80085e59e5ba,5f043015bd877d71ef4037b6c7cb80085e59e5ba,Remove cython generated files
rbgirshick,2016-02-24 00:07:34,https://api.github.com/repos/rbgirshick/py-faster-rcnn/git/commits/68eec9597f914d7fa079e7616abe78357b255fdd,68eec9597f914d7fa079e7616abe78357b255fdd,Add COCO val2014 (set) minus minival2014
rbgirshick,2016-02-16 20:58:38,https://api.github.com/repos/rbgirshick/py-faster-rcnn/git/commits/d66cc2bff142ca07f521db06ca3e9e10dbc8df20,d66cc2bff142ca07f521db06ca3e9e10dbc8df20,MS COCO dataset support
rbgirshick,2016-02-16 17:00:56,https://api.github.com/repos/rbgirshick/py-faster-rcnn/git/commits/4520c19285094f09f5361c7a3590817513829609,4520c19285094f09f5361c7a3590817513829609,Add pycocotools (start of COCO support in master)
rbgirshick,2016-02-13 18:39:57,https://api.github.com/repos/rbgirshick/py-faster-rcnn/git/commits/ad1570f7c0651c1b39a561883f5cf066a406a2ee,ad1570f7c0651c1b39a561883f5cf066a406a2ee,Update memory requirements
rbgirshick,2016-02-13 18:33:34,https://api.github.com/repos/rbgirshick/py-faster-rcnn/git/commits/cd4faa98d4aed95393a486baf24d5eade15851a5,cd4faa98d4aed95393a486baf24d5eade15851a5,"Merge pull request #59 from Dectinc/master

Fix typo"
rbgirshick,2016-02-13 18:33:04,https://api.github.com/repos/rbgirshick/py-faster-rcnn/git/commits/8b1c00e437b7b03f3cf135133a8a0246b860367f,8b1c00e437b7b03f3cf135133a8a0246b860367f,"Merge pull request #78 from wangdelp/patch-1

Edit wget links to point to Oxford website"
wangdelp,2016-02-13 16:40:16,https://api.github.com/repos/rbgirshick/py-faster-rcnn/git/commits/06d204b981562e3436f812991aaed2746e3e9ba0,06d204b981562e3436f812991aaed2746e3e9ba0,"Edit wget links to point to Oxford website

Original link is down."
rbgirshick,2016-02-12 05:04:06,https://api.github.com/repos/rbgirshick/py-faster-rcnn/git/commits/45e0da9a246fab5fd86e8c96dc351be7f145499f,45e0da9a246fab5fd86e8c96dc351be7f145499f,"Python eval code, finally! (Thanks to @bharath272)"
rbgirshick,2016-02-11 16:43:14,https://api.github.com/repos/rbgirshick/py-faster-rcnn/git/commits/5ed26798f74f905d530e0a932e0590c3c3828977,5ed26798f74f905d530e0a932e0590c3c3828977,Input image compatibility layer for models trained with fb.resnet.torch
