react-native-elements,Cross Platform React Native UI Toolkit
username,timestamp,url,sha,message
iRoachie,2019-09-11 13:10:50,https://api.github.com/repos/react-native-training/react-native-elements/git/commits/e9ce7810f677618e664f994eb740134537a062ee,e9ce7810f677618e664f994eb740134537a062ee,"docs: Update source prop in avatar

Add link to react native Image docs"
vikrantnegi,2019-09-10 01:40:52,https://api.github.com/repos/react-native-training/react-native-elements/git/commits/99537c9c795855297812f8fffea297ee951f1ee2,99537c9c795855297812f8fffea297ee951f1ee2,docs: Typo in customisation  (#2052)
iRoachie,2019-09-09 04:06:11,https://api.github.com/repos/react-native-training/react-native-elements/git/commits/d8655891818e6cb0abc6d753d02d554d78548c40,d8655891818e6cb0abc6d753d02d554d78548c40,"chore: Bump react-native-ratings

Fixes #2029"
iRoachie,2019-09-05 03:39:40,https://api.github.com/repos/react-native-training/react-native-elements/git/commits/3bb4ecf84ebbd9d62815a220ae7b4ae6b2733388,3bb4ecf84ebbd9d62815a220ae7b4ae6b2733388,docs: Release 1.2.0 of website
iRoachie,2019-09-05 03:33:44,https://api.github.com/repos/react-native-training/react-native-elements/git/commits/443439af46e31e6ed2652e6fe64abd8e5c4d2241,443439af46e31e6ed2652e6fe64abd8e5c4d2241,chore: Bump package version
iRoachie,2019-09-05 03:32:51,https://api.github.com/repos/react-native-training/react-native-elements/git/commits/5ea8dd1bfa7ff33950569dcee9b120ca18eea5bd,5ea8dd1bfa7ff33950569dcee9b120ca18eea5bd,1.2.0 #1866
milesimarco,2019-09-05 02:31:47,https://api.github.com/repos/react-native-training/react-native-elements/git/commits/1a9f56d2cf2a577310bf4118374d19be2b836bfd,1a9f56d2cf2a577310bf4118374d19be2b836bfd,docs: Typo in troubleshooting.md (#2042)
iRoachie,2019-09-05 02:23:46,https://api.github.com/repos/react-native-training/react-native-elements/git/commits/209deedd18bdb31e82aeaa5e4f2c8e51913b4c74,209deedd18bdb31e82aeaa5e4f2c8e51913b4c74,"fix(Image): Blank placeholder when source is null (#2051)

Fixes a bug where when the source on Avatar is set to null, then the title would never show.

```jsx
<Avatar title=""MD"" source={null} />
```

The result would just be grey. This is because the Image component was explicitly checking if attributes.source was 'undefined'."
iRoachie,2019-09-05 01:12:16,https://api.github.com/repos/react-native-training/react-native-elements/git/commits/f7235ecdf6a348515e8473cdde16bf74eee80bd7,f7235ecdf6a348515e8473cdde16bf74eee80bd7,"fix: Regression with initial context value

 Bug introduced in https://github.com/react-native-training/react-native-elements/commit/49ca4d0f2d306d01d8e42d90bd57e2978d016d3c"
iRoachie,2019-09-04 00:11:31,https://api.github.com/repos/react-native-training/react-native-elements/git/commits/3aff74e7218785ebeb23b4714c647b15fa556d23,3aff74e7218785ebeb23b4714c647b15fa556d23,"docs(ListItem): Add missing props to examples

Adds props `bottomDivider` and `chevron` to some code examples to match the images.

Resolves #2035"
iRoachie,2019-09-03 11:03:08,https://api.github.com/repos/react-native-training/react-native-elements/git/commits/49ca4d0f2d306d01d8e42d90bd57e2978d016d3c,49ca4d0f2d306d01d8e42d90bd57e2978d016d3c,"feat: Export ThemeContext for usage with hooks (#2049)

Resolves #2007"
iRoachie,2019-09-03 10:10:46,https://api.github.com/repos/react-native-training/react-native-elements/git/commits/80d00700266f62b9d607ca073d7dca7d404389cf,80d00700266f62b9d607ca073d7dca7d404389cf,"docs: Add react-native-web usage (#2048)

Resolves #1957"
iRoachie,2019-09-02 01:40:25,https://api.github.com/repos/react-native-training/react-native-elements/git/commits/09327731c4e107a755538559e52f5f5c71607350,09327731c4e107a755538559e52f5f5c71607350,"docs: Give rn0.60.0 note more attention

Highlight changes with linking react-native-vector-icons"
iRoachie,2019-08-30 08:48:37,https://api.github.com/repos/react-native-training/react-native-elements/git/commits/01fc42625ece49649058aab4a254e09909a9cd28,01fc42625ece49649058aab4a254e09909a9cd28,"feat(SearchBar-ios): Add showCancel prop (#2039)

Allows the cancel button of the search bar to remain visible after blur events.
Resolves #1303"
v1b3m,2019-08-26 16:55:14,https://api.github.com/repos/react-native-training/react-native-elements/git/commits/f8324b87f4ede69080eebb050e0c16025bdbe3eb,f8324b87f4ede69080eebb050e0c16025bdbe3eb,"docs: Add react-native-vector-icons info for rn0.6.0 (#2037)

For react-native versions from 0.6.0 and above, linking is done automatically and shouldn't be done manually."
paulmathis,2019-08-23 12:43:33,https://api.github.com/repos/react-native-training/react-native-elements/git/commits/e26e7315184d8669e673f281cfa47d87659e61af,e26e7315184d8669e673f281cfa47d87659e61af,fix(types): Allow passing component for Input label (#2008)
