RBBAnimation,"Block-based animations made easy, comes with easing functions and a CASpringAnimation replacement."
username,timestamp,url,sha,message
robb,2015-10-10 12:13:40,https://api.github.com/repos/robb/RBBAnimation/git/commits/fb14d7b841d96fa3341ed52be1ace0bb49ea91ef,fb14d7b841d96fa3341ed52be1ace0bb49ea91ef,"Merge pull request #25 from wearezeta/master

Fix error in ease out quart easing function"
robb,2015-08-11 13:32:38,https://api.github.com/repos/robb/RBBAnimation/git/commits/07d79f57b37373bac9d9c9e5c27487d9a9f8720b,07d79f57b37373bac9d9c9e5c27487d9a9f8720b,"Merge pull request #23 from wearezeta/master

Add exponentional easing functions"
mikeger,2015-08-11 13:20:22,https://api.github.com/repos/robb/RBBAnimation/git/commits/ebe6318b435b98b0cceb890930a09311b23bbf89,ebe6318b435b98b0cceb890930a09311b23bbf89,Fixed formatting (again)
robb,2015-08-10 15:52:20,https://api.github.com/repos/robb/RBBAnimation/git/commits/7fbcebb42b0e2cee0a49dbc54f23993a54859b55,7fbcebb42b0e2cee0a49dbc54f23993a54859b55,"Merge pull request #24 from robb/updates

Spring cleaning"
robb,2015-08-10 15:47:09,https://api.github.com/repos/robb/RBBAnimation/git/commits/bc6409e21a1b43b499dca1014c81f8a81c06a53d,bc6409e21a1b43b499dca1014c81f8a81c06a53d,Update SDKROOT
robb,2015-08-10 15:30:08,https://api.github.com/repos/robb/RBBAnimation/git/commits/0d2263be1c4d20a5031fcf7ab779fb41785cc495,0d2263be1c4d20a5031fcf7ab779fb41785cc495,Simplify .travis.yml
robb,2015-08-10 15:24:30,https://api.github.com/repos/robb/RBBAnimation/git/commits/7ae8dca042a6e5c5397938f2cee1a7e80cb91367,7ae8dca042a6e5c5397938f2cee1a7e80cb91367,Spring cleaning
mikeger,2015-08-10 11:47:05,https://api.github.com/repos/robb/RBBAnimation/git/commits/6c72523baaf1c93a40ac1021b21ef3c02f41dcbf,6c72523baaf1c93a40ac1021b21ef3c02f41dcbf,32/64 bit compatibility issue fixed
robb,2014-06-19 23:24:12,https://api.github.com/repos/robb/RBBAnimation/git/commits/6adfd3b848727323dfc2a4a76a2ec22c74dfefd2,6adfd3b848727323dfc2a4a76a2ec22c74dfefd2,"Merge pull request #17 from hepengzhang/patch-1

Add support for iOS 6.1+ for podspec"
hepengzhang,2014-06-19 22:02:47,https://api.github.com/repos/robb/RBBAnimation/git/commits/98a907865fe5dbec994c47d828846f6b62bec6f2,98a907865fe5dbec994c47d828846f6b62bec6f2,Add support for iOS 6.1+ for podspec
robb,2014-04-14 20:53:24,https://api.github.com/repos/robb/RBBAnimation/git/commits/a84ae97512e47656d239081e02870f806064efca,a84ae97512e47656d239081e02870f806064efca,Version 0.4.0
robb,2014-04-13 09:35:05,https://api.github.com/repos/robb/RBBAnimation/git/commits/0cc8186ee74def1b7971e83424878cbcf3f10366,0cc8186ee74def1b7971e83424878cbcf3f10366,"Merge pull request #15 from robb/color-support

Add Color support"
robb,2014-04-12 10:41:14,https://api.github.com/repos/robb/RBBAnimation/git/commits/c926487dd395f82bea85d02a7285e086e0be3780,c926487dd395f82bea85d02a7285e086e0be3780,Fix specs on 10.8
robb,2014-04-12 10:23:35,https://api.github.com/repos/robb/RBBAnimation/git/commits/7c4de1d778b404f1d65285c252be69514fb93a05,7c4de1d778b404f1d65285c252be69514fb93a05,Extract variable in specs
robb,2014-04-12 10:22:08,https://api.github.com/repos/robb/RBBAnimation/git/commits/3de8a6ccb02b86aa9001ef639878b166b6d07f49,3de8a6ccb02b86aa9001ef639878b166b6d07f49,"Merge branch 'master' into color-support

Conflicts:
	.travis.yml"
robb,2014-04-12 10:20:46,https://api.github.com/repos/robb/RBBAnimation/git/commits/cbc0c9637e2ca4c6b0161e234a81c4ebf17fb258,cbc0c9637e2ca4c6b0161e234a81c4ebf17fb258,"Merge pull request #16 from robb/new-build-script

Update build script"
robb,2014-04-11 18:30:37,https://api.github.com/repos/robb/RBBAnimation/git/commits/e8c75215f04166012cfc74d5786ec44a11d59136,e8c75215f04166012cfc74d5786ec44a11d59136,Run tests on iphonesimulator
robb,2014-04-11 18:25:01,https://api.github.com/repos/robb/RBBAnimation/git/commits/650249f48e5053d263bcdbe7b92decb7daef31ff,650249f48e5053d263bcdbe7b92decb7daef31ff,Update build script
robb,2014-04-11 15:26:02,https://api.github.com/repos/robb/RBBAnimation/git/commits/1ca4b8e68e20a22018f17d0a8b6654434ba0b064,1ca4b8e68e20a22018f17d0a8b6654434ba0b064,Set iOS deployment target to 7.0
robb,2014-04-11 15:24:36,https://api.github.com/repos/robb/RBBAnimation/git/commits/bad61a0a334e5acdaa886a2d15c3897304f1a41a,bad61a0a334e5acdaa886a2d15c3897304f1a41a,Make color interpolation work on 10.8
robb,2014-04-11 15:12:45,https://api.github.com/repos/robb/RBBAnimation/git/commits/f30538c31d33e19481b2f7d14f7e7cedd2b42075,f30538c31d33e19481b2f7d14f7e7cedd2b42075,*sigh*
robb,2014-04-11 15:05:43,https://api.github.com/repos/robb/RBBAnimation/git/commits/dc831ada3490ba05be3ca847980f8d3f4509cfdc,dc831ada3490ba05be3ca847980f8d3f4509cfdc,Merge branch 'master' into color-support
robb,2014-04-11 15:05:35,https://api.github.com/repos/robb/RBBAnimation/git/commits/8794f33dbde48498250d9b4058035fdab43f4ec7,8794f33dbde48498250d9b4058035fdab43f4ec7,Return xcodebuild exit code
robb,2014-04-11 14:52:34,https://api.github.com/repos/robb/RBBAnimation/git/commits/fb1fbd052040c99854fc99d64f016fc7cef9f6b5,fb1fbd052040c99854fc99d64f016fc7cef9f6b5,Add specs for RBBLinearInterpolation
robb,2014-04-11 14:52:24,https://api.github.com/repos/robb/RBBAnimation/git/commits/cdb698ab7450863edc6d79affb1a4094a4db340b,cdb698ab7450863edc6d79affb1a4094a4db340b,Relax type compatibility requirements
robb,2014-04-11 13:37:08,https://api.github.com/repos/robb/RBBAnimation/git/commits/bf483928c2d6987a8378404f925fa6a149e603cf,bf483928c2d6987a8378404f925fa6a149e603cf,Refactor platform specifics
