Respond,"A fast & lightweight polyfill for min/max-width CSS3 Media Queries (for IE 6-8, and more)"
username,timestamp,url,sha,message
jefflembeck,2017-01-27 06:50:19,https://api.github.com/repos/scottjehl/Respond/git/commits/9d91fd47eb59c11a80d570d4ea0beaa59cfc71bf,9d91fd47eb59c11a80d570d4ea0beaa59cfc71bf,"Merge pull request #348 from SuriyaaKudoIsc/patch-1

Set links from http:// to https://"
jefflembeck,2017-01-27 06:48:11,https://api.github.com/repos/scottjehl/Respond/git/commits/be6167b5e91d11a9257f25a9015e30452830c2ad,be6167b5e91d11a9257f25a9015e30452830c2ad,"Merge pull request #363 from amilajack/patch-1

Added readme syntax highlighting fixes"
amilajack,2016-08-15 03:58:12,https://api.github.com/repos/scottjehl/Respond/git/commits/7604e83d85477120dc258f889b958944ab46812d,7604e83d85477120dc258f889b958944ab46812d,Added readme syntax highlighting fixes
SuriyaaKudoIsc,2015-12-12 15:22:09,https://api.github.com/repos/scottjehl/Respond/git/commits/4670dc0b8549aec95146b0f793dd14dfcdd3d6bd,4670dc0b8549aec95146b0f793dd14dfcdd3d6bd,Set link from http:// to https://
SuriyaaKudoIsc,2015-12-12 15:19:28,https://api.github.com/repos/scottjehl/Respond/git/commits/5a94d67b266ae5c4aa9fcb17306e11d4ae5c7786,5a94d67b266ae5c4aa9fcb17306e11d4ae5c7786,Set link from http:// to https://
SuriyaaKudoIsc,2015-12-12 15:19:08,https://api.github.com/repos/scottjehl/Respond/git/commits/e9fcbc33223a3a8475f383140914b59a01898cad,e9fcbc33223a3a8475f383140914b59a01898cad,Set link from http:// to https://
SuriyaaKudoIsc,2015-12-12 15:18:45,https://api.github.com/repos/scottjehl/Respond/git/commits/e081b8f9de2587fa59505726003ef68a20154a90,e081b8f9de2587fa59505726003ef68a20154a90,Set link from http:// to https://
SuriyaaKudoIsc,2015-12-12 15:18:16,https://api.github.com/repos/scottjehl/Respond/git/commits/3a9a587b36c8ea8ae2ba051fa4e83c57d5fa4f3f,3a9a587b36c8ea8ae2ba051fa4e83c57d5fa4f3f,Set link from http:// to https://
SuriyaaKudoIsc,2015-12-12 15:17:24,https://api.github.com/repos/scottjehl/Respond/git/commits/4789e4b08fb78a6efacfafcdc3f6679b50124ab0,4789e4b08fb78a6efacfafcdc3f6679b50124ab0,Set some links from http:// to https://
SuriyaaKudoIsc,2015-12-12 15:15:46,https://api.github.com/repos/scottjehl/Respond/git/commits/68a5e9d4b959b62314b7a15d527971a5d0eb5ee9,68a5e9d4b959b62314b7a15d527971a5d0eb5ee9,Set links from http:// to https://
