select2,"Select2 is a jQuery based replacement for select boxes. It supports searching, remote data sets, and infinite scrolling of results."
username,timestamp,url,sha,message
kevin-brown,2019-09-12 03:53:51,https://api.github.com/repos/select2/select2/git/commits/233424da2b837e9c464df87bb33ffc5ce0b86779,233424da2b837e9c464df87bb33ffc5ce0b86779,"Merge pull request #5639 from select2/github-actions-updates

GitHub Actions updates"
kevin-brown,2019-09-12 03:49:02,https://api.github.com/repos/select2/select2/git/commits/2e4c11339c819154d9b7815637ca772aa55278f9,2e4c11339c819154d9b7815637ca772aa55278f9,"Disable deploying to GPM

We have to wait to be cleared for the private beta access first before we can actually deploy to this."
kevin-brown,2019-09-12 03:48:01,https://api.github.com/repos/select2/select2/git/commits/3bc5e4ee401ce4fecf9c9ed80540cb806462ce25,3bc5e4ee401ce4fecf9c9ed80540cb806462ce25,Update README with new docs location
kevin-brown,2019-09-12 03:44:21,https://api.github.com/repos/select2/select2/git/commits/5f78d824aca072d18e1e3271aac56d01ea8fb1e1,5f78d824aca072d18e1e3271aac56d01ea8fb1e1,"Swap Travis CI badge with GitHub Actions badge

Since it's still in a private beta, we can't link to anything useful so the link has been dropped"
kevin-brown,2019-09-12 03:34:01,https://api.github.com/repos/select2/select2/git/commits/581308337ad6af6b88068b77573a62d8f896ee7d,581308337ad6af6b88068b77573a62d8f896ee7d,"Merge pull request #5638 from select2/github-actions

Enable GitHub Actions to replace Travis CI"
kevin-brown,2019-09-12 03:27:04,https://api.github.com/repos/select2/select2/git/commits/7688be5db554d47337b45d5fa3ab67311f10b250,7688be5db554d47337b45d5fa3ab67311f10b250,Only deploy docs on releases
kevin-brown,2019-09-12 03:15:02,https://api.github.com/repos/select2/select2/git/commits/e1d64e92c427839221b44d1582f84d26b1582524,e1d64e92c427839221b44d1582f84d26b1582524,HOST_FINGERPRINT is also required but unused
kevin-brown,2019-09-12 03:12:52,https://api.github.com/repos/select2/select2/git/commits/a31d56d47b4ffd21022562704ed23dcf76fbae12,a31d56d47b4ffd21022562704ed23dcf76fbae12,HOST_IP is also required but unused
kevin-brown,2019-09-12 03:10:22,https://api.github.com/repos/select2/select2/git/commits/120065ed4682469f13497b1d090725dc5fe36f34,120065ed4682469f13497b1d090725dc5fe36f34,SSH_PUBLIC_KEY is required but unused
kevin-brown,2019-09-12 03:07:31,https://api.github.com/repos/select2/select2/git/commits/c95ed1796a07c1fac11e95d6212abcaea50836e3,c95ed1796a07c1fac11e95d6212abcaea50836e3,Switch to using rsync
kevin-brown,2019-09-12 02:59:11,https://api.github.com/repos/select2/select2/git/commits/dea726d065e0b053521aea7a62ccc2b9db004dfc,dea726d065e0b053521aea7a62ccc2b9db004dfc,Use new syntax for args
kevin-brown,2019-09-12 02:57:24,https://api.github.com/repos/select2/select2/git/commits/bff3a777ae76a3d10daf0a704301d1beec328547,bff3a777ae76a3d10daf0a704301d1beec328547,"Try using strip.components with drone-scp

This should, in theory, strip out the leading docs directory when doing the copy."
kevin-brown,2019-09-12 02:51:44,https://api.github.com/repos/select2/select2/git/commits/29d01a00c5d2c13d5bfde50c8afe76b909f1ebad,29d01a00c5d2c13d5bfde50c8afe76b909f1ebad,"Move docs into root directory before copying

Hopefully this fixes the issue where it was unpacking the enitre directory into the destination instead of the individually specified files."
kevin-brown,2019-09-12 02:35:52,https://api.github.com/repos/select2/select2/git/commits/b3c6d3ebfe9e60dfa09583b092e26b2d00849f2f,b3c6d3ebfe9e60dfa09583b092e26b2d00849f2f,Remove trailing slash on destination directory
kevin-brown,2019-09-12 02:29:43,https://api.github.com/repos/select2/select2/git/commits/5e32678e494356941196b641ac83992a4f5d8ea7,5e32678e494356941196b641ac83992a4f5d8ea7,Proper syntax for copying dir contents
kevin-brown,2019-09-12 02:20:38,https://api.github.com/repos/select2/select2/git/commits/c891d2ec7218b40231bc7a62d46112b398aef7d1,c891d2ec7218b40231bc7a62d46112b398aef7d1,Deploy docs to the production location
kevin-brown,2019-09-12 02:14:18,https://api.github.com/repos/select2/select2/git/commits/8cb7e33766f4b90bc7198171e70cf1834c8296ff,8cb7e33766f4b90bc7198171e70cf1834c8296ff,Fix copying directory during deployment
kevin-brown,2019-09-11 08:03:38,https://api.github.com/repos/select2/select2/git/commits/b4c3eccd7b0570bf4f33deaf78655d564742b492,b4c3eccd7b0570bf4f33deaf78655d564742b492,Merge branch 'docs-master' into merge-docs
kevin-brown,2019-09-12 01:56:24,https://api.github.com/repos/select2/select2/git/commits/3606801728966fadbdd7e0a7232089da26b3ca0a,3606801728966fadbdd7e0a7232089da26b3ca0a,"Remove old documentation

This is no longer used for deploying the old GitHub pages doucmentation."
kevin-brown,2019-09-12 01:49:00,https://api.github.com/repos/select2/select2/git/commits/fe208f1f86c5aa9788ceb6aeea585d51967cd3a8,fe208f1f86c5aa9788ceb6aeea585d51967cd3a8,"Added workflow for deploying documentation

This does not yet deploy the actual documentation, but it instead deploys the old docs (which are now redirects) to a temporary folder for testing."
kevin-brown,2019-09-12 01:22:02,https://api.github.com/repos/select2/select2/git/commits/891993e39bfbe50e1550d59fcc6f5cae29b0648c,891993e39bfbe50e1550d59fcc6f5cae29b0648c,"Renamed deploy.yml to package-deploy.yml

Eventually we are going to want to do documentation deployments so it makes sense to split them up."
kevin-brown,2019-09-12 01:15:02,https://api.github.com/repos/select2/select2/git/commits/dafddb73c8fae24dd3b551901d3ae72c560a10fe,dafddb73c8fae24dd3b551901d3ae72c560a10fe,Made NPM deployment step consistent with GPM
kevin-brown,2019-09-12 01:13:28,https://api.github.com/repos/select2/select2/git/commits/7b1367c6a0516a044f8c0cf19521d6c0f2b51feb,7b1367c6a0516a044f8c0cf19521d6c0f2b51feb,"Switch to only deploying when pushing to develop/master

Hopefully this still allows the release trigger to work, but this is relying on undocumented behaviour that nobody else appears to have tried."
kevin-brown,2019-09-11 08:02:16,https://api.github.com/repos/select2/select2/git/commits/e0560c74f79b9d53391aa62ccea49a8f8c6903fe,e0560c74f79b9d53391aa62ccea49a8f8c6903fe,Move documentation to the docs folder
kevin-brown,2019-09-12 01:09:53,https://api.github.com/repos/select2/select2/git/commits/748d279107173cb1e57541bff6de85c71a954f07,748d279107173cb1e57541bff6de85c71a954f07,"Extract NPM deployment out to different workflow

This will allow us to limit what branches it runs on."
kevin-brown,2019-09-12 00:57:40,https://api.github.com/repos/select2/select2/git/commits/82c51a319c3ca5ecd4ccb4256166627bf47c4e43,82c51a319c3ca5ecd4ccb4256166627bf47c4e43,Remove dry run from publish
kevin-brown,2019-09-11 00:56:45,https://api.github.com/repos/select2/select2/git/commits/8b9a99d286eafda30c90130869542eee35cf503f,8b9a99d286eafda30c90130869542eee35cf503f,Enable dry runs for publishing
kevin-brown,2019-09-11 00:07:35,https://api.github.com/repos/select2/select2/git/commits/91838fe0a627ed4095782875c04ace46bd26abf1,91838fe0a627ed4095782875c04ace46bd26abf1,"Add deploying to GPM and NPM

This also adds a handler for the release event, which is what we want to be using for pushing NPM builds out."
kevin-brown,2019-09-10 23:44:27,https://api.github.com/repos/select2/select2/git/commits/ffd98a493bb7e3a8c5676cc7f371d3d206d69d09,ffd98a493bb7e3a8c5676cc7f371d3d206d69d09,"Add steps for linting, minification, start deployments

The deployment step is not yet finished and this required splitting linting from running tests."
kevin-brown,2019-09-10 23:28:41,https://api.github.com/repos/select2/select2/git/commits/6758bb50b90d041af2717c86f72d20b1f853e621,6758bb50b90d041af2717c86f72d20b1f853e621,Fixed GitHub Actions syntax
kevin-brown,2019-09-10 23:21:22,https://api.github.com/repos/select2/select2/git/commits/f025d675a9d511d3dbe2511fd50cbf2f3c47bdc5,f025d675a9d511d3dbe2511fd50cbf2f3c47bdc5,Added basic GitHub Actions workflow to build the project
kevin-brown,2019-08-29 01:27:53,https://api.github.com/repos/select2/select2/git/commits/d6acc57a7c229ee91a76f5c4a5784447ed522e1e,d6acc57a7c229ee91a76f5c4a5784447ed522e1e,"Merge pull request #42 from select2/develop

Release Select2 4.0.10"
kevin-brown,2019-08-29 01:26:12,https://api.github.com/repos/select2/select2/git/commits/7f0800cebad3dbeddb077b79902e1d4638656b36,7f0800cebad3dbeddb077b79902e1d4638656b36,Bump versions for 4.0.10 release
kevin-brown,2019-08-28 03:05:53,https://api.github.com/repos/select2/select2/git/commits/2a80567151453cc5866e6df9dc6991fafc20a7ca,2a80567151453cc5866e6df9dc6991fafc20a7ca,"Merge pull request #5623 from select2/release/4.0.10

[Release] 4.0.10"
kevin-brown,2019-08-28 03:03:06,https://api.github.com/repos/select2/select2/git/commits/3d52d0806349880b8e7b4b37c4e1930946a5f794,3d52d0806349880b8e7b4b37c4e1930946a5f794,Updated changelog for 4.0.10
kevin-brown,2019-08-28 03:02:40,https://api.github.com/repos/select2/select2/git/commits/5f1a91c4471c427e6cd9c6f461a2be30d5cb1ecb,5f1a91c4471c427e6cd9c6f461a2be30d5cb1ecb,Recompiled dist for 4.0.10
kevin-brown,2019-08-28 02:58:05,https://api.github.com/repos/select2/select2/git/commits/919373e481368887fa2a9014482ccd0a4ff288d4,919373e481368887fa2a9014482ccd0a4ff288d4,Bump versions for 4.0.10 release
kevin-brown,2019-08-28 02:56:27,https://api.github.com/repos/select2/select2/git/commits/64e829e447b387dfb1af02cadab1ca380621a5cb,64e829e447b387dfb1af02cadab1ca380621a5cb,Converting tests to unix newlines
