JSIL,CIL to Javascript Compiler
username,timestamp,url,sha,message
kg,2017-03-09 09:59:50,https://api.github.com/repos/sq/JSIL/git/commits/1d57d5427c87ab92ffa3ca4b82429cd7509796ba,1d57d5427c87ab92ffa3ca4b82429cd7509796ba,"Merge pull request #1042 from mdaveynis/AsyncImprovements

Async improvements"
mdaveynis,2017-03-08 05:01:55,https://api.github.com/repos/sq/JSIL/git/commits/8cec982d3c286d7126a958565fa45ebfe40cc6e3,8cec982d3c286d7126a958565fa45ebfe40cc6e3,Fixed calling awaiter with Task.FromResult
mdaveynis,2017-03-08 01:47:19,https://api.github.com/repos/sq/JSIL/git/commits/f073ad32f74a8088307e695d6bbc84b81afd35a3,f073ad32f74a8088307e695d6bbc84b81afd35a3,Fixed formatting.
kg,2017-02-25 21:35:45,https://api.github.com/repos/sq/JSIL/git/commits/d1914faf9f5d4b5bdbb550ad614ca2e61a47e148,d1914faf9f5d4b5bdbb550ad614ca2e61a47e148,"Merge pull request #1038 from iskiselev/Unsigned_Comparison_1037

Support for unsigned comparison"
kg,2017-02-24 03:57:46,https://api.github.com/repos/sq/JSIL/git/commits/2751b07d9264bad996a3b8c0d19a7b3df704c9fa,2751b07d9264bad996a3b8c0d19a7b3df704c9fa,"Merge pull request #1036 from SabaSoftware/Assembly_GetType_1035

Assembly.GetType fixed"
invalid-email-address,2017-02-24 02:03:48,https://api.github.com/repos/sq/JSIL/git/commits/0cfbf85153730c7e1bec08b949d8287363162245,0cfbf85153730c7e1bec08b949d8287363162245,Fixed failed test.
invalid-email-address,2017-02-24 00:13:31,https://api.github.com/repos/sq/JSIL/git/commits/9d1c35f0f72f588f6b362fceb927d4e95146597b,9d1c35f0f72f588f6b362fceb927d4e95146597b,Assembly.GetType fixed (#1035)
kg,2016-11-02 21:33:20,https://api.github.com/repos/sq/JSIL/git/commits/855b75391c5e1304d5f012e3502b135a676651e5,855b75391c5e1304d5f012e3502b135a676651e5,"Merge pull request #1027 from iskiselev/OutOfProcessBuild

Use same executable for out-of-process build"
iskiselev,2016-11-02 21:30:58,https://api.github.com/repos/sq/JSIL/git/commits/cbfb36a6ba5311181313de47fa8f4cb8bfdfef03,cbfb36a6ba5311181313de47fa8f4cb8bfdfef03,Use same executable for out-of-process build. Fix #1022.
kg,2016-07-22 20:56:48,https://api.github.com/repos/sq/JSIL/git/commits/b4f2ff8867a05158727bbd58e7c56b3fe0b009e7,b4f2ff8867a05158727bbd58e7c56b3fe0b009e7,"Merge pull request #1014 from wklingler/StringInsert

String insert"
iskiselev,2016-07-20 23:25:55,https://api.github.com/repos/sq/JSIL/git/commits/9ab152847aa4400bf9a5fc116b61c95416f2acba,9ab152847aa4400bf9a5fc116b61c95416f2acba,"Merge pull request #1011 from iskiselev/ArrayTypeResolve_1008_Test

Change test-case for mono compatibility"
iskiselev,2016-07-19 20:55:58,https://api.github.com/repos/sq/JSIL/git/commits/01e47404c1687bf2d4123d4fb3d144b654a6cf4f,01e47404c1687bf2d4123d4fb3d144b654a6cf4f,Change test-case for mono compatibility.
kg,2016-07-19 17:35:55,https://api.github.com/repos/sq/JSIL/git/commits/c88b89681487b50764967875c3071daa125802c9,c88b89681487b50764967875c3071daa125802c9,"Merge pull request #1010 from iskiselev/IsInstanceOfType

Type.IsInstanceOfType implemented"
kg,2016-07-19 17:35:44,https://api.github.com/repos/sq/JSIL/git/commits/5af92e67efe14af15cfcb05e9b673a2a216a4d45,5af92e67efe14af15cfcb05e9b673a2a216a4d45,"Merge pull request #1009 from iskiselev/ArrayTypeResolve_1008

Correct type resolution for arrays"
iskiselev,2016-07-19 17:29:09,https://api.github.com/repos/sq/JSIL/git/commits/042553a2a45b133b801862cbd89081818b127f4e,042553a2a45b133b801862cbd89081818b127f4e,Correct type resolution for arrays. Fix #1008.
iskiselev,2016-07-18 18:07:03,https://api.github.com/repos/sq/JSIL/git/commits/e1807c1e27aec7056a268fa523d8bbe4ab9020e3,e1807c1e27aec7056a268fa523d8bbe4ab9020e3,Type.IsInstanceOfType implemented.
kg,2016-07-17 19:14:40,https://api.github.com/repos/sq/JSIL/git/commits/949a993644eb7a0d858306db009154ce5ac25017,949a993644eb7a0d858306db009154ce5ac25017,"Merge pull request #994 from iskiselev/d.ts

Variance support for d.ts"
kg,2016-07-17 19:14:14,https://api.github.com/repos/sq/JSIL/git/commits/d37c9322304374a39e80a0b123e85078fdebcbae,d37c9322304374a39e80a0b123e85078fdebcbae,"Merge pull request #984 from iskiselev/ToBase64CharArray

System.Convert.ToBase64CharArray"
kg,2016-07-17 19:13:14,https://api.github.com/repos/sq/JSIL/git/commits/0e728221a46e7541149201419ef5c8fe31bd317b,0e728221a46e7541149201419ef5c8fe31bd317b,"Merge pull request #927 from mwh/StringFile

Implement variants on string operations, and File.OpenText"
kg,2016-07-01 12:14:50,https://api.github.com/repos/sq/JSIL/git/commits/9e719a6eaab3972a46bb069363d855f68632a595,9e719a6eaab3972a46bb069363d855f68632a595,"Merge pull request #998 from iskiselev/NullableUnary_997

Fixed translation of unary operations with nullable"
iskiselev,2016-07-01 05:51:48,https://api.github.com/repos/sq/JSIL/git/commits/bb96aae4987906fa6c292d67aa1692180db7a33b,bb96aae4987906fa6c292d67aa1692180db7a33b,Fixed translation of unary operations with nullable (#997).
iskiselev,2016-06-15 04:43:02,https://api.github.com/repos/sq/JSIL/git/commits/635a3e1abaa02223bd88ec7dfc5c53951be5f34c,635a3e1abaa02223bd88ec7dfc5c53951be5f34c,Variance support.
kg,2016-06-09 00:12:46,https://api.github.com/repos/sq/JSIL/git/commits/c924d3c7b652cee1ce571c5e15e811b8b5fed219,c924d3c7b652cee1ce571c5e15e811b8b5fed219,"Merge pull request #988 from iskiselev/d.ts

TypeScript DefinitelyTyped support"
iskiselev,2016-05-28 04:32:54,https://api.github.com/repos/sq/JSIL/git/commits/b6317cf58ba03d0818e57087bbd57ea8e84f9c36,b6317cf58ba03d0818e57087bbd57ea8e84f9c36,Interface method runtime dispatcher.
iskiselev,2016-05-27 22:20:17,https://api.github.com/repos/sq/JSIL/git/commits/9f156c66faa858485e428c2bf6ce623a1587f742,9f156c66faa858485e428c2bf6ce623a1587f742,Emit interface methods.
iskiselev,2016-05-26 03:02:22,https://api.github.com/repos/sq/JSIL/git/commits/80fb70c39a73a329e36ed8300a969908c96d88ea,80fb70c39a73a329e36ed8300a969908c96d88ea,Fixed JSIL.mscorlib naming.
iskiselev,2016-05-26 00:00:20,https://api.github.com/repos/sq/JSIL/git/commits/0040d36c1b9b8160873428f2f55a0a630895368d,0040d36c1b9b8160873428f2f55a0a630895368d,Fixed broken test.
kg,2016-05-13 02:15:04,https://api.github.com/repos/sq/JSIL/git/commits/5c92bdb68373116bb5ca0aff229d00949b59414d,5c92bdb68373116bb5ca0aff229d00949b59414d,"Merge pull request #986 from iskiselev/ArrayJSON

Array JSON.stringify interop fixed"
iskiselev,2016-05-12 22:09:13,https://api.github.com/repos/sq/JSIL/git/commits/b491d1b6bd324fddc39b763b443a4dfff7cf7f05,b491d1b6bd324fddc39b763b443a4dfff7cf7f05,"Use JSIL.SetValueProperty for ""__ElementType__"" array property."
