PSStackedView,open source implementation of Twitter/iPad stacked ui - done right.
username,timestamp,url,sha,message
steipete,2015-03-25 09:23:04,https://api.github.com/repos/steipete/PSStackedView/git/commits/1bc2e752c1aafb4c962fd12177477cfa66523a12,1bc2e752c1aafb4c962fd12177477cfa66523a12,"Merge pull request #63 from yuchan/64bit-build

upgrade compatibility with 64-bit architectures."
steipete,2014-09-19 13:27:52,https://api.github.com/repos/steipete/PSStackedView/git/commits/fc9cb96b60719ec3128959a96731e62063643fdf,fc9cb96b60719ec3128959a96731e62063643fdf,"Merge pull request #61 from ersjoh/fix-ios8

Fixed view bounds for iOS 8"
ersjoh,2014-09-19 13:05:56,https://api.github.com/repos/steipete/PSStackedView/git/commits/5cfd710549e815ea6f75a92bee9f16b7aa18fadf,5cfd710549e815ea6f75a92bee9f16b7aa18fadf,"Fixed view bounds for iOS 8

Fixed view bounds for rotating screen bounds under iOS 8."
steipete,2014-08-21 09:04:57,https://api.github.com/repos/steipete/PSStackedView/git/commits/4b38ea0f6401df9075ded97cb1aa7ab95b960551,4b38ea0f6401df9075ded97cb1aa7ab95b960551,"Merge pull request #60 from siuying/application-frame

When calculate size of view, use UIScreen.bounds instead of UIScreen.applicationFrame"
siuying,2014-08-19 04:37:56,https://api.github.com/repos/steipete/PSStackedView/git/commits/6fbb7140f507ea9ff2f439a5c976d931fa1d1453,6fbb7140f507ea9ff2f439a5c976d931fa1d1453,"When calculate size of view, use UIScreen.bounds instead of UIScreen.applicationFrame."
steipete,2014-08-07 22:12:35,https://api.github.com/repos/steipete/PSStackedView/git/commits/524b6e9954641da2ba00eef3b4508c1a3070995f,524b6e9954641da2ba00eef3b4508c1a3070995f,Update README.md
steipete,2014-02-11 17:56:11,https://api.github.com/repos/steipete/PSStackedView/git/commits/77f65d9afa3c5f029bd5257cefde28f6267e3027,77f65d9afa3c5f029bd5257cefde28f6267e3027,"Merge pull request #59 from kkrupovich/patch-1

Update PSStackedViewController.m"
kkrupovich,2014-02-11 16:32:33,https://api.github.com/repos/steipete/PSStackedView/git/commits/3c3814648ca5858bb2b5abb5cc06e926f3421b8d,3c3814648ca5858bb2b5abb5cc06e926f3421b8d,"Update PSStackedViewController.m

Issue with 64-bit architecture. It affects expand/collapse functionality."
steipete,2013-10-21 18:38:27,https://api.github.com/repos/steipete/PSStackedView/git/commits/2c4f3fa03349ece1c5c739b95af12a99d339a556,2c4f3fa03349ece1c5c739b95af12a99d339a556,"Merge pull request #56 from fabb/fix_menu_floatindex

fixed menu floatIndex calculation"
steipete,2013-10-21 18:38:13,https://api.github.com/repos/steipete/PSStackedView/git/commits/fdab79333ffe7e8ff1813fd523aec9e877792556,fdab79333ffe7e8ff1813fd523aec9e877792556,"Merge pull request #55 from fabb/menu_fix

added property to disable ""fast"" panning with 1px finger moves"
fabb,2013-10-21 18:01:04,https://api.github.com/repos/steipete/PSStackedView/git/commits/1b81d4f563d509de65ad6534951ce1a1103ddfd4,1b81d4f563d509de65ad6534951ce1a1103ddfd4,fixed menu floatIndex calculation
fabb,2013-10-21 10:39:05,https://api.github.com/repos/steipete/PSStackedView/git/commits/6bcb922d6810b03198c0c672bbaefc93289fbb28,6bcb922d6810b03198c0c672bbaefc93289fbb28,"added property to disable ""fast"" panning with 1px finger moves, but always enable snapping to nearest"
steipete,2013-10-21 17:03:17,https://api.github.com/repos/steipete/PSStackedView/git/commits/ae2b012197bf23c08f0818575c61a1f6474d8f4e,ae2b012197bf23c08f0818575c61a1f6474d8f4e,"Merge pull request #53 from fabb/master

fixed small drag to right not working, as offset in UIGestureRecognizerStateBegan always was 0"
fabb,2013-10-21 10:31:34,https://api.github.com/repos/steipete/PSStackedView/git/commits/f15c751bd745d99495ede556af54ff001eb7c618,f15c751bd745d99495ede556af54ff001eb7c618,"fixed small drag to right not working, as offset in UIGestureRecognizerStateBegan always was 0 (at least in iOS 7)"
steipete,2013-04-19 09:50:41,https://api.github.com/repos/steipete/PSStackedView/git/commits/f163e80d27392d8fae6fcf05dd79612e58bda241,f163e80d27392d8fae6fcf05dd79612e58bda241,"Merge pull request #47 from siancu/master

Wrong view size when rotating"
siancu,2013-04-19 09:32:35,https://api.github.com/repos/steipete/PSStackedView/git/commits/8b11964f2c8580df98cf478b15a6d9175c8d7033,8b11964f2c8580df98cf478b15a6d9175c8d7033,Fixed a parameter name.
siancu,2013-04-19 09:30:01,https://api.github.com/repos/steipete/PSStackedView/git/commits/6064eb4805f13350f2dbfea827b505b87b5cfd18,6064eb4805f13350f2dbfea827b505b87b5cfd18,Fixed an issue where the view's size was not correct when starting the app in portrait and then rotating to landscape.
steipete,2013-04-02 21:13:23,https://api.github.com/repos/steipete/PSStackedView/git/commits/21615a80ee87e8fa723da51171ac17a67cb9d453,21615a80ee87e8fa723da51171ac17a67cb9d453,"Merge pull request #46 from jeanregisser/fix_navigation_controller_swizzling

Fixed UIViewController.navigationController swizzling"
jeanregisser,2013-04-02 16:04:47,https://api.github.com/repos/steipete/PSStackedView/git/commits/43407af42cdb4dd8dbcd42c139fcac04d76321d7,43407af42cdb4dd8dbcd42c139fcac04d76321d7,"Fixed UINavigationController swizzling 

If PSStackedViewController was created more than once, the swizzling was 
reverted every two creations."
steipete,2013-03-21 11:29:16,https://api.github.com/repos/steipete/PSStackedView/git/commits/fb9bf4f364102609474c2acecadb6472b20b3647,fb9bf4f364102609474c2acecadb6472b20b3647,"Merge pull request #45 from Onejjy/master

Bugfixes and a new feature"
jlnquere,2013-03-21 11:04:31,https://api.github.com/repos/steipete/PSStackedView/git/commits/e6773f5127667d5bacfde6d66a6fa34db67b5ef1,e6773f5127667d5bacfde6d66a6fa34db67b5ef1,"PSSVContainerView transparentView bugfix

Sometimes, PSSVContainerView transparentView frame is not right (it do
not take the full ContainerView bounds). Fixed."
jlnquere,2013-03-21 10:49:28,https://api.github.com/repos/steipete/PSStackedView/git/commits/39cb5858091f96f5802f1ed9e9e1414ff56a7cf3,39cb5858091f96f5802f1ed9e9e1414ff56a7cf3,"Container height bugfix

Sometimes, PSStackedViewController do not set the good height to a
pushed viewController … Fixed."
jlnquere,2013-03-21 10:42:47,https://api.github.com/repos/steipete/PSStackedView/git/commits/e2860eb180ab4d7694fdafa8fb44b0a760874362,e2860eb180ab4d7694fdafa8fb44b0a760874362,"Adding enablePopOverlapedViewOnTap feature

Adding enablePopOverlapedViewOnTap to PSStackedViewController.

When true, overlaped views (with overlap ratio under
kPSSVOverlapMinimalValueToApplyDarkRatio) do not accept touches from
user. But, when view is tapped (via UITapGestureRecognizer), the stack
is poped to this viewController."
steipete,2013-03-06 11:28:35,https://api.github.com/repos/steipete/PSStackedView/git/commits/a60e0286fd92128c554f81163f8ad65a93d152ff,a60e0286fd92128c554f81163f8ad65a93d152ff,"Merge pull request #44 from Onejjy/master

Implementation of iOS5 childViewControllers"
jlnquere,2013-03-06 11:17:26,https://api.github.com/repos/steipete/PSStackedView/git/commits/4889118575d5a7dae223afe66e4eda0be8c3f02a,4889118575d5a7dae223afe66e4eda0be8c3f02a,"Using iOS5 childViewControllers …

Now, event relay methods are useless. UIKit handle it :)"
steipete,2013-02-19 12:51:35,https://api.github.com/repos/steipete/PSStackedView/git/commits/1e98242446d92b05d1dfb26953d1021c42116f72,1e98242446d92b05d1dfb26953d1021c42116f72,"Merge pull request #41 from nostradani/patch-1

Resolved class error in PSStackedViewDelegate"
nostradani,2013-02-19 12:08:35,https://api.github.com/repos/steipete/PSStackedView/git/commits/bab5dd5b693c13776e6b7f00934df6c25773697d,bab5dd5b693c13776e6b7f00934df6c25773697d,"Missing import for class

When defining a category, the base class must be imported"
nostradani,2013-02-19 11:42:06,https://api.github.com/repos/steipete/PSStackedView/git/commits/2eeecc66b440e26395b5573c3a58b33ee8d1c95a,2eeecc66b440e26395b5573c3a58b33ee8d1c95a,"Resolved class error in PSStackedViewDelegate

The delegate protocol currently is not inherently consisted, because UIViewController is not declared within this context."
steipete,2013-02-02 11:40:57,https://api.github.com/repos/steipete/PSStackedView/git/commits/c205e2233d918ee4e8a46dd2cd212d15dfbf7873,c205e2233d918ee4e8a46dd2cd212d15dfbf7873,"Merge pull request #39 from meiwin/master

couple of tweaks"
meiwin,2013-02-02 11:35:26,https://api.github.com/repos/steipete/PSStackedView/git/commits/f85762c410936e2f914529721e9756f54cd32465,f85762c410936e2f914529721e9756f54cd32465,"- supports disabling partial float
- tweak shadow for fully overlapped view controllers
- supports disabling panning for view controller
- tweak logic of calculating lastVisibleIndex"
steipete,2012-09-12 14:39:24,https://api.github.com/repos/steipete/PSStackedView/git/commits/642671ae2df01b7c44e652e741f5648ea88d0955,642671ae2df01b7c44e652e741f5648ea88d0955,"Merge pull request #35 from abillingsley/patch-1

Update PSStackedView.podspec"
steipete,2012-08-16 09:50:08,https://api.github.com/repos/steipete/PSStackedView/git/commits/4a0eeb38f35767450794a3e021e7e5005015768b,4a0eeb38f35767450794a3e021e7e5005015768b,update comment
steipete,2012-08-16 09:48:43,https://api.github.com/repos/steipete/PSStackedView/git/commits/9e53677e478c1172d5042ed04bae4c61f7b5d8b0,9e53677e478c1172d5042ed04bae4c61f7b5d8b0,"call didAppear after animation is complete, not before (fixes #25)"
steipete,2012-08-16 09:45:06,https://api.github.com/repos/steipete/PSStackedView/git/commits/707e6d9b3528decad74aa0dd0a4bd2e4cf36e2f7,707e6d9b3528decad74aa0dd0a4bd2e4cf36e2f7,merges https://github.com/FlyingJalapeno/PSStackedView/commit/d4c94529774f46418968a32c61edda2add3bfb3d
steipete,2012-08-16 09:45:01,https://api.github.com/repos/steipete/PSStackedView/git/commits/ae882ae6684cdb2e7a065a356a171ad8696a20bb,ae882ae6684cdb2e7a065a356a171ad8696a20bb,cleanup
steipete,2012-08-16 09:36:54,https://api.github.com/repos/steipete/PSStackedView/git/commits/a47237d32ff2f1a338acd79b44198b06cb0eecaf,a47237d32ff2f1a338acd79b44198b06cb0eecaf,update pod spec
steipete,2012-08-16 09:32:09,https://api.github.com/repos/steipete/PSStackedView/git/commits/1cc8e240fd3131eb4379dd9dca3dba2cf3db6305,1cc8e240fd3131eb4379dd9dca3dba2cf3db6305,"Merge pull request #29 from burtlo/storyboard-example

Add Storyboard example"
burtlo,2012-03-27 17:17:20,https://api.github.com/repos/steipete/PSStackedView/git/commits/6eb0a21cc042838380be55b34cb1b2a785db745f,6eb0a21cc042838380be55b34cb1b2a785db745f,"More stack navigation flow

  Instead of continually adding to the end this illustrates adding
  a view controller next to the current view controller."
burtlo,2012-03-27 17:16:16,https://api.github.com/repos/steipete/PSStackedView/git/commits/f385277a892bd89ade12b4b4f46b3ad42c0efd24,f385277a892bd89ade12b4b4f46b3ad42c0efd24,"Storyboard - Back Button

 Illustratrating a paging back feature on the view controllers"
burtlo,2012-03-27 17:16:05,https://api.github.com/repos/steipete/PSStackedView/git/commits/e7ca9c68e4c6df3434bb0117cc769719f1ada520,e7ca9c68e4c6df3434bb0117cc769719f1ada520,Pragma Mark Initialization
burtlo,2012-03-27 16:51:53,https://api.github.com/repos/steipete/PSStackedView/git/commits/6946f367c4efc19551b6e832e7400a85e937b4f8,6946f367c4efc19551b6e832e7400a85e937b4f8,Minor typos and misspellings
burtlo,2012-03-27 05:18:49,https://api.github.com/repos/steipete/PSStackedView/git/commits/b90d6dd956ccaa818b15f7c0f39dde8dbfac5263,b90d6dd956ccaa818b15f7c0f39dde8dbfac5263,RGB Test View Controllers
burtlo,2012-03-27 05:18:11,https://api.github.com/repos/steipete/PSStackedView/git/commits/dea7cf3be79a936be7d468fc537cb48c5396803d,dea7cf3be79a936be7d468fc537cb48c5396803d,InitWithCoder required initialization
burtlo,2012-03-27 05:13:37,https://api.github.com/repos/steipete/PSStackedView/git/commits/a1385fd199fa48039d86ab9515f5576fabeda118,a1385fd199fa48039d86ab9515f5576fabeda118,RootViewController setter creates relationship
burtlo,2012-03-27 04:55:57,https://api.github.com/repos/steipete/PSStackedView/git/commits/e53883208471d31cee70432c531163985067ef2c,e53883208471d31cee70432c531163985067ef2c,Storyboard StackControler with RootView Object
burtlo,2012-03-27 04:54:15,https://api.github.com/repos/steipete/PSStackedView/git/commits/5abc4edcce7321b963b78c2a6892ed91d69f6394,5abc4edcce7321b963b78c2a6892ed91d69f6394,"RootViewController writable and shared initialization

  I could not get [self init] to work so each of the initializers
  call [super init] and then currently have a shared initialization
  to get the ball rolling"
burtlo,2012-03-27 04:33:17,https://api.github.com/repos/steipete/PSStackedView/git/commits/11b85466fc4b1b2e98b879953b016383a4fcbc58,11b85466fc4b1b2e98b879953b016383a4fcbc58,Initial commit for a storyboard example
steipete,2012-02-27 01:02:48,https://api.github.com/repos/steipete/PSStackedView/git/commits/1dcbed1b57e8f06f745f6d14a15cefa1cc840c6f,1dcbed1b57e8f06f745f6d14a15cefa1cc840c6f,"Merge pull request #21 from krzak/master

expose more parameters and allow a custom number of gestures for the sliding."
krzyzanowskim,2012-02-24 23:17:09,https://api.github.com/repos/steipete/PSStackedView/git/commits/fb0fecde3852f0bd27b1c84cd4ffdbfe7f5cc537,fb0fecde3852f0bd27b1c84cd4ffdbfe7f5cc537,"Configure gesture number of touches

Allow define how many fingers can be used to move views."
krzyzanowskim,2012-02-18 10:34:11,https://api.github.com/repos/steipete/PSStackedView/git/commits/f83007a69169a313295eae1f8ef3b137c4878563,f83007a69169a313295eae1f8ef3b137c4878563,"parameters for: shadow (width, alpha), scaling on fade in/out, corner radius"
coreyfloyd,2012-02-13 17:20:40,https://api.github.com/repos/steipete/PSStackedView/git/commits/150b81d6cedb4de7b5b5faf6fbe7e6c2ceb00881,150b81d6cedb4de7b5b5faf6fbe7e6c2ceb00881,Add delegate method for aligning of the stack
coreyfloyd,2012-02-12 18:19:58,https://api.github.com/repos/steipete/PSStackedView/git/commits/bbf898cec0f8daa0d12c2419e073ccd0df026bde,bbf898cec0f8daa0d12c2419e073ccd0df026bde,"Add ""display root view controller"" method (without popping)"
