stylelint,"A mighty, modern style linter"
username,timestamp,url,sha,message
hudochenkov,2019-09-15 21:05:14,https://api.github.com/repos/stylelint/stylelint/git/commits/c69e098b0a9590bdebdf9b8d8605bcf443078eee,c69e098b0a9590bdebdf9b8d8605bcf443078eee,Format code (#4281)
hudochenkov,2019-09-15 20:50:08,https://api.github.com/repos/stylelint/stylelint/git/commits/13f8d786a9723e1ce137de833a06e344a514519e,13f8d786a9723e1ce137de833a06e344a514519e,"Use spaces for *.md, *.css and package.json formatting (#4280)

* Format package.json, *.md, and *.css with spaces

* Enable modern parser in ESLint"
hudochenkov,2019-09-15 20:22:48,https://api.github.com/repos/stylelint/stylelint/git/commits/9c1b7349d021c164a3b1498559544a30989fe569,9c1b7349d021c164a3b1498559544a30989fe569,New code formatting settings (#4259)
jeddy3,2019-09-15 14:27:08,https://api.github.com/repos/stylelint/stylelint/git/commits/15d20827f249d9f5b79402c7a9253b0d9f5f16d4,15d20827f249d9f5b79402c7a9253b0d9f5f16d4,11.0.0
jeddy3,2019-09-15 14:22:58,https://api.github.com/repos/stylelint/stylelint/git/commits/2415b003ae26baecb871d6fdcc4b6a1fa88f59f7,2415b003ae26baecb871d6fdcc4b6a1fa88f59f7,Prepare 11.0.0
jeddy3,2019-09-15 14:17:18,https://api.github.com/repos/stylelint/stylelint/git/commits/946ecca251b4a521af7cf393c77022b5c0f03148,946ecca251b4a521af7cf393c77022b5c0f03148,Prepare changelog
vankop,2019-09-15 11:38:03,https://api.github.com/repos/stylelint/stylelint/git/commits/0e3f4e20510b6069aefd9ced0275a0271a0798a9,0e3f4e20510b6069aefd9ced0275a0271a0798a9,Enable strict warnings count check for tests (#4231)
hudochenkov,2019-09-14 20:58:56,https://api.github.com/repos/stylelint/stylelint/git/commits/9707b64a154254e63f45c3dadac8e590d0126ac8,9707b64a154254e63f45c3dadac8e590d0126ac8,Update CHANGELOG.md
hudochenkov,2019-09-14 20:55:56,https://api.github.com/repos/stylelint/stylelint/git/commits/94b1f05d694b7c29647c19b569c4a6fcb16cc864,94b1f05d694b7c29647c19b569c4a6fcb16cc864,"Deprecate createRuleTester API (#4279)

Co-Authored-By: Ivan Kopeykin <ivan.kopeykin@gmail.com>"
hudochenkov,2019-09-13 17:56:08,https://api.github.com/repos/stylelint/stylelint/git/commits/d252da5e95481a32f11d7382b2bf987ec4f4dc93,d252da5e95481a32f11d7382b2bf987ec4f4dc93,Update CHANGELOG.md
dprgarner,2019-09-13 17:54:16,https://api.github.com/repos/stylelint/stylelint/git/commits/3a2bc4b84491578476211e82eac10bd43b8a8303,3a2bc4b84491578476211e82eac10bd43b8a8303,"Add ignoreSelectors option to property-no-unknown (#4275)

* Fix typo

* Add ignorePropertiesOf to property-no-unknown (#4270)

* Rename opt to ignoreSelectors (#4270)

* Code review doc changes (#4270)

* Code review: rearrange rule exception checks (#4270)"
hudochenkov,2019-09-13 17:52:23,https://api.github.com/repos/stylelint/stylelint/git/commits/d09a1c0194d6eb1ecb0568e6165f4a91767123ef,d09a1c0194d6eb1ecb0568e6165f4a91767123ef,Update CHANGELOG.md
vankop,2019-09-13 17:51:21,https://api.github.com/repos/stylelint/stylelint/git/commits/cf87467097213c3de9bb61e030168c4bab2d1e26,cf87467097213c3de9bb61e030168c4bab2d1e26,Evaluated logical combinations pseudo-classes in selector-max-universal separately (#4263)
hudochenkov,2019-09-13 17:45:07,https://api.github.com/repos/stylelint/stylelint/git/commits/152b47073231b2d1fbf37725b840f88c2e7116ec,152b47073231b2d1fbf37725b840f88c2e7116ec,Update CHANGELOG.md
vankop,2019-09-13 17:44:08,https://api.github.com/repos/stylelint/stylelint/git/commits/085878245489e61bf47b02f917bb057c477da344,085878245489e61bf47b02f917bb057c477da344,"Fix *-max-empty-lines to only report one violation per function, selector, value list (#4260)

* fix: selector-max-empty-lines

* fix: function-max-empty-lines

* fix: value-list-max-empty-lines

* fix tests"
vankop,2019-09-13 17:34:48,https://api.github.com/repos/stylelint/stylelint/git/commits/2c5bcb636f9fb44ed3cae20aeb0486c590c7fc9a,2c5bcb636f9fb44ed3cae20aeb0486c590c7fc9a,Small package loading improvements (#4278)
vankop,2019-09-11 17:13:29,https://api.github.com/repos/stylelint/stylelint/git/commits/bd51e6ea6d6824108c01601d09b12dc4118daa4f,bd51e6ea6d6824108c01601d09b12dc4118daa4f,Improve property-no-unknown performance (#4277)
vankop,2019-09-10 17:26:52,https://api.github.com/repos/stylelint/stylelint/git/commits/32d83258ee76e1317d106f174240154414fb98a2,32d83258ee76e1317d106f174240154414fb98a2,Add v8-compile-cache to improve load times (#4272)
vankop,2019-09-10 15:41:47,https://api.github.com/repos/stylelint/stylelint/git/commits/1d6e2a9056cea1583898fcf956ca27979e58eb92,1d6e2a9056cea1583898fcf956ca27979e58eb92,Add SECURITY.md (#4222)
hudochenkov,2019-09-09 10:13:32,https://api.github.com/repos/stylelint/stylelint/git/commits/53be6720f6d8acd34a6aeb8a919d8fb843c7d584,53be6720f6d8acd34a6aeb8a919d8fb843c7d584,Explicitly specify syntax module name (#4268)
hudochenkov,2019-09-09 08:20:53,https://api.github.com/repos/stylelint/stylelint/git/commits/7ec19524b071e7062d45f019d9c8999695db2d6d,7ec19524b071e7062d45f019d9c8999695db2d6d,Update CHANGELOG.md
vankop,2019-09-09 08:20:44,https://api.github.com/repos/stylelint/stylelint/git/commits/862b44f6c18b882dc671e4bb89616e4144e43425,862b44f6c18b882dc671e4bb89616e4144e43425,"Add --reportInvalidScopeDisables CLI flag (#4181)

* add reportInvalidScopeDisables flag, tests

* add strictStart, strictEnd flags to disableRange

* fix needlessDisables regarding to new disableRanges

* fix invalidScopeDisables regarding to new disableRanges

* add invalidScopeDisables tests, flow types fix

* add cli description

* standalone-invalidScopeDisables test

* fix tests

* fix tests"
vankop,2019-09-09 07:59:41,https://api.github.com/repos/stylelint/stylelint/git/commits/eedb07687066e2dddd53f0ae74bb2f8e07e0342b,eedb07687066e2dddd53f0ae74bb2f8e07e0342b,Lazy load table dependency (#4266)
hudochenkov,2019-09-07 16:57:48,https://api.github.com/repos/stylelint/stylelint/git/commits/37081c2552bcfc11308d488960b1bde137cfada3,37081c2552bcfc11308d488960b1bde137cfada3,Update CHANGELOG.md
boccob,2019-09-07 16:56:39,https://api.github.com/repos/stylelint/stylelint/git/commits/cb7649b99cd81603b2a597f42c9c4912749913cd,cb7649b99cd81603b2a597f42c9c4912749913cd,Add autofix to selector-pseudo-element-case (#3672)
hudochenkov,2019-09-05 22:32:23,https://api.github.com/repos/stylelint/stylelint/git/commits/d8759af4fc640624c22b58a496c10a626e60a4f4,d8759af4fc640624c22b58a496c10a626e60a4f4,Add missing configuration to Dependabot config (#4258)
vankop,2019-09-05 19:17:07,https://api.github.com/repos/stylelint/stylelint/git/commits/60a4b8c0e87c1ec33a24a58b9e8e5d6840d732b9,60a4b8c0e87c1ec33a24a58b9e8e5d6840d732b9,"Check all reported warnings in tests (#4256)

* block-closing-brace-space-before
* block-opening-brace-newline-before
* function-parentheses-newline-inside
* media-query-list-comma-newline-after
* rule-empty-line-before
* selector-attribute-brackets-space-inside
* selector-attribute-operator-space-after
* selector-attribute-operator-space-before
* selector-combinator-space-after
* selector-list-comma-newline-after
* selector-max-combinators"
