swoole-src,🚀 Coroutine-based concurrency library for PHP
username,timestamp,url,sha,message
GXhua,2019-09-12 10:20:12,https://api.github.com/repos/swoole/swoole-src/git/commits/8b7eb168bb9af48727b60a0c199551acdd60515d,8b7eb168bb9af48727b60a0c199551acdd60515d,compatibly with diseval extension for swoole library
GXhua,2019-09-12 10:04:47,https://api.github.com/repos/swoole/swoole-src/git/commits/2f9f8f4f9ed95325adbb8623eb94307743b059ab,2f9f8f4f9ed95325adbb8623eb94307743b059ab,revert diseval
matyhtf,2019-07-04 02:22:59,https://api.github.com/repos/swoole/swoole-src/git/commits/266229e0c148a472d26f49650cb2bc24c71a6ee3,266229e0c148a472d26f49650cb2bc24c71a6ee3,fix #2661
matyhtf,2019-09-11 13:22:29,https://api.github.com/repos/swoole/swoole-src/git/commits/5ce8c27df53e4243ed8ac10da9b27f16b57846e8,5ce8c27df53e4243ed8ac10da9b27f16b57846e8,Optimization error message
limingxinleo,2019-09-09 12:57:42,https://api.github.com/repos/swoole/swoole-src/git/commits/f3cf12e6240f109f2504fdbee00e176ca087a8c5,f3cf12e6240f109f2504fdbee00e176ca087a8c5,"Added curl_multi_getcontent for hook (#2819)

* Added swoole_curl_multi_getcontent

* Added curl_multi_getcontent hook.

* Added testing.

* Fixed bug.

* Fixed bug.

* Update Handler.php"
limingxinleo,2019-09-09 12:37:34,https://api.github.com/repos/swoole/swoole-src/git/commits/f3ab49ca69b1f534839b52971e881f347ce6c9e7,f3ab49ca69b1f534839b52971e881f347ce6c9e7,"Added ignore option (#2818)

* Added ignore option.

* Update Handler.php"
limingxinleo,2019-09-09 10:08:36,https://api.github.com/repos/swoole/swoole-src/git/commits/2e92833dd6ed66fbdd60d50b831b27de1cf111c2,2e92833dd6ed66fbdd60d50b831b27de1cf111c2,"Added CURLOPT_AUTOREFERER for curl hook (#2817)

* Added CURLOPT_AUTOREFERER.

* Added test.

* Fixed

* Update php_swoole_library.h

* Update Handler.php"
matyhtf,2019-09-08 09:52:50,https://api.github.com/repos/swoole/swoole-src/git/commits/c40937adeebfd7c5d0cd1cc3e9416ad57b84876c,c40937adeebfd7c5d0cd1cc3e9416ad57b84876c,"Merge pull request #2815 from Yurunsoft/master

Add SameSite Cookie"
Yurunsoft,2019-09-08 02:37:09,https://api.github.com/repos/swoole/swoole-src/git/commits/134b51c01b26c03126dd0df968a5f0d25ce33d40,134b51c01b26c03126dd0df968a5f0d25ce33d40,Add SameSite Cookie
matyhtf,2019-09-07 02:36:41,https://api.github.com/repos/swoole/swoole-src/git/commits/01cec877c97c003e1d6bf59d4de4c957da1a247d,01cec877c97c003e1d6bf59d4de4c957da1a247d,fix compile error
matyhtf,2019-09-07 02:18:02,https://api.github.com/repos/swoole/swoole-src/git/commits/0278fa6a03078e67a4893939a4110977648597ea,0278fa6a03078e67a4893939a4110977648597ea,Merge branch 'master' of github.com:swoole/swoole-src
matyhtf,2019-09-07 02:17:09,https://api.github.com/repos/swoole/swoole-src/git/commits/bb5a133173cab4683c143245f88d911988349794,bb5a133173cab4683c143245f88d911988349794,fix #2801
twose,2019-09-06 09:38:07,https://api.github.com/repos/swoole/swoole-src/git/commits/80f7d9f9fcf9b2f7c06e991e1d8d1d4dc16d2946,80f7d9f9fcf9b2f7c06e991e1d8d1d4dc16d2946,Merge remote-tracking branch 'origin/master'
twose,2019-09-06 09:37:41,https://api.github.com/repos/swoole/swoole-src/git/commits/97c1444ac843acecf9e452fc4f8550728184075c,97c1444ac843acecf9e452fc4f8550728184075c,"Fix Coroutine\System methods, update tests"
matyhtf,2019-09-06 07:48:18,https://api.github.com/repos/swoole/swoole-src/git/commits/5c59c8a73642ecfdf454db1a5db3de3f0a4f667a,5c59c8a73642ecfdf454db1a5db3de3f0a4f667a,Merge branch 'master' of github.com:swoole/swoole-src
twose,2019-09-05 14:00:54,https://api.github.com/repos/swoole/swoole-src/git/commits/dddf63aa17f93bec1b51f9017bdb683cdafed896,dddf63aa17f93bec1b51f9017bdb683cdafed896,Try to fix the test again
twose,2019-09-05 12:24:01,https://api.github.com/repos/swoole/swoole-src/git/commits/36404c5fee1a4e4631f1d1afa19d53a080b3a587,36404c5fee1a4e4631f1d1afa19d53a080b3a587,Try to fix the test
matyhtf,2019-09-05 12:17:31,https://api.github.com/repos/swoole/swoole-src/git/commits/60475ac602af866cfbddf4464fad375f7bf447bf,60475ac602af866cfbddf4464fad375f7bf447bf,update default table size
twose,2019-09-05 11:54:15,https://api.github.com/repos/swoole/swoole-src/git/commits/1de6bda4028d5148466fbab2f37be2ec2de92746,1de6bda4028d5148466fbab2f37be2ec2de92746,Merge remote-tracking branch 'origin/master'
twose,2019-09-05 11:53:26,https://api.github.com/repos/swoole/swoole-src/git/commits/f0984adf3c941afebbaf08a50723f455d4178eb2,f0984adf3c941afebbaf08a50723f455d4178eb2,Fix warnings
matyhtf,2019-09-05 10:44:58,https://api.github.com/repos/swoole/swoole-src/git/commits/275c04ee88d02b2d740561d26d22ee9e412241bb,275c04ee88d02b2d740561d26d22ee9e412241bb,fix #2800
matyhtf,2019-09-05 10:13:15,https://api.github.com/repos/swoole/swoole-src/git/commits/f2b4c93e948d6399f233b692144d03ff9444b68e,f2b4c93e948d6399f233b692144d03ff9444b68e,Support CURLOPT_SSLVERSION & CURLINFO_HEADER_OUT
twose,2019-09-05 07:51:55,https://api.github.com/repos/swoole/swoole-src/git/commits/aa20913135727305bf0af338924d0be2abf255d2,aa20913135727305bf0af338924d0be2abf255d2,Optimize numeric type conversion
twose,2019-09-05 06:56:34,https://api.github.com/repos/swoole/swoole-src/git/commits/0a6311829e3812916a70cbf8af3f79db379be611,0a6311829e3812916a70cbf8af3f79db379be611,Use uint32_t
twose,2019-09-05 06:42:01,https://api.github.com/repos/swoole/swoole-src/git/commits/06223ee6236c2a5c78b7a25fc19807b025f11f2a,06223ee6236c2a5c78b7a25fc19807b025f11f2a,Merge branch 'master' of https://github.com/swoole/swoole-src
twose,2019-09-05 06:41:31,https://api.github.com/repos/swoole/swoole-src/git/commits/406f7a831fe4762da224977bc7ab6774a45d6649,406f7a831fe4762da224977bc7ab6774a45d6649,"Merge pull request #2809 from upscalesoftware/max_request_tests_fix

Fix max_request/max_request_grace tests"
sshymko,2019-09-04 04:04:38,https://api.github.com/repos/swoole/swoole-src/git/commits/4f85b7444226049d9cc05e98a7d147c8d1e8f0bd,4f85b7444226049d9cc05e98a7d147c8d1e8f0bd,"Remove worker_num repeat assignment

- Remove `worker_num` assignment in favor of constructor"
sshymko,2019-09-03 23:48:42,https://api.github.com/repos/swoole/swoole-src/git/commits/7369bbdf45974d314835c543c877f6b014883040,7369bbdf45974d314835c543c877f6b014883040,"Fix max_request/max_request_grace tests

- Fix hang up of `max_request/max_request_grace` tests"
matyhtf,2019-09-04 12:43:25,https://api.github.com/repos/swoole/swoole-src/git/commits/c4bf25f2ac2c6ade5e0e1017426e8ad1ef381708,c4bf25f2ac2c6ade5e0e1017426e8ad1ef381708,Merge branch 'master' of github.com:swoole/swoole-src
matyhtf,2019-09-04 12:42:44,https://api.github.com/repos/swoole/swoole-src/git/commits/a01f01801c511038f8d591d0cb4f4bb9edad793a,a01f01801c511038f8d591d0cb4f4bb9edad793a,Deadlock protection
twose,2019-09-04 10:14:03,https://api.github.com/repos/swoole/swoole-src/git/commits/7593fa19a02d9ccf9753ae01d9d4170c1b98d84f,7593fa19a02d9ccf9753ae01d9d4170c1b98d84f,Use RETURN_FALSE
twose,2019-09-04 05:59:41,https://api.github.com/repos/swoole/swoole-src/git/commits/b3e0f8331c1fd73602633f7fec167fdc84582bb5,b3e0f8331c1fd73602633f7fec167fdc84582bb5,Update version to 4.4.6-alpha
matyhtf,2019-09-04 05:29:07,https://api.github.com/repos/swoole/swoole-src/git/commits/d60827a0b94f209bef1c5dba5d6e45d9c24460cb,d60827a0b94f209bef1c5dba5d6e45d9c24460cb,fix error on macOS [2]
matyhtf,2019-09-04 04:20:06,https://api.github.com/repos/swoole/swoole-src/git/commits/fea81e043cff88b38b02031dd94d3d333242fe42,fea81e043cff88b38b02031dd94d3d333242fe42,fix error on macOS
matyhtf,2019-09-03 23:21:47,https://api.github.com/repos/swoole/swoole-src/git/commits/1b727fc8514382fba8e7ad5554621193b774a16e,1b727fc8514382fba8e7ad5554621193b774a16e,"Merge pull request #2808 from upscalesoftware/max_request_fix

Max request settings fix"
sshymko,2019-09-03 23:07:27,https://api.github.com/repos/swoole/swoole-src/git/commits/846729936d00c4a99b08096dcb19e2f29422199c,846729936d00c4a99b08096dcb19e2f29422199c,"Test max_request/max_request_grace settings

- Cover settings `max_request` and `max_request_grace` with tests"
sshymko,2019-09-03 21:51:27,https://api.github.com/repos/swoole/swoole-src/git/commits/27f52b15f1bf9d3f3f3fdc04806ebb473dd93f28,27f52b15f1bf9d3f3f3fdc04806ebb473dd93f28,"Fix max_request of event workers

- Fix task worker settings applying to event workers"
twose,2019-09-03 09:48:54,https://api.github.com/repos/swoole/swoole-src/git/commits/a60a62ea56fa8a4f3d1caf425a83dd4aa0598c48,a60a62ea56fa8a4f3d1caf425a83dd4aa0598c48,Merge remote-tracking branch 'origin/master'
twose,2019-09-03 09:47:17,https://api.github.com/repos/swoole/swoole-src/git/commits/ee46313fe8120016b5371ec6b851db5d242e3770,ee46313fe8120016b5371ec6b851db5d242e3770,Defensive programming for #2801
matyhtf,2019-09-03 07:20:27,https://api.github.com/repos/swoole/swoole-src/git/commits/5babb586f1a99f60d7f8fc46f8fd7c6f0fd408d5,5babb586f1a99f60d7f8fc46f8fd7c6f0fd408d5,fix core tests
matyhtf,2019-09-02 15:34:28,https://api.github.com/repos/swoole/swoole-src/git/commits/6853c6c3cd626b068c03c1fcc08655881285d6da,6853c6c3cd626b068c03c1fcc08655881285d6da,fix tests[3]
matyhtf,2019-09-02 15:15:54,https://api.github.com/repos/swoole/swoole-src/git/commits/c50bc71d1b8938b3e712b7a0aa3e9fb81130d4c8,c50bc71d1b8938b3e712b7a0aa3e9fb81130d4c8,fix tests[2]
matyhtf,2019-09-02 14:46:57,https://api.github.com/repos/swoole/swoole-src/git/commits/31ffef677cf517b772da6bdcb7deb087a820ba86,31ffef677cf517b772da6bdcb7deb087a820ba86,fix tests
matyhtf,2019-09-02 12:38:46,https://api.github.com/repos/swoole/swoole-src/git/commits/c4bbba07a8ba0291bf108189a8d2214f8236ddde,c4bbba07a8ba0291bf108189a8d2214f8236ddde,Code optimization
matyhtf,2019-09-02 12:31:10,https://api.github.com/repos/swoole/swoole-src/git/commits/f7b9fe369d86c6e1b89a74db732391e723bf384e,f7b9fe369d86c6e1b89a74db732391e723bf384e,AIO thread-safe [2]
matyhtf,2019-09-02 11:42:57,https://api.github.com/repos/swoole/swoole-src/git/commits/10945f4f10c8e85dec5a0f90f0a413f92e6cbd38,10945f4f10c8e85dec5a0f90f0a413f92e6cbd38,AIO thread-safe
matyhtf,2019-09-02 10:51:51,https://api.github.com/repos/swoole/swoole-src/git/commits/5e452254f0f122c22adc650a28f9feec91f1312e,5e452254f0f122c22adc650a28f9feec91f1312e,Naming optimization
twose,2019-09-02 02:54:31,https://api.github.com/repos/swoole/swoole-src/git/commits/41fa03d0664a4940d9c9eff8f6d9a33c47595b06,41fa03d0664a4940d9c9eff8f6d9a33c47595b06,Merge remote-tracking branch 'origin/master'
twose,2019-09-02 02:54:12,https://api.github.com/repos/swoole/swoole-src/git/commits/963ba9e854c6ade5a9f1473f0544de08bfe76ec1,963ba9e854c6ade5a9f1473f0544de08bfe76ec1,Defensive programming
matyhtf,2019-09-02 01:38:31,https://api.github.com/repos/swoole/swoole-src/git/commits/f8bea6fe0a86c4eb26aad23b66162065bc0f4efe,f8bea6fe0a86c4eb26aad23b66162065bc0f4efe,Merge branch 'master' of github.com:swoole/swoole-src
matyhtf,2019-09-02 01:38:22,https://api.github.com/repos/swoole/swoole-src/git/commits/f413593b0007c83b4869ab25457cae5e88e18960,f413593b0007c83b4869ab25457cae5e88e18960,lock
matyhtf,2019-09-01 14:14:16,https://api.github.com/repos/swoole/swoole-src/git/commits/c377b4868c107acd2bb398ec3c58ff948ca79049,c377b4868c107acd2bb398ec3c58ff948ca79049,Optimization
matyhtf,2019-09-01 07:23:46,https://api.github.com/repos/swoole/swoole-src/git/commits/21d82a3607db8d01e8f82408ad0d30b945ff1d69,21d82a3607db8d01e8f82408ad0d30b945ff1d69,add swProcessPool_set_max_request
matyhtf,2019-09-01 06:50:49,https://api.github.com/repos/swoole/swoole-src/git/commits/706286feae5b65370d493c7111f72ac32a2bd1a7,706286feae5b65370d493c7111f72ac32a2bd1a7,Merge branch 'max_request_grace' of git://github.com/upscalesoftware/swoole-src into upscalesoftware-max_request_grace
twose,2019-09-01 02:36:13,https://api.github.com/repos/swoole/swoole-src/git/commits/9dfc713ea65d3490b803d8cf280d9af0bf5d6d70,9dfc713ea65d3490b803d8cf280d9af0bf5d6d70,++
twose,2019-09-01 02:27:11,https://api.github.com/repos/swoole/swoole-src/git/commits/e2f64f1fc60b83bded823e73f22937ed4b950aa0,e2f64f1fc60b83bded823e73f22937ed4b950aa0,"Merge branch 'master' of https://github.com/swoole/swoole-src

# Conflicts:
#	src/os/async_thread.cc"
twose,2019-09-01 02:22:00,https://api.github.com/repos/swoole/swoole-src/git/commits/fe56ba23250f9d692c76f6eff8081d8c3d82423c,fe56ba23250f9d692c76f6eff8081d8c3d82423c,Fix compilation
matyhtf,2019-09-01 02:20:50,https://api.github.com/repos/swoole/swoole-src/git/commits/c0d9fa89b5a4c4cab673ce2b6e12d06ae022567b,c0d9fa89b5a4c4cab673ce2b6e12d06ae022567b,merge
matyhtf,2019-09-01 02:20:03,https://api.github.com/repos/swoole/swoole-src/git/commits/ddbe4394453ca562f241d30a7b69ecd62a7ca50f,ddbe4394453ca562f241d30a7b69ecd62a7ca50f,Merge branch 'master' of https://github.com/swoole/swoole-src
matyhtf,2019-09-01 02:17:30,https://api.github.com/repos/swoole/swoole-src/git/commits/a435829a3f3bff86c608928c4d0c644031e6f24e,a435829a3f3bff86c608928c4d0c644031e6f24e,remove enum swAioOpcode
matyhtf,2019-09-01 02:06:45,https://api.github.com/repos/swoole/swoole-src/git/commits/afee8b187d64e68e7c96e46b7b4cfbda344fffcd,afee8b187d64e68e7c96e46b7b4cfbda344fffcd,remove enum swAioOpcode
matyhtf,2019-08-31 12:43:53,https://api.github.com/repos/swoole/swoole-src/git/commits/eb516a941f5fdfe2c2bd68f99a098053f07e04b4,eb516a941f5fdfe2c2bd68f99a098053f07e04b4,fix core-tests [2]
matyhtf,2019-08-31 12:03:43,https://api.github.com/repos/swoole/swoole-src/git/commits/01aae3d7b21c2a6f2cfc0aae1fed758a5f4b7605,01aae3d7b21c2a6f2cfc0aae1fed758a5f4b7605,fix core-test
matyhtf,2019-08-31 08:18:42,https://api.github.com/repos/swoole/swoole-src/git/commits/99cf53efa5791fd84310fe76a78b415f99c8fb4c,99cf53efa5791fd84310fe76a78b415f99c8fb4c,optimization
matyhtf,2019-08-31 03:10:52,https://api.github.com/repos/swoole/swoole-src/git/commits/d39e309444c4f662d697e6bde119e0111c2693e5,d39e309444c4f662d697e6bde119e0111c2693e5,add tests
matyhtf,2019-08-31 02:49:34,https://api.github.com/repos/swoole/swoole-src/git/commits/7708def246a5321cbedf540f5b6a8da4211de86f,7708def246a5321cbedf540f5b6a8da4211de86f,swTimer_reinit
twose,2019-08-30 12:20:16,https://api.github.com/repos/swoole/swoole-src/git/commits/37ce3b40214f6033a48b528bf94683c27798375a,37ce3b40214f6033a48b528bf94683c27798375a,Update version for Swoole 4.4.5
twose,2019-08-30 12:09:27,https://api.github.com/repos/swoole/swoole-src/git/commits/398f81543a37e0771c0acda0c53b8e2bcc467556,398f81543a37e0771c0acda0c53b8e2bcc467556,Defensive programming
twose,2019-08-30 08:52:33,https://api.github.com/repos/swoole/swoole-src/git/commits/62c75e939dfeb2ead7e48115530320ff796ffee4,62c75e939dfeb2ead7e48115530320ff796ffee4,Fix missing break statement
twose,2019-08-30 08:41:03,https://api.github.com/repos/swoole/swoole-src/git/commits/b888774c2b5889634942693549c2fca4bf436f41,b888774c2b5889634942693549c2fca4bf436f41,Fix aio shutdown
twose,2019-08-30 07:39:32,https://api.github.com/repos/swoole/swoole-src/git/commits/646fe61f514c6a7bfd41738924893cd85471f4d2,646fe61f514c6a7bfd41738924893cd85471f4d2,Remove useless code
twose,2019-08-30 07:39:09,https://api.github.com/repos/swoole/swoole-src/git/commits/452e65bcc7ff39c8fc64e34b5d11abd5aa18e010,452e65bcc7ff39c8fc64e34b5d11abd5aa18e010,Optimization
