co,"The ultimate generator based flow-control goodness for nodejs (supports thunks, promises, etc)"
username,timestamp,url,sha,message
shimont,2016-10-17 04:06:25,https://api.github.com/repos/tj/co/git/commits/249bbdc72da24ae44076afd716349d2089b31c4c,249bbdc72da24ae44076afd716349d2089b31c4c,Add nodejs stable and LTS versions to travis tests (#300)
tj,2016-06-30 21:45:12,https://api.github.com/repos/tj/co/git/commits/497742cc384dfb63b7010edc04c370766fe450f0,497742cc384dfb63b7010edc04c370766fe450f0,"Merge pull request #268 from saadq/patch-1

Add newline for consistency"
tj,2016-06-22 16:52:52,https://api.github.com/repos/tj/co/git/commits/f7aa201b994af4a7461f3f4032e31bf096d959eb,f7aa201b994af4a7461f3f4032e31bf096d959eb,"Merge pull request #279 from fkling/patch-1

async/await is not part of ES7"
fkling,2016-06-22 14:58:02,https://api.github.com/repos/tj/co/git/commits/c66f0a40fbf2d178342543b3a65766441e396c4b,c66f0a40fbf2d178342543b3a65766441e396c4b,"async/await is not part of ES7

I assume ES7 is a synonym for ES2016 here. ES2016 was just released and async/await is not a part of it. I believe keeping this expression will confuse people who don't really follow the standard process."
tj,2016-05-20 02:06:12,https://api.github.com/repos/tj/co/git/commits/717b043371ba057cb7a4a2a4e47120d598116ed7,717b043371ba057cb7a4a2a4e47120d598116ed7,"Merge pull request #273 from ericelliott/patch-1

Update platform compat in README."
ericelliott,2016-05-20 01:51:23,https://api.github.com/repos/tj/co/git/commits/6e58f571b8a85aa4e2b96d4e35b9f0f95e090ba3,6e58f571b8a85aa4e2b96d4e35b9f0f95e090ba3,"Update platform compat.

io.js has merged into Node v4+, which supports generators out of the box."
saadq,2016-04-28 02:52:36,https://api.github.com/repos/tj/co/git/commits/cce393407beaf5233d250ebf845e0a686ff74fa8,cce393407beaf5233d250ebf845e0a686ff74fa8,Add newline for consistency
tj,2016-02-15 21:17:18,https://api.github.com/repos/tj/co/git/commits/4df983bb8ec7aca3761fb3a764d0f25cda0954db,4df983bb8ec7aca3761fb3a764d0f25cda0954db,"Merge pull request #259 from tuvistavie/master

Avoid warning when using bluebird as Promise implementation."
danhper,2016-01-18 04:55:53,https://api.github.com/repos/tj/co/git/commits/b3ad55a46006c4746184f597ccc7479e291b4ce2,b3ad55a46006c4746184f597ccc7479e291b4ce2,Avoid warning when using bluebird as Promise implementation.
tj,2016-01-13 16:48:10,https://api.github.com/repos/tj/co/git/commits/02c9eee2fc161390353f343facfd085a5d0021df,02c9eee2fc161390353f343facfd085a5d0021df,"Merge pull request #255 from cookfront/master

add missing quote"
cookfront,2015-12-28 15:52:42,https://api.github.com/repos/tj/co/git/commits/61230331e0bb998eb8f19d00a432fa5668197ff2,61230331e0bb998eb8f19d00a432fa5668197ff2,add missing quote
fengmk2,2015-09-11 06:53:29,https://api.github.com/repos/tj/co/git/commits/e679907d5e06b48e5d7523a856b75ca21eec8349,e679907d5e06b48e5d7523a856b75ca21eec8349,"Merge pull request #225 from gaye/publish-browser-build-to-npm

publish co-browser.js to npm"
jonathanong,2015-08-22 22:07:23,https://api.github.com/repos/tj/co/git/commits/4117a48628b2f8b00b147eb8feda0faedf914ce0,4117a48628b2f8b00b147eb8feda0faedf914ce0,"Merge pull request #238 from TakayukiSakai/master

Fixed typo in some test codes"
takayuky,2015-08-02 21:28:52,https://api.github.com/repos/tj/co/git/commits/3c97937c9c4b1f5da2fafe526d5b4f9462a65fec,3c97937c9c4b1f5da2fafe526d5b4f9462a65fec,Fixed typo in some test codes
jonathanong,2015-07-09 22:29:44,https://api.github.com/repos/tj/co/git/commits/b54d18f8f472ad1314800e786993c4169a5ff9f8,b54d18f8f472ad1314800e786993c4169a5ff9f8,4.6.0
jonathanong,2015-05-03 22:57:48,https://api.github.com/repos/tj/co/git/commits/222a066375d2a7d69b5b42254d653205d10ad9b7,222a066375d2a7d69b5b42254d653205d10ad9b7,4.5.4
bcherny,2015-05-03 22:26:05,https://api.github.com/repos/tj/co/git/commits/ab5815f7e874748c236655f98374ac00d3663721,ab5815f7e874748c236655f98374ac00d3663721,add browser support
jonathanong,2015-04-17 17:33:13,https://api.github.com/repos/tj/co/git/commits/d8b7fda6a11e228e4fbf11f9f14a4bc02f82ef9b,d8b7fda6a11e228e4fbf11f9f14a4bc02f82ef9b,4.5.2
timoxley,2015-04-17 07:09:44,https://api.github.com/repos/tj/co/git/commits/ff76c2a49b41f5303ada657c57a4692f318f5793,ff76c2a49b41f5303ada657c57a4692f318f5793,"Fix gitter link for npmjs.com

Currently gitter image is broken on https://www.npmjs.com/package/co

Problem was unencoded space %20. Also unified format to match other badges."
jonathanong,2015-03-18 04:23:43,https://api.github.com/repos/tj/co/git/commits/a3d6007df3354c940bd7af410e63f31e10c93663,a3d6007df3354c940bd7af410e63f31e10c93663,4.5.1
jonathanong,2015-03-18 04:23:39,https://api.github.com/repos/tj/co/git/commits/0f86d8eba4d34582b1efd7cb625f55d786f0dfca,0f86d8eba4d34582b1efd7cb625f55d786f0dfca,4.5.0
jonathanong,2015-03-18 04:22:24,https://api.github.com/repos/tj/co/git/commits/9d996f27b9bf62d17a870c8c4370a5c3aa3d31eb,9d996f27b9bf62d17a870c8c4370a5c3aa3d31eb,support regular functions that throw
welefen,2015-03-18 02:36:07,https://api.github.com/repos/tj/co/git/commits/1d3cb91af5a9a8f97a64f20995ead196b5ef4c1a,1d3cb91af5a9a8f97a64f20995ead196b5ef4c1a,make co support with function
swolfand,2015-02-18 01:25:50,https://api.github.com/repos/tj/co/git/commits/92fd1b4b6634bf1f769ff77f3c7e1ef80a879f92,92fd1b4b6634bf1f769ff77f3c7e1ef80a879f92,"Update Readme.md

typo/style error: changed the styled nested `yieldable`s are supported to nested `yieldable` objects are supported"
jonathanong,2015-02-15 01:10:49,https://api.github.com/repos/tj/co/git/commits/2203ee50656b2bba16f72ecce531baf346f75dd2,2203ee50656b2bba16f72ecce531baf346f75dd2,4.4.0
