ws,"Simple to use, blazing fast and thoroughly tested WebSocket client and server for Node.js"
username,timestamp,url,sha,message
lpinca,2019-08-25 10:39:12,https://api.github.com/repos/websockets/ws/git/commits/5b7315fa15385efa909224258ec4165bb3e842bd,5b7315fa15385efa909224258ec4165bb3e842bd,[perf] Use `TypedArray#set()` instead of `Buffer#copy()`
lpinca,2019-08-12 15:47:05,https://api.github.com/repos/websockets/ws/git/commits/74bac8e592ff5dbbdda1190d1d4b209c504979d4,74bac8e592ff5dbbdda1190d1d4b209c504979d4,[dist] 7.1.2
yosiat,2019-08-12 15:41:28,https://api.github.com/repos/websockets/ws/git/commits/3a695e8144e6ebc86087cac559c54098d205c9f5,3a695e8144e6ebc86087cac559c54098d205c9f5,"[fix] Ensure `_compress()` callback is always called (#1618)

Fixes #1617"
lpinca,2019-08-05 13:33:39,https://api.github.com/repos/websockets/ws/git/commits/fa991731cca990f40ecedb120918d14d08129673,fa991731cca990f40ecedb120918d14d08129673,[doc] Fix nits
adrianhopebailie,2019-08-04 19:13:09,https://api.github.com/repos/websockets/ws/git/commits/0a612364e69fc07624b8010c6873f7766743a8e3,0a612364e69fc07624b8010c6873f7766743a8e3,[doc] Discourage use of `verifyClient` hook (#1613)
lpinca,2019-07-22 15:11:12,https://api.github.com/repos/websockets/ws/git/commits/91b5173c776881dc1a229ac5b0ba928dcb775602,91b5173c776881dc1a229ac5b0ba928dcb775602,[minor] Set the flag to detect invalid API usage only when needed
lpinca,2019-07-19 14:41:37,https://api.github.com/repos/websockets/ws/git/commits/cf467dbed312e7dc6e7318c08666b72ea3213b76,cf467dbed312e7dc6e7318c08666b72ea3213b76,[dist] 7.1.1
lpinca,2019-07-14 12:34:26,https://api.github.com/repos/websockets/ws/git/commits/364126620bf3fe4e6e0042d3b74ec53b5ccbbb08,364126620bf3fe4e6e0042d3b74ec53b5ccbbb08,"[minor] Throw an error on invalid usage

Throw an error if the same `server` option is used for multiple
WebSocket servers at the same time."
lpinca,2019-07-08 15:54:05,https://api.github.com/repos/websockets/ws/git/commits/dd42c8bc3ac215668bbfe1788b3dab197219df2a,dd42c8bc3ac215668bbfe1788b3dab197219df2a,[dist] 7.1.0
lpinca,2019-07-08 15:48:57,https://api.github.com/repos/websockets/ws/git/commits/a49a827b4eabb4c720993ee1a0c45b737cc148bb,a49a827b4eabb4c720993ee1a0c45b737cc148bb,"[feature] Add utility to wrap a `WebSocket` in a `Duplex` stream (#1589)

Fixes #113"
lpinca,2019-07-05 19:43:33,https://api.github.com/repos/websockets/ws/git/commits/dbacf582a5907af75c6d424f017af39096ab0b93,dbacf582a5907af75c6d424f017af39096ab0b93,"Revert ""[minor] Remove unneeded `if` statement""

This reverts commit 297f56df79f6bf4757465fb6b59884faf5b75337."
greenkeeper[bot],2019-06-25 19:27:50,https://api.github.com/repos/websockets/ws/git/commits/db1486492a00f5cd6b43bed06773668d54994593,db1486492a00f5cd6b43bed06773668d54994593,[pkg] Update eslint-config-prettier to version 6.0.0 (#1599)
goktugyil,2019-06-23 16:59:34,https://api.github.com/repos/websockets/ws/git/commits/c62ea9fb5ab5991d47ac4d2632a6f93b6617098c,c62ea9fb5ab5991d47ac4d2632a6f93b6617098c,[doc] Improve comment in code snippet (#1597)
greenkeeper[bot],2019-06-22 08:52:31,https://api.github.com/repos/websockets/ws/git/commits/47e7d64f2a78f160b7d5dab0086f2c5444faf613,47e7d64f2a78f160b7d5dab0086f2c5444faf613,[pkg] Update eslint to version 6.0.0 (#1595)
amitnovick,2019-06-19 05:39:53,https://api.github.com/repos/websockets/ws/git/commits/d9b5562e2b9be191abb5c58a15ae006bd5c347fd,d9b5562e2b9be191abb5c58a15ae006bd5c347fd,[doc] Improve server broadcast example (#1590)
