RecyclerView-FlexibleDivider,Android library providing simple way to control divider items (ItemDecoration) of RecyclerView
username,timestamp,url,sha,message
yqritc,2016-07-01 10:33:11,https://api.github.com/repos/yqritc/RecyclerView-FlexibleDivider/git/commits/d654bff27600aac032ac318d76b002629510d2cf,d654bff27600aac032ac318d76b002629510d2cf,Updated version and ReadMe
yqritc,2016-07-01 03:25:59,https://api.github.com/repos/yqritc/RecyclerView-FlexibleDivider/git/commits/006f3df441e65508458f3034360c799e00e16342,006f3df441e65508458f3034360c799e00e16342,Added logic to handle divider when reverse layout is set for RecyclerView LayoutManager
yqritc,2016-06-30 10:48:27,https://api.github.com/repos/yqritc/RecyclerView-FlexibleDivider/git/commits/6323b4c7c8f4645ee629db5bf34cb7147ecc3eac,6323b4c7c8f4645ee629db5bf34cb7147ecc3eac,Updated version and ReadMe
yqritc,2016-06-30 10:45:32,https://api.github.com/repos/yqritc/RecyclerView-FlexibleDivider/git/commits/7f4e89100e773f0b6c145f44b63248c4f09fbd65,7f4e89100e773f0b6c145f44b63248c4f09fbd65,Fixed to skip adding margin when divider is hidden
yqritc,2016-06-23 02:58:27,https://api.github.com/repos/yqritc/RecyclerView-FlexibleDivider/git/commits/b616cb3efdf0c24272fe59120bd587a79511c0ed,b616cb3efdf0c24272fe59120bd587a79511c0ed,Updated the versions of libraries
yqritc,2016-04-13 10:56:10,https://api.github.com/repos/yqritc/RecyclerView-FlexibleDivider/git/commits/f44fed69cf453783989533d1546eac1587e99a29,f44fed69cf453783989533d1546eac1587e99a29,"Merge pull request #36 from ravidsrk/patch-1

Added code syntax highlighting to Readme"
ravidsrk,2016-04-05 19:34:14,https://api.github.com/repos/yqritc/RecyclerView-FlexibleDivider/git/commits/c9cb90daba1c86e3d1a669f280ed7d63756ca09f,c9cb90daba1c86e3d1a669f280ed7d63756ca09f,Added code syntax highlighting to Readme
yqritc,2016-02-15 10:49:53,https://api.github.com/repos/yqritc/RecyclerView-FlexibleDivider/git/commits/2c3c1545ae280a9eb291c73c2229c0a541533c6e,2c3c1545ae280a9eb291c73c2229c0a541533c6e,Updated version and ReadMe
yqritc,2016-02-15 10:40:29,https://api.github.com/repos/yqritc/RecyclerView-FlexibleDivider/git/commits/d5d5fb5b0c637f290c652000adf9874a3eb97e78,d5d5fb5b0c637f290c652000adf9874a3eb97e78,Added option to position divider inside item to follow material design
yqritc,2016-02-15 10:39:09,https://api.github.com/repos/yqritc/RecyclerView-FlexibleDivider/git/commits/ccc46f8d6308ccf4eeab223d3cbf92e231f62f2a,ccc46f8d6308ccf4eeab223d3cbf92e231f62f2a,refactoring
yqritc,2016-02-15 10:31:45,https://api.github.com/repos/yqritc/RecyclerView-FlexibleDivider/git/commits/7140e28adcfb3c0f3d48e695cd15e1046acfce91,7140e28adcfb3c0f3d48e695cd15e1046acfce91,"Merge pull request #32 from sheungon/master

Fix a crash problem on setting decoration before setAdapter"
sheungon,2016-02-12 12:18:04,https://api.github.com/repos/yqritc/RecyclerView-FlexibleDivider/git/commits/462576dd01518e86a9abd3379cbcca5c3b07b487,462576dd01518e86a9abd3379cbcca5c3b07b487,"Fixed the crash on setting divider decoration before setting adapter.

https://github.com/yqritc/RecyclerView-FlexibleDivider/issues/30"
sheungon,2016-02-12 12:17:26,https://api.github.com/repos/yqritc/RecyclerView-FlexibleDivider/git/commits/6135269ee62e02115ff1e6ff97fa2f16fe995012,6135269ee62e02115ff1e6ff97fa2f16fe995012,Made the sample app crash by add decoration before setting adapter to RecyclerView.
yqritc,2016-02-08 11:11:07,https://api.github.com/repos/yqritc/RecyclerView-FlexibleDivider/git/commits/aa22f808dddfb86cdb7bbd61f49018e5771ca3a6,aa22f808dddfb86cdb7bbd61f49018e5771ca3a6,Update README.md
yqritc,2016-01-20 11:53:22,https://api.github.com/repos/yqritc/RecyclerView-FlexibleDivider/git/commits/b8904df5928ae0d1be8e21534846abc17713792f,b8904df5928ae0d1be8e21534846abc17713792f,Updated version and readme
yqritc,2016-01-20 11:51:18,https://api.github.com/repos/yqritc/RecyclerView-FlexibleDivider/git/commits/440d6337609834f972ea018ba63cc88edf8e2c36,440d6337609834f972ea018ba63cc88edf8e2c36,Fixed blinking divider when notifying items changed
yqritc,2016-01-18 11:20:16,https://api.github.com/repos/yqritc/RecyclerView-FlexibleDivider/git/commits/bc34822a18c8c6e025bc27ff32aacdc2b3e9bcb1,bc34822a18c8c6e025bc27ff32aacdc2b3e9bcb1,Update README.md
yqritc,2016-01-18 10:53:22,https://api.github.com/repos/yqritc/RecyclerView-FlexibleDivider/git/commits/460ccc097adbe62e51e58347db48e8812c5d44fd,460ccc097adbe62e51e58347db48e8812c5d44fd,Updated build tool
yqritc,2016-01-18 10:51:52,https://api.github.com/repos/yqritc/RecyclerView-FlexibleDivider/git/commits/ca491c68da2910b03adb896ab59129598161b69b,ca491c68da2910b03adb896ab59129598161b69b,Fixed deprecated methods
yqritc,2016-01-18 10:49:43,https://api.github.com/repos/yqritc/RecyclerView-FlexibleDivider/git/commits/55cc67ad631f926811a4ec10b61e6206871d8c4e,55cc67ad631f926811a4ec10b61e6206871d8c4e,version up libraries
yqritc,2016-01-18 10:46:10,https://api.github.com/repos/yqritc/RecyclerView-FlexibleDivider/git/commits/c08cfc4d751590a573bd93c73bd4b2fc304d4ab0,c08cfc4d751590a573bd93c73bd4b2fc304d4ab0,tidy up code to use group index for providers if layoutManager is GridLayoutManager
yqritc,2016-01-18 10:15:50,https://api.github.com/repos/yqritc/RecyclerView-FlexibleDivider/git/commits/4b8c8a6bce73bb0870345b9f78996229810f4161,4b8c8a6bce73bb0870345b9f78996229810f4161,"Merge pull request #25 from tobibo/master

Add support for GridLayoutManager so last divider is not shown and di…"
yqritc,2015-11-09 01:10:38,https://api.github.com/repos/yqritc/RecyclerView-FlexibleDivider/git/commits/e0121ee332f84e30e9d37c3af9ef3792fcfdeaed,e0121ee332f84e30e9d37c3af9ef3792fcfdeaed,"Merge pull request #20 from intrications/patch-1

Add missing semicolon"
intrications,2015-11-07 19:50:23,https://api.github.com/repos/yqritc/RecyclerView-FlexibleDivider/git/commits/d62bf1f66a10cbe02618b11cf5a30e7edc844c77,d62bf1f66a10cbe02618b11cf5a30e7edc844c77,Add missing semicolon
