Ionic-Material,Material Design style and animations for Ionic
username,timestamp,url,sha,message
zachfitz,2017-05-16 23:42:54,https://api.github.com/repos/zachfitz/Ionic-Material/git/commits/a7bd167657f829e07e35c922bef9c05eaef753a3,a7bd167657f829e07e35c922bef9c05eaef753a3,Update README to clarify the project is retired
zachfitz,2015-10-20 00:06:42,https://api.github.com/repos/zachfitz/Ionic-Material/git/commits/fd3e3e751f569746a176e476c4373a6883322f57,fd3e3e751f569746a176e476c4373a6883322f57,"Merge pull request #125 from artguy10/patch-1

Include dist folder in paths."
zachfitz,2015-10-20 00:06:23,https://api.github.com/repos/zachfitz/Ionic-Material/git/commits/1ee02560a7f9c69bd9edf7c49fbe406c3a6daa8b,1ee02560a7f9c69bd9edf7c49fbe406c3a6daa8b,"Merge pull request #92 from sahat/patch-1

Update step 3 href path"
zachfitz,2015-10-20 00:06:12,https://api.github.com/repos/zachfitz/Ionic-Material/git/commits/dc7fd1c6851b14a4c7577aa65f7efbad63dc4aff,dc7fd1c6851b14a4c7577aa65f7efbad63dc4aff,"Merge pull request #95 from gpasztor87/patch-1

Fix link"
zachfitz,2015-10-20 00:05:38,https://api.github.com/repos/zachfitz/Ionic-Material/git/commits/66a2439f9c74bb3a126954c896b9522c0c3faff3,66a2439f9c74bb3a126954c896b9522c0c3faff3,"Merge pull request #105 from joewoodhouse/patch-1

Update README.md"
zachfitz,2015-10-20 00:05:25,https://api.github.com/repos/zachfitz/Ionic-Material/git/commits/6f695be38dcfc5a4d32fd9f2f526810d52bb3f88,6f695be38dcfc5a4d32fd9f2f526810d52bb3f88,"Merge pull request #129 from triniwiz/master

Avatar & Thumbnail Fix"
zachfitz,2015-10-20 00:04:52,https://api.github.com/repos/zachfitz/Ionic-Material/git/commits/c03a1df9b1a54aab52c8afc568a1bdda1e9630dc,c03a1df9b1a54aab52c8afc568a1bdda1e9630dc,"Merge pull request #98 from gimox/master

fix ionic links"
zachfitz,2015-10-20 00:04:30,https://api.github.com/repos/zachfitz/Ionic-Material/git/commits/5a95a4bfbf980acf205636c13356ecc3ca35cabb,5a95a4bfbf980acf205636c13356ecc3ca35cabb,"Merge pull request #137 from movibe/master

Master"
zachfitz,2015-10-20 00:03:55,https://api.github.com/repos/zachfitz/Ionic-Material/git/commits/779e8a74fb1ac2254644fbae21d80e86b756d060,779e8a74fb1ac2254644fbae21d80e86b756d060,"Merge pull request #141 from mzdu/master

fixed ion-md-input text overlap"
zachfitz,2015-10-20 00:03:34,https://api.github.com/repos/zachfitz/Ionic-Material/git/commits/5999bdfe194e8c2e50bc83b3f9a89f39ae162454,5999bdfe194e8c2e50bc83b3f9a89f39ae162454,"Merge pull request #148 from paroos/fix_motion_animateSlideInRightDom

'Uncaught TypeError: Cannot read property 'className' of undefined'"
bitsmuggler,2015-10-04 13:15:46,https://api.github.com/repos/zachfitz/Ionic-Material/git/commits/90dd6b25f59b7eb41b5800af01eb0ed64308d7cd,90dd6b25f59b7eb41b5800af01eb0ed64308d7cd,Fix 'Uncaught TypeError: Cannot read property 'className' of undefined' in _motion.js
